iso3c,gdpppc_ppp_imf
AFG,"2,439.68"
ALB,"13,944.39"
DZA,"11,412.23"
AGO,"7,048.23"
ATG,"21,652.16"
ARG,"22,063.90"
ARM,"13,601.65"
ABW,"37,150.92"
AUS,"50,573.63"
AUT,"56,303.44"
AZE,"14,464.20"
BHS,"37,952.38"
BHR,"49,840.30"
BGD,"5,113.78"
BRB,"15,630.64"
BLR,"19,173.50"
BEL,"52,063.49"
BLZ,"6,835.33"
BEN,"3,283.83"
BTN,"11,639.56"
BOL,"8,696.33"
BIH,"14,993.05"
BWA,"17,818.26"
BRA,"14,827.29"
BRN,"58,555.74"
BGR,"23,346.14"
BFA,"2,189.65"
BDI,751.541
CPV,"7,167.75"
KHM,"4,636.63"
CMR,"3,647.00"
CAN,"49,392.36"
CAF,945.181
TCD,"1,587.07"
CHL,"23,956.04"
CHN,"15,983.52"
COL,"14,721.96"
COM,"2,982.01"
COD,"1,083.85"
COG,"4,413.57"
CRI,"20,111.86"
CIV,"5,101.84"
HRV,"28,711.16"
CYP,"40,522.44"
CZE,"40,936.80"
DNK,"57,929.05"
DJI,"5,016.20"
DMA,"11,720.53"
DOM,"19,090.48"
ECU,"11,440.19"
EGY,"11,940.25"
SLV,"8,775.38"
GNQ,"18,503.86"
ERI,"1,761.13"
EST,"36,918.45"
SWZ,"8,878.08"
ETH,"2,641.01"
FJI,"13,611.33"
FIN,"48,730.64"
FRA,"47,679.69"
GAB,"15,611.65"
GMB,"2,221.85"
GEO,"14,979.37"
DEU,"53,944.86"
GHA,"5,457.42"
GRC,"29,662.12"
GRD,"17,001.81"
GTM,"8,142.59"
GIN,"2,404.62"
GNB,"2,330.24"
GUY,"13,052.24"
HTI,"2,905.44"
HND,"5,713.68"
HKG,"59,740.42"
HUN,"32,934.56"
ISL,"57,967.73"
IND,"6,708.12"
IDN,"11,976.32"
IRN,"12,336.35"
IRQ,"10,917.05"
IRL,"88,086.78"
ISR,"40,090.13"
ITA,"42,423.51"
JAM,"10,544.60"
JPN,"41,936.73"
JOR,"10,103.11"
KAZ,"26,184.87"
KEN,"4,782.32"
KIR,"2,130.72"
KOR,"42,764.60"
UVK,"11,414.92"
KWT,"44,150.68"
KGZ,"5,291.87"
LAO,"7,833.41"
LVA,"30,774.61"
LBN,"14,551.59"
LSO,"2,717.07"
LBR,"1,559.60"
LBY,"14,007.05"
LTU,"37,133.51"
LUX,"115,601.89"
MAC,"119,835.59"
MDG,"1,623.48"
MWI,962.935
MYS,"27,864.58"
MDV,"27,893.66"
MLI,"2,392.48"
MLT,"45,542.46"
MHL,"3,733.88"
MRT,"5,776.14"
MUS,"22,852.14"
MEX,"19,952.03"
FSM,"3,326.40"
MDA,"12,895.12"
MNG,"12,048.93"
MNE,"21,536.16"
MAR,"7,848.25"
MOZ,"1,248.87"
MMR,"4,848.56"
NAM,"9,881.61"
NRU,"9,458.46"
NPL,"3,974.11"
NLD,"57,102.06"
NZL,"41,916.40"
NIC,"5,421.85"
NER,"1,224.34"
NGA,"5,135.49"
MKD,"16,593.95"
NOR,"63,230.51"
OMN,"29,410.21"
PAK,"4,992.67"
PLW,"15,269.83"
PAN,"31,637.97"
PNG,"3,859.26"
PRY,"12,493.46"
PER,"12,786.95"
PHL,"8,976.81"
POL,"33,219.40"
PRT,"34,923.22"
PRI,"34,450.48"
QAT,"91,248.78"
ROU,"29,975.96"
RUS,"27,295.85"
RWA,"2,266.86"
WSM,"5,582.27"
SMR,"61,649.02"
STP,"3,973.39"
SAU,"47,219.26"
SEN,"3,361.46"
SRB,"18,254.98"
SYC,"28,036.64"
SLE,"1,708.82"
SGP,"98,411.58"
SVK,"32,752.31"
SVN,"39,220.66"
SLB,"2,485.57"
SOM,915.544
ZAF,"12,435.79"
SSD,827.106
ESP,"40,879.98"
LKA,"13,070.13"
KNA,"24,704.66"
LCA,"15,703.80"
VCT,"12,483.43"
SDN,"4,135.43"
SUR,"16,087.42"
SWE,"53,079.62"
CHE,"71,711.85"
SYR,
TWN,"51,260.91"
TJK,"3,399.97"
TZA,"2,725.39"
THA,"18,453.47"
TLS,"3,552.60"
TGO,"2,121.27"
TON,"5,888.78"
TTO,"25,827.82"
TUN,"10,625.59"
TUR,"28,517.51"
TKM,"15,770.80"
TUV,"4,257.15"
UGA,"2,579.98"
UKR,"12,896.69"
ARE,"61,009.67"
GBR,"46,630.99"
USA,"62,605.88"
URY,"22,656.31"
UZB,"7,082.85"
VUT,"2,771.99"
VEN,"7,046.10"
VNM,"10,107.71"
WBG,"5,879.79"
YEM,"1,973.14"
ZMB,"3,383.31"
ZWE,"2,752.93"
