date,total_cases,total_deaths,,
01/03/2020,0,0,,
02/03/2020,0,0,,
03/03/2020,3,1,,
04/03/2020,3,1,,
05/03/2020,7,3,,
06/03/2020,7,3,,
07/03/2020,7,3,,
08/03/2020,7,3,,
09/03/2020,34,3,,
10/03/2020,34,3,,
11/03/2020,36,3,,
12/03/2020,62,5,,
13/03/2020,72,7,,
14/03/2020,79,9,,
15/03/2020,95,11,,
16/03/2020,97,12,,
17/03/2020,122,12,,
18/03/2020,160,15,,
19/03/2020,210,19,,
20/03/2020,224,20,,
21/03/2020,268,23,,
22/03/2020,304,29,,
23/03/2020,355,29,,
24/03/2020,426,34,,
25/03/2020,472,43,,
26/03/2020,515,49,,
27/03/2020,566,57,,
28/03/2020,603,62,,
29/03/2020,701,67,,
30/03/2020,727,78,,
31/03/2020,741,84,,
01/04/2020,816,90,,
02/04/2020,909,95,,
03/04/2020,990,98,,
04/04/2020,1071,99,,
05/04/2020,1151,123,,
06/04/2020,1299,131,,
07/04/2020,1443,141,,
08/04/2020,1552,144,,
09/04/2020,1719,155,,
10/04/2020,1810,156,,
11/04/2020,1903,168,,
12/04/2020,2082,195,,
13/04/2020,2242,209,,
14/04/2020,2349,243,,
15/04/2020,2447,246,,
16/04/2020,2670,248,,
17/04/2020,2823,250,,
18/04/2020,2902,257,,
19/04/2020,3033,292,,
20/04/2020,3112,297,,
21/04/2020,3279,305,,
22/04/2020,3399,308,,
23/04/2020,3506,316,,
24/04/2020,3605,331,,
25/04/2020,3681,350,,
26/04/2020,3746,357,,
27/04/2020,3832,375,,
28/04/2020,3950,379,,
29/04/2020,4033,381,,
30/04/2020,4138,381,,
01/05/2020,4283,393,,
02/05/2020,4355,400,,
03/05/2020,4417,410,,
04/05/2020,4472,412,,
05/05/2020,4641,414,,
06/05/2020,4709,420,,
07/05/2020,4775,430,,
08/05/2020,4901,431,,
09/05/2020,4958,437,,
10/05/2020,5140,444,,
11/05/2020,5195,453,,
12/05/2020,5303,457,,
13/05/2020,5437,461,,
14/05/2020,5617,466,,
15/05/2020,5679,474,,
16/05/2020,5795,475,,
17/05/2020,5922,478,,
18/05/2020,5996,483,,
19/05/2020,6053,487,,
20/05/2020,6150,493,,
21/05/2020,6220,498,,
22/05/2020,6316,501,,
23/05/2020,6443,504,,
24/05/2020,6561,505,,
25/05/2020,6628,506,,
26/05/2020,6689,508,,
27/05/2020,6826,510,,
28/05/2020,6929,514,,
29/05/2020,7053,517,,
30/05/2020,7151,519,,
31/05/2020,7272,520,,
01/06/2020,7383,521,,
02/06/2020,7459,525,,
03/06/2020,7539,529,,
04/06/2020,7600,530,,
05/06/2020,7684,532,,
06/06/2020,7786,535,,
07/06/2020,7946,537,,
08/06/2020,8037,538,,
09/06/2020,8276,547,,
10/06/2020,8423,551,,
11/06/2020,8552,555,,
12/06/2020,8628,561,,
13/06/2020,8748,564,,
14/06/2020,8863,571,,
15/06/2020,8968,580,,
16/06/2020,9092,583,,
17/06/2020,9209,588,,
18/06/2020,9385,594,,
19/06/2020,9525,599,,
20/06/2020,9703,603,,
21/06/2020,9830,615,,
22/06/2020,9957,618,,
23/06/2020,10123,619,,
24/06/2020,10277,628,,
25/06/2020,10472,631,,
26/06/2020,10640,632,,
27/06/2020,10853,632,,
28/06/2020,10985,635,,
29/06/2020,11080,636,,
30/06/2020,11276,641,,
01/07/2020,11482,644,,
02/07/2020,11677,646,,
03/07/2020,11824,648,,
04/07/2020,12039,650,,
05/07/2020,12295,658,,
06/07/2020,12526,658,,
07/07/2020,12725,664,,
08/07/2020,13069,667,,
09/07/2020,13359,677,,
10/07/2020,13598,684,,
11/07/2020,13957,690,,
12/07/2020,14361,702,,
13/07/2020,14639,710,,
14/07/2020,14914,714,,
15/07/2020,15173,720,,
16/07/2020,15466,722,,
17/07/2020,15707,731,,
18/07/2020,16038,740,,
19/07/2020,16351,748,,
20/07/2020,16712,749,,
21/07/2020,17153,758,,
22/07/2020,17529,766,,
23/07/2020,17945,767,,
24/07/2020,18230,768,,
25/07/2020,18623,769,,
26/07/2020,19001,779,,
27/07/2020,19473,782,,
28/07/2020,19885,795,,
29/07/2020,20470,820,,
30/07/2020,20769,821,,
31/07/2020,21201,836,,
01/08/2020,21575,852,,
02/08/2020,21954,852,,
03/08/2020,22443,867,,
04/08/2020,22909,880,,
05/08/2020,23266,895,,
06/08/2020,23863,908,,
07/08/2020,24521,922,,
08/08/2020,25242,934,,
09/08/2020,25714,939,,
10/08/2020,26193,940,,
11/08/2020,26664,953,,
12/08/2020,27242,968,,
13/08/2020,27863,981,,
14/08/2020,28438,985,,
15/08/2020,29036,991,,
16/08/2020,29554,995,,
17/08/2020,30092,1011,,
18/08/2020,30597,1028,,
19/08/2020,31162,1046,,
20/08/2020,31757,1061,,
21/08/2020,32398,1076,,
22/08/2020,32999,1091,,
23/08/2020,33636,1107,,
24/08/2020,34295,1112,,
25/08/2020,34931,1129,,
26/08/2020,35642,1144,,
27/08/2020,36462,1147,,
28/08/2020,37278,1154,,
29/08/2020,38166,1172,,
30/08/2020,39280,1186,,
31/08/2020,40309,1202,,
01/09/2020,41250,1219,,
02/09/2020,42303,1237,,
03/09/2020,43709,1253,,
04/09/2020,44604,1260,,
05/09/2020,45446,1277,,
06/09/2020,46691,1289,,
07/09/2020,47796,1318,,
08/09/2020,48811,1330,,
09/09/2020,49837,1347,,
10/09/2020,51287,1365,,
11/09/2020,52321,1382,,
12/09/2020,53761,1404,,
13/09/2020,54864,1410,,
14/09/2020,55926,1440,,
15/09/2020,56953,1468,,
16/09/2020,58458,1498,,
17/09/2020,59472,1513,,
18/09/2020,60875,1535,,
19/09/2020,61807,1546,,
20/09/2020,62886,1561,,
21/09/2020,64196,1592,,
22/09/2020,65318,1624,,
23/09/2020,66505,1650,,
24/09/2020,67638,1664,,
25/09/2020,68927,1677,,
26/09/2020,70184,1679,,
27/09/2020,71370,1692,,
28/09/2020,72177,1704,,
29/09/2020,73309,1718,,
30/09/2020,74368,1731,,
01/10/2020,75521,1737,,
02/10/2020,76619,1740,,
03/10/2020,77784,1743,,
04/10/2020,79214,1761,,
05/10/2020,80036,1772,,
06/10/2020,81043,1806,,
07/10/2020,82383,1819,,
08/10/2020,83392,1838,,
09/10/2020,84364,1860,,
10/10/2020,85617,1877,,
