Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Vietnam,Asia,c,2019,NF,7,5,0,0,0,0,0,0,0,1,1,0,1,1,2,0,N/A,3,1,1,1,1,4,1,0,0,1,1,1,1,1,4,2,1,3,2,8,17,20
West Bank,MENA,t,2019,NF,7,5,0,0,1,1,1,0,1,2,4,0,1,1,2,3,N/A,4,1,2,2,2,7,1,2,2,5,2,1,0,1,4,1,1,2,1,5,21,25
Western Sahara,MENA,t,2019,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,N/A,-3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,0,4,7,4
Yemen,MENA,c,2019,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,N/A,1,0,1,1,1,3,1,1,1,3,1,0,0,1,2,0,1,1,0,2,10,11
Zambia,SSA,c,2019,PF,4,4,2,2,2,6,2,2,3,3,10,2,2,2,6,0,N/A,22,1,3,3,2,9,2,2,3,7,2,2,2,2,8,3,2,2,1,8,32,54
Zimbabwe,SSA,c,2019,PF,5,5,1,1,1,3,2,2,1,1,6,1,1,1,3,0,N/A,12,1,3,2,2,8,1,2,1,4,1,0,0,1,2,2,1,1,1,5,19,31
Abkhazia,Eurasia,t,2018,PF,4,5,3,2,1,6,2,3,2,1,8,1,1,2,4,0,N/A,18,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,41
Afghanistan,Asia,c,2018,NF,5,6,1,0,1,2,2,2,1,2,7,1,1,1,3,0,N/A,12,2,1,1,2,6,2,1,1,4,1,0,0,1,2,0,1,0,1,2,14,26
Albania,Europe,c,2018,PF,3,3,3,3,2,8,3,4,3,3,13,3,2,2,7,0,N/A,28,2,4,3,4,13,4,3,2,9,2,2,2,3,9,3,2,2,2,9,40,68
Algeria,MENA,c,2018,NF,6,5,1,1,1,3,1,1,1,1,4,1,1,1,3,0,N/A,10,1,1,2,3,7,2,1,2,5,1,1,2,2,6,2,2,2,1,7,25,35
Andorra,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,N/A,39,3,4,4,4,15,4,4,3,11,4,4,4,3,15,4,4,4,4,16,57,96
Angola,SSA,c,2018,NF,6,6,0,2,1,3,2,1,1,2,6,1,0,0,1,0,N/A,10,1,2,2,2,7,1,1,1,3,1,1,0,1,3,1,1,1,0,3,16,26
Antigua and Barbuda,Americas,c,2018,F,2,2,4,4,4,12,3,4,3,3,13,3,2,3,8,0,N/A,33,3,4,4,4,15,3,3,3,9,3,3,4,3,13,4,3,3,3,13,50,83
Argentina,Americas,c,2018,F,2,2,4,4,3,11,4,3,4,3,14,3,2,3,8,0,N/A,33,3,4,4,4,15,4,4,3,11,2,3,2,3,10,4,3,4,3,14,50,83
Armenia,Eurasia,c,2018,PF,5,4,1,1,2,4,2,2,1,2,7,1,1,2,4,0,N/A,15,2,2,2,3,9,2,2,2,6,1,1,2,2,6,3,2,2,2,9,30,45
Australia,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,98
Austria,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,94
Azerbaijan,Eurasia,c,2018,NF,7,6,0,0,1,1,1,0,1,0,2,0,0,0,0,0,N/A,3,0,0,1,1,2,0,0,1,1,0,1,0,0,1,1,1,2,1,5,9,12
Bahamas,Americas,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,3,4,4,4,15,4,4,4,12,4,3,4,2,13,3,4,3,3,13,53,91
Bahrain,MENA,c,2018,NF,7,6,0,1,1,2,0,0,0,0,0,1,2,0,3,3,N/A,2,0,1,0,1,2,0,0,1,1,0,1,0,0,1,1,2,2,1,6,10,12
Bangladesh,Asia,c,2018,PF,4,4,2,2,3,7,2,1,2,2,7,2,1,2,5,0,N/A,19,1,2,2,2,7,2,2,1,5,2,1,1,1,5,3,2,2,2,9,26,45
Barbados,Americas,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,4,15,58,96
Belarus,Eurasia,c,2018,NF,6,6,0,0,0,0,1,1,1,1,4,0,1,1,2,0,N/A,6,1,1,0,1,3,1,1,1,3,0,1,0,1,2,2,2,2,1,7,15,21
Belgium,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,N/A,39,4,3,4,4,15,4,4,4,12,4,4,3,3,14,4,4,4,3,15,56,95
Belize,Americas,c,2018,F,1,2,4,4,4,12,4,4,4,2,14,4,2,4,10,0,N/A,36,3,4,4,4,15,3,4,3,10,3,3,3,3,12,4,3,3,3,13,50,86
Benin,SSA,c,2018,F,2,2,3,3,3,9,4,4,4,4,16,3,2,3,8,0,N/A,33,3,4,4,4,15,4,4,4,12,3,3,3,3,12,3,3,2,2,10,49,82
Bhutan,Asia,c,2018,PF,3,4,3,4,3,10,3,4,2,1,10,3,3,3,9,1,N/A,28,2,2,2,3,9,2,1,1,4,3,1,1,1,6,2,2,2,2,8,27,55
Bolivia,Americas,c,2018,PF,3,3,4,4,2,10,3,2,3,3,11,3,2,2,7,0,N/A,28,2,4,4,4,14,3,3,3,9,1,1,2,2,6,3,2,3,2,10,39,67
Bosnia and Herzegovina,Europe,c,2018,PF,4,4,3,2,2,7,3,3,2,2,10,2,1,1,4,0,N/A,21,2,3,2,3,10,3,2,2,7,1,2,2,2,7,3,2,3,2,10,34,55
Botswana,SSA,c,2018,F,3,2,3,4,3,10,3,2,3,2,10,3,3,2,8,0,N/A,28,2,4,3,3,12,4,4,2,10,3,3,3,2,11,3,3,2,3,11,44,72
Brazil,Americas,c,2018,F,2,2,4,3,4,11,4,4,3,3,14,2,2,2,6,0,N/A,31,3,4,4,4,15,3,4,3,10,3,2,2,2,9,4,3,3,3,13,47,78
Brunei,Asia,c,2018,NF,6,5,0,0,0,0,1,0,1,1,3,0,2,1,3,0,N/A,6,1,1,2,2,6,1,1,1,3,1,2,2,1,6,2,2,1,2,7,22,28
Bulgaria,Europe,c,2018,F,2,2,4,4,3,11,4,4,3,3,14,4,2,2,8,0,N/A,33,3,3,4,4,14,4,4,3,11,3,2,3,2,10,4,3,3,2,12,47,80
Burkina Faso,SSA,c,2018,PF,4,3,2,2,3,7,2,3,2,3,10,2,2,2,6,0,N/A,23,3,4,3,3,13,3,3,3,9,2,2,1,2,7,2,2,2,2,8,37,60
Burundi,SSA,c,2018,NF,7,6,0,0,1,1,1,0,0,2,3,0,0,0,0,0,N/A,4,0,3,2,1,6,0,1,1,2,0,0,0,1,1,1,2,1,1,5,14,18
Cabo Verde,SSA,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,3,11,4,3,4,3,14,4,3,3,3,13,53,90
Cambodia,Asia,c,2018,NF,6,5,1,1,2,4,1,0,1,1,3,1,1,1,3,0,N/A,10,1,3,2,2,8,1,1,1,3,0,1,1,1,3,2,1,2,1,6,20,30
Cameroon,SSA,c,2018,NF,6,6,1,1,1,3,1,0,1,1,3,1,1,1,3,0,N/A,9,1,2,2,1,6,0,1,1,2,0,1,0,0,1,1,1,1,1,4,13,22
Canada,Americas,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,99
Central African Republic,SSA,c,2018,NF,7,7,1,1,1,3,1,1,0,0,2,0,0,0,0,1,N/A,4,1,0,2,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,9
Chad,SSA,c,2018,NF,7,6,1,0,1,2,1,0,0,0,1,1,0,0,1,0,N/A,4,1,1,2,2,6,1,1,2,4,0,1,0,0,1,1,1,0,1,3,14,18
Chile,Americas,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,3,15,57,94
China,Asia,c,2018,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,1,2,2,N/A,0,1,0,1,1,3,1,1,1,3,1,1,0,0,2,1,1,2,2,6,14,14
Colombia,Americas,c,2018,PF,3,3,4,3,3,10,3,3,2,3,11,3,2,3,8,0,N/A,29,2,4,3,3,12,2,2,1,5,3,2,2,2,9,3,2,3,2,10,36,65
Comoros,SSA,c,2018,PF,3,4,3,3,3,9,3,3,3,2,11,2,1,1,4,0,N/A,24,2,2,3,3,10,2,2,3,7,2,2,2,2,8,2,2,1,1,6,31,55
Congo (Brazzaville),SSA,c,2018,NF,7,5,0,0,0,0,1,0,0,1,2,0,0,0,0,0,N/A,2,1,3,1,2,7,1,2,2,5,0,1,0,0,1,2,2,1,1,6,19,21
Congo (Kinshasa),SSA,c,2018,NF,7,6,0,0,0,0,1,0,1,1,3,0,0,1,1,0,N/A,4,1,3,2,1,7,0,1,1,2,0,0,0,0,0,1,1,1,1,4,13,17
Costa Rica,Americas,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,N/A,38,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,91
Cote d'Ivoire,SSA,c,2018,PF,4,4,3,2,2,7,2,2,2,2,8,2,1,1,4,0,N/A,19,2,3,3,3,11,2,3,3,8,1,1,2,2,6,2,2,1,2,7,32,51
Crimea,Eurasia,t,2018,NF,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N/A,-1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,1,1,2,2,6,10,9
Croatia,Europe,c,2018,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,3,3,4,13,4,4,4,12,3,3,3,2,11,4,3,3,3,13,49,86
Cuba,Americas,c,2018,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,N/A,1,1,3,0,1,5,0,0,0,0,0,0,1,1,2,1,1,3,1,6,13,14
Cyprus,Europe,c,2018,F,1,1,4,4,3,11,4,4,4,4,16,4,3,4,11,0,N/A,38,4,4,3,4,15,4,4,4,12,4,4,4,3,15,3,4,4,3,14,56,94
Czech Republic,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,4,3,4,4,15,4,4,4,12,3,4,4,3,14,4,4,4,3,15,56,93
Denmark,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,3,4,3,14,4,4,3,4,15,57,97
Djibouti,SSA,c,2018,NF,6,5,0,1,1,2,1,0,1,1,3,0,1,1,2,0,N/A,7,1,1,2,2,6,0,1,2,3,0,2,1,1,4,2,2,1,1,6,19,26
Dominica,Americas,c,2018,F,1,1,4,4,3,11,4,4,4,4,16,4,3,3,10,0,N/A,37,3,4,4,4,15,3,4,4,11,4,4,4,3,15,4,4,3,4,15,56,93
Dominican Republic,Americas,c,2018,PF,3,3,3,3,3,9,3,3,3,1,10,3,2,2,7,0,N/A,26,2,4,4,4,14,3,4,3,10,3,2,2,1,8,2,3,2,2,9,41,67
Ecuador,Americas,c,2018,PF,3,3,3,3,1,7,3,2,3,3,11,3,2,2,7,0,N/A,25,2,4,3,3,12,3,2,2,7,1,1,2,2,6,3,2,3,2,10,35,60
Egypt,MENA,c,2018,NF,6,6,1,1,1,3,1,0,1,2,4,1,1,1,3,0,N/A,10,1,1,1,2,5,1,0,1,2,1,1,0,1,3,1,2,2,1,6,16,26
El Salvador,Americas,c,2018,F,2,3,4,3,4,11,4,4,3,3,14,3,3,3,9,0,N/A,34,2,4,3,3,12,3,3,2,8,3,2,1,2,8,2,2,2,2,8,36,70
Equatorial Guinea,SSA,c,2018,NF,7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,N/A,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,3,6,7
Eritrea,SSA,c,2018,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3
Estonia,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,N/A,38,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,3,14,56,94
Eswatini,SSA,c,2018,NF,7,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,N/A,1,1,2,1,1,5,0,1,1,2,1,1,1,1,4,1,1,1,1,4,15,16
Ethiopia,SSA,c,2018,NF,7,6,0,0,1,1,0,0,0,0,0,0,2,1,3,0,N/A,4,0,2,0,0,2,0,0,0,0,1,0,0,1,2,1,1,1,1,4,8,12
Fiji,Asia,c,2018,PF,3,3,3,2,3,8,3,1,2,3,9,3,2,2,7,0,N/A,24,2,4,3,3,12,2,2,2,6,2,1,2,2,7,3,3,2,2,10,35,59
Finland,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
France,Europe,c,2018,F,1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,0,N/A,38,4,3,4,3,14,3,4,4,11,4,3,3,3,13,4,4,3,3,14,52,90
Gabon,SSA,c,2018,NF,7,5,0,0,0,0,1,0,0,1,2,0,1,1,2,0,N/A,4,1,3,2,2,8,1,1,1,3,0,1,1,1,3,2,1,1,1,5,19,23
Gaza Strip,MENA,t,2018,NF,7,6,0,0,0,0,1,0,0,1,2,0,1,0,1,0,N/A,3,0,1,1,2,4,1,1,1,3,0,0,0,0,0,0,1,1,0,2,9,12
Georgia,Eurasia,c,2018,PF,3,3,3,3,3,9,3,3,2,2,10,2,2,3,7,0,N/A,26,2,2,4,3,11,3,3,2,8,2,2,2,2,8,3,3,3,2,11,38,64
Germany,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,N/A,39,4,3,4,3,14,4,4,4,12,4,4,3,3,14,4,4,4,3,15,55,94
Ghana,SSA,c,2018,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,3,4,4,14,4,4,3,11,2,3,3,3,11,3,3,2,2,10,46,83
Greece,Europe,c,2018,F,2,2,4,4,4,12,4,4,4,3,15,3,2,3,8,0,N/A,35,3,3,4,4,14,4,4,4,12,3,3,3,2,11,4,3,3,3,13,50,85
Grenada,Americas,c,2018,F,1,2,4,4,3,11,4,4,4,4,16,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,3,11,3,3,3,3,12,4,3,3,3,13,51,88
Guatemala,Americas,c,2018,PF,4,4,3,3,2,8,3,3,2,2,10,2,2,1,5,0,N/A,23,2,4,3,3,12,2,2,2,6,2,2,2,1,7,3,2,2,1,8,33,56
Guinea,SSA,c,2018,PF,5,5,3,1,2,6,2,2,2,2,8,1,1,1,3,0,N/A,17,1,3,3,3,10,1,2,2,5,1,1,1,1,4,1,2,1,1,5,24,41
Guinea-Bissau,SSA,c,2018,PF,5,5,2,3,2,7,3,2,1,2,8,1,0,0,1,0,N/A,16,1,3,3,3,10,1,2,3,6,1,0,1,2,4,2,1,1,1,5,25,41
Guyana,Americas,c,2018,F,2,3,4,4,3,11,4,4,3,2,13,4,2,2,8,0,N/A,32,3,4,4,4,15,3,4,3,10,2,2,2,2,8,3,2,2,2,9,42,74
Haiti,Americas,c,2018,PF,5,5,2,1,2,5,2,1,2,2,7,2,1,2,5,0,N/A,17,2,3,2,3,10,2,1,1,4,1,1,1,1,4,2,2,2,0,6,24,41
Honduras,Americas,c,2018,PF,4,4,2,3,2,7,3,2,1,2,8,2,2,1,5,0,N/A,20,1,4,2,2,9,1,1,2,4,1,2,1,1,5,2,2,2,2,8,26,46
Hong Kong,Asia,t,2018,PF,5,2,0,1,1,2,2,1,1,3,7,1,3,2,6,0,N/A,15,2,4,2,4,12,2,4,2,8,2,3,3,3,11,3,3,4,3,13,44,59
Hungary,Europe,c,2018,F,3,2,3,3,3,9,3,3,3,3,12,3,2,2,7,0,N/A,28,2,4,2,3,11,4,2,4,10,2,3,3,2,10,4,3,3,3,13,44,72
Iceland,Europe,c,2018,F,1,1,4,4,4,12,4,4,3,4,15,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,4,16,58,95
India,Asia,c,2018,F,2,3,4,4,4,12,4,4,3,3,14,4,2,3,9,0,N/A,35,3,3,3,4,13,4,3,3,10,3,2,2,2,9,3,3,2,2,10,42,77
Indian Kashmir,Asia,t,2018,PF,4,4,3,3,3,9,2,3,2,2,9,2,1,1,4,0,N/A,22,2,2,2,3,9,1,2,2,5,1,2,1,1,5,2,2,2,2,8,27,49
Indonesia,Asia,c,2018,PF,2,4,4,4,3,11,4,4,3,2,13,3,1,2,6,0,N/A,30,3,1,4,4,12,2,3,3,8,2,1,1,1,5,3,2,2,2,9,34,64
Iran,MENA,c,2018,NF,6,6,1,1,1,3,0,1,0,1,2,1,0,1,2,0,N/A,7,1,0,1,1,3,0,0,1,1,1,1,0,1,3,1,1,1,1,4,11,18
Iraq,MENA,c,2018,NF,5,6,2,3,3,8,3,2,1,1,7,1,0,1,2,1,N/A,16,1,1,1,2,5,2,2,2,6,0,0,0,0,0,1,1,1,1,4,15,31
Ireland,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,N/A,39,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,4,15,57,96
Israel,MENA,c,2018,F,1,3,4,4,4,12,3,4,4,3,14,4,3,3,10,0,N/A,36,3,3,3,3,12,3,2,4,9,4,3,2,2,11,3,3,3,2,11,43,79
Italy,Europe,c,2018,F,1,1,4,4,4,12,4,4,3,3,14,4,3,3,10,0,N/A,36,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,3,4,3,14,53,89
Jamaica,Americas,c,2018,F,2,3,4,4,4,12,4,4,2,3,13,4,3,2,9,0,N/A,34,4,4,4,3,15,3,3,3,9,3,2,2,1,8,3,3,2,3,11,43,77
Japan,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,3,14,56,96
Jordan,MENA,c,2018,PF,5,5,0,1,2,3,2,1,1,2,6,0,2,1,3,0,N/A,12,1,2,2,2,7,1,1,1,3,2,1,2,2,7,2,2,2,2,8,25,37
Kazakhstan,Eurasia,c,2018,NF,7,5,0,0,1,1,1,0,1,1,3,0,1,0,1,0,N/A,5,0,1,2,1,4,0,1,0,1,1,1,1,1,4,2,2,2,2,8,17,22
Kenya,SSA,c,2018,PF,4,4,1,3,2,6,2,2,2,2,8,2,1,2,5,0,N/A,19,2,2,3,3,10,2,2,3,7,2,1,1,1,5,2,1,2,2,7,29,48
Kiribati,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,3,3,3,13,55,93
Kosovo,Europe,c,2018,PF,3,4,3,3,3,9,3,3,2,2,10,2,1,2,5,0,N/A,24,2,2,2,3,9,2,2,2,6,1,1,2,2,6,2,1,2,2,7,28,52
Kuwait,MENA,c,2018,PF,5,5,0,1,1,2,2,2,2,1,7,1,1,2,4,0,N/A,13,1,2,2,1,6,1,2,1,4,1,2,2,2,7,2,1,2,1,6,23,36
Kyrgyzstan,Eurasia,c,2018,PF,5,5,1,2,1,4,2,1,1,1,5,1,1,2,4,1,N/A,12,2,2,3,3,10,1,1,2,4,1,1,1,1,4,2,2,2,1,7,25,37
Laos,Asia,c,2018,NF,7,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,N/A,1,0,2,1,1,4,0,0,0,0,0,0,1,1,2,1,1,2,1,5,11,12
Latvia,Europe,c,2018,F,2,2,4,4,4,12,4,4,3,3,14,3,3,3,9,0,N/A,35,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,4,3,2,13,52,87
Lebanon,MENA,c,2018,PF,6,4,0,1,2,3,3,1,1,2,7,0,0,1,1,0,N/A,11,3,3,3,3,12,3,3,2,8,1,1,2,1,5,2,2,2,1,7,32,43
Lesotho,SSA,c,2018,PF,3,3,3,4,3,10,3,3,2,3,11,2,2,2,6,0,N/A,27,2,4,3,3,12,2,3,2,7,3,2,2,2,9,3,2,2,2,9,37,64
Liberia,SSA,c,2018,PF,3,3,3,3,2,8,3,3,3,3,12,3,2,2,7,0,N/A,27,2,3,3,3,11,3,3,2,8,2,1,2,2,7,3,2,2,2,9,35,62
Libya,MENA,c,2018,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,N/A,1,1,1,1,1,4,1,1,0,2,0,0,0,0,0,0,1,1,0,2,8,9
Liechtenstein,Europe,c,2018,F,2,1,2,4,4,10,4,3,3,3,13,2,4,4,10,0,N/A,33,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,4,3,4,15,57,90
Lithuania,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,4,4,4,4,16,4,4,3,11,3,3,3,3,12,4,4,3,3,14,53,91
Luxembourg,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,98
Madagascar,SSA,c,2018,PF,3,4,3,3,3,9,3,3,2,2,10,2,1,2,5,0,N/A,24,2,2,3,3,10,2,3,3,8,1,1,2,2,6,3,2,2,1,8,32,56
Malawi,SSA,c,2018,PF,3,3,3,3,2,8,3,3,3,3,12,3,1,2,6,0,N/A,26,3,4,3,3,13,3,2,3,8,3,2,2,2,9,2,2,1,2,7,37,63
Malaysia,Asia,c,2018,PF,4,4,2,2,2,6,2,2,2,1,7,2,1,2,5,0,N/A,18,2,1,2,2,7,2,2,2,6,1,2,1,1,5,3,3,2,1,9,27,45
Maldives,Asia,c,2018,PF,5,5,2,2,1,5,2,1,1,1,5,2,1,1,4,0,N/A,14,1,0,1,1,3,1,2,2,5,1,1,2,2,6,2,2,1,2,7,21,35
Mali,SSA,c,2018,PF,5,4,2,2,2,6,2,2,1,2,7,2,1,1,4,0,N/A,17,2,3,3,3,11,2,2,2,6,2,2,1,1,6,1,1,1,1,4,27,44
Malta,Europe,c,2018,F,1,1,4,4,4,12,3,4,3,4,14,4,3,3,10,0,N/A,36,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,3,14,56,92
Marshall Islands,Asia,c,2018,F,1,1,4,4,4,12,3,4,4,4,15,4,3,3,10,0,N/A,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
Mauritania,SSA,c,2018,NF,6,5,1,1,1,3,1,1,0,0,2,1,2,1,4,0,N/A,9,2,2,3,2,9,1,1,2,4,1,1,1,1,4,1,2,1,0,4,21,30
Mauritius,SSA,c,2018,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,4,12,3,4,3,3,13,4,3,3,2,12,52,89
Mexico,Americas,c,2018,PF,3,3,3,3,3,9,3,4,2,3,12,2,1,2,5,0,N/A,26,2,4,4,3,13,3,2,2,7,2,1,1,2,6,3,2,3,2,10,36,62
Micronesia,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,4,3,3,14,56,93
Moldova,Eurasia,c,2018,PF,3,3,4,3,3,10,3,3,2,3,11,3,1,1,5,0,N/A,26,2,3,3,4,12,3,3,2,8,1,1,2,2,6,3,2,2,2,9,35,61
Monaco,Europe,c,2018,F,3,1,0,4,3,7,3,2,2,3,10,2,3,3,8,0,N/A,25,4,4,4,4,16,4,4,4,12,3,4,4,4,15,4,3,3,4,14,57,82
Mongolia,Asia,c,2018,F,1,2,4,4,3,11,4,4,4,4,16,4,2,3,9,0,N/A,36,3,4,4,3,14,4,4,3,11,3,3,3,3,12,4,3,3,2,12,49,85
Montenegro,Europe,c,2018,PF,3,3,3,2,3,8,2,2,3,3,10,3,2,2,7,0,N/A,25,2,3,3,3,11,3,3,3,9,2,2,3,3,10,3,3,3,3,12,42,67
Morocco,MENA,c,2018,PF,5,5,1,2,2,5,2,2,1,1,6,1,1,1,3,0,N/A,14,1,2,2,2,7,1,2,2,5,1,2,2,1,6,2,2,2,1,7,25,39
Mozambique,SSA,c,2018,PF,4,4,2,2,2,6,2,2,2,3,9,2,1,2,5,0,N/A,20,2,3,2,2,9,2,3,2,7,2,2,1,2,7,3,2,2,2,9,32,52
Myanmar,Asia,c,2018,PF,5,5,2,2,1,5,2,3,2,1,8,2,1,1,4,4,N/A,13,2,1,1,2,6,2,2,2,6,0,1,0,0,1,2,1,1,1,5,18,31
Nagorno-Karabakh,Eurasia,t,2018,PF,5,5,1,2,1,4,2,1,1,1,5,1,1,1,3,0,N/A,12,1,1,1,3,6,1,1,1,3,1,1,1,1,4,1,1,2,1,5,18,30
Namibia,SSA,c,2018,F,2,2,4,3,3,10,3,2,3,3,11,3,3,3,9,0,N/A,30,3,4,4,3,14,4,4,4,12,3,3,3,2,11,3,3,2,2,10,47,77
Nauru,Asia,c,2018,F,2,2,4,4,4,12,4,3,4,4,15,3,3,2,8,0,N/A,35,2,4,4,3,13,3,3,3,9,2,3,3,2,10,4,4,3,3,14,46,81
Nepal,Asia,c,2018,PF,3,4,3,4,3,10,3,3,2,2,10,3,1,1,5,0,N/A,25,3,2,2,3,10,2,2,2,6,2,1,2,1,6,3,2,2,1,8,30,55
Netherlands,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,99
New Zealand,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,98
Nicaragua,Americas,c,2018,PF,5,4,1,1,1,3,1,1,1,3,6,1,1,1,3,0,N/A,12,1,4,3,3,11,2,1,2,5,1,1,2,2,6,3,3,2,2,10,32,44
Niger,SSA,c,2018,PF,4,4,2,2,2,6,2,2,2,2,8,2,2,2,6,0,N/A,20,2,3,3,3,11,2,2,2,6,1,2,1,2,6,2,2,1,1,6,29,49
Nigeria,SSA,c,2018,PF,3,5,3,3,3,9,3,3,2,2,10,2,2,2,6,0,N/A,25,2,1,3,3,9,2,2,3,7,2,1,0,1,4,1,2,1,1,5,25,50
North Korea,Asia,c,2018,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3
North Macedonia,Europe,c,2018,PF,4,3,1,2,3,6,2,2,2,3,9,2,2,2,6,0,N/A,21,2,3,3,3,11,3,3,2,8,2,2,2,2,8,3,3,2,2,10,37,58
Northern Cyprus,Europe,t,2018,F,2,2,4,4,3,11,4,4,3,2,13,3,2,2,7,0,N/A,31,4,3,4,4,15,4,4,3,11,4,3,3,3,13,3,3,3,2,11,50,81
Norway,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
