Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Ghana,SSA,c,2020,F,2,2,4,4,4,12,3,4,3,3,13,4,3,3,10,0,N/A,35,3,3,4,4,14,4,4,3,11,2,3,3,3,11,3,3,3,2,11,47,82
Greece,Europe,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,3,4,4,14,4,4,4,12,3,3,3,2,11,4,3,4,3,14,51,88
Grenada,Americas,c,2020,F,1,2,4,4,3,11,4,4,4,4,16,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,3,11,4,3,3,3,13,4,3,3,3,13,52,89
Guatemala,Americas,c,2020,PF,4,4,2,3,2,7,3,3,2,2,10,2,1,1,4,0,N/A,21,2,4,3,2,11,2,2,2,6,2,1,2,1,6,3,2,2,1,8,31,52
Guinea,SSA,c,2020,PF,5,5,3,0,2,5,2,2,1,2,7,1,1,1,3,0,N/A,15,2,3,3,3,11,1,1,2,4,1,1,1,1,4,2,2,1,1,6,25,40
Guinea-Bissau,SSA,c,2020,PF,5,4,2,3,2,7,3,2,1,2,8,1,1,0,2,0,N/A,17,2,3,3,3,11,2,3,3,8,1,0,2,2,5,2,1,1,1,5,29,46
Guyana,Americas,c,2020,F,2,3,3,4,3,10,4,4,3,2,13,4,2,2,8,0,N/A,31,3,4,4,4,15,4,4,3,11,2,2,2,2,8,3,2,2,2,9,43,74
Haiti,Americas,c,2020,PF,5,5,2,1,2,5,2,1,2,2,7,1,1,2,4,0,N/A,16,2,3,2,3,10,1,1,1,3,1,1,1,1,4,1,2,2,0,5,22,38
Honduras,Americas,c,2020,PF,4,4,2,3,2,7,3,2,1,2,8,2,1,1,4,0,N/A,19,1,4,2,2,9,1,1,2,4,1,2,1,1,5,2,2,2,2,8,26,45
Hong Kong,Asia,t,2020,PF,5,3,0,1,1,2,2,2,1,3,8,1,3,2,6,0,N/A,16,2,4,1,3,10,1,3,2,6,2,3,2,3,10,3,3,4,3,13,39,55
Hungary,Europe,c,2020,PF,3,3,3,3,3,9,3,2,3,3,11,3,2,2,7,0,N/A,27,2,3,2,3,10,4,2,4,10,2,3,3,2,10,4,3,3,3,13,43,70
Iceland,Europe,c,2020,F,1,1,4,4,4,12,4,4,3,4,15,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,94
India,Asia,c,2020,F,2,3,4,4,4,12,4,4,3,2,13,4,2,3,9,0,N/A,34,2,2,2,4,10,2,3,3,8,3,2,2,2,9,3,3,2,2,10,37,71
Indian Kashmir,Asia,t,2020,NF,6,5,0,0,2,2,1,1,0,2,4,0,1,1,2,0,N/A,8,1,2,1,2,6,0,1,2,3,1,1,1,1,4,1,2,2,2,7,20,28
Indonesia,Asia,c,2020,PF,2,4,4,4,3,11,4,4,3,2,13,3,1,2,6,0,N/A,30,3,1,3,3,10,2,2,3,7,2,1,1,1,5,3,2,2,2,9,31,61
Iran,MENA,c,2020,NF,6,6,1,1,1,3,0,1,0,1,2,1,0,1,2,0,N/A,7,0,0,1,1,2,0,0,1,1,1,1,0,1,3,1,1,1,1,4,10,17
Iraq,MENA,c,2020,NF,5,6,2,3,3,8,3,3,1,1,8,1,0,1,2,1,N/A,17,1,1,1,2,5,0,2,2,4,0,0,1,0,1,1,1,1,1,4,14,31
Ireland,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,N/A,39,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,4,16,58,97
Israel,MENA,c,2020,F,2,3,4,4,4,12,3,4,4,2,13,3,2,3,8,0,N/A,33,3,3,3,3,12,3,2,4,9,4,3,2,2,11,3,3,3,2,11,43,76
Italy,Europe,c,2020,F,1,1,4,4,4,12,4,4,3,3,14,4,3,3,10,0,N/A,36,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,3,4,3,14,53,89
Jamaica,Americas,c,2020,F,2,2,4,4,4,12,4,4,2,3,13,4,3,2,9,0,N/A,34,4,4,4,3,15,3,4,3,10,3,2,2,1,8,3,3,2,3,11,44,78
Japan,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,3,14,56,96
Jordan,MENA,c,2020,PF,5,5,0,1,2,3,2,1,1,2,6,0,2,1,3,0,N/A,12,1,2,2,2,7,1,1,1,3,2,1,2,2,7,2,2,2,2,8,25,37
Kazakhstan,Eurasia,c,2020,NF,7,5,0,0,1,1,1,0,1,1,3,0,1,0,1,0,N/A,5,0,1,2,1,4,1,1,0,2,1,1,1,1,4,2,2,2,2,8,18,23
Kenya,SSA,c,2020,PF,4,4,1,3,2,6,2,2,2,2,8,2,1,2,5,0,N/A,19,2,2,3,3,10,2,2,3,7,2,1,1,1,5,2,1,2,2,7,29,48
Kiribati,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,3,3,3,13,56,93
Kosovo,Europe,c,2020,PF,3,4,3,3,3,9,3,4,2,2,11,2,1,2,5,0,N/A,25,2,2,2,3,9,3,3,2,8,1,1,2,2,6,3,1,2,2,8,31,56
Kuwait,MENA,c,2020,PF,5,5,0,1,1,2,2,2,2,1,7,1,1,2,4,0,N/A,13,1,2,2,1,6,1,2,1,4,1,2,2,2,7,2,1,2,1,6,23,36
Kyrgyzstan,Eurasia,c,2020,PF,5,4,1,2,1,4,2,1,1,1,5,1,1,2,4,1,N/A,12,2,2,3,3,10,2,2,2,6,1,1,1,1,4,2,2,2,1,7,27,39
Laos,Asia,c,2020,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,N/A,2,0,2,1,1,4,0,0,0,0,0,0,1,1,2,2,1,2,1,6,12,14
Latvia,Europe,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,4,3,4,14,4,4,4,12,3,3,3,3,12,4,4,3,3,14,52,89
Lebanon,MENA,c,2020,PF,5,4,1,2,2,5,3,1,1,2,7,1,0,1,2,0,N/A,14,2,3,3,3,11,3,3,2,8,1,1,2,1,5,1,2,2,1,6,30,44
Lesotho,SSA,c,2020,PF,3,3,3,4,3,10,3,3,2,3,11,2,2,2,6,0,N/A,27,2,4,3,3,12,2,3,2,7,2,2,2,2,8,3,2,2,2,9,36,63
Liberia,SSA,c,2020,PF,3,4,3,3,2,8,3,3,3,3,12,3,2,2,7,0,N/A,27,2,3,3,3,11,2,3,2,7,1,1,2,2,6,3,2,2,2,9,33,60
Libya,MENA,c,2020,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,N/A,1,1,1,1,1,4,1,1,0,2,0,0,0,0,0,0,1,1,0,2,8,9
Liechtenstein,Europe,c,2020,F,2,1,2,4,4,10,4,3,3,3,13,2,4,4,10,0,N/A,33,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,4,3,4,15,57,90
Lithuania,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,4,4,4,4,16,4,4,3,11,3,3,3,3,12,4,4,3,3,14,53,91
Luxembourg,Europe,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,98
Madagascar,SSA,c,2020,PF,3,3,3,3,3,9,3,3,3,2,11,2,2,2,6,0,N/A,26,2,3,3,3,11,3,3,3,9,2,1,2,2,7,3,2,2,1,8,35,61
Malawi,SSA,c,2020,PF,3,3,3,3,2,8,3,3,3,3,12,3,1,2,6,0,N/A,26,2,4,4,3,13,2,2,3,7,3,2,2,2,9,2,2,1,2,7,36,62
Malaysia,Asia,c,2020,PF,4,4,2,2,2,6,2,3,2,2,9,2,2,2,6,0,N/A,21,3,1,2,3,9,2,2,2,6,2,2,2,1,7,3,3,2,1,9,31,52
Maldives,Asia,c,2020,PF,4,5,2,3,2,7,3,2,1,1,7,2,1,1,4,0,N/A,18,1,0,1,1,3,3,1,2,6,1,1,2,2,6,2,2,1,2,7,22,40
Mali,SSA,c,2020,PF,5,5,2,1,2,5,2,2,2,2,8,2,1,1,4,0,N/A,17,2,2,3,3,10,2,2,2,6,2,1,0,1,4,1,1,1,1,4,24,41
Malta,Europe,c,2020,F,2,1,4,4,4,12,3,4,3,4,14,4,2,3,9,0,N/A,35,3,4,4,3,14,4,4,4,12,4,4,4,3,15,4,4,3,3,14,55,90
Marshall Islands,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,93
Mauritania,SSA,c,2020,PF,5,5,2,2,2,6,1,1,1,0,3,1,2,1,4,0,N/A,13,2,2,3,2,9,1,1,2,4,1,1,1,1,4,1,2,1,0,4,21,34
Mauritius,SSA,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,3,4,4,4,15,4,4,4,12,3,4,3,3,13,4,3,3,2,12,52,89
Mexico,Americas,c,2020,PF,3,3,3,3,3,9,4,4,2,3,13,2,1,2,5,0,N/A,27,2,4,4,3,13,3,2,2,7,2,1,1,1,5,3,2,3,2,10,35,62
Micronesia,Asia,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,N/A,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
Moldova,Eurasia,c,2020,PF,3,4,4,3,2,9,3,4,2,3,12,3,1,1,5,0,N/A,26,2,3,3,3,11,3,3,2,8,1,1,2,2,6,3,2,2,2,9,34,60
Monaco,Europe,c,2020,F,3,1,0,4,4,8,3,2,2,3,10,2,3,3,8,0,N/A,26,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,3,4,4,15,57,83
Mongolia,Asia,c,2020,F,1,2,4,4,3,11,4,4,4,4,16,4,2,3,9,0,N/A,36,3,4,4,3,14,4,4,3,11,2,3,3,3,11,4,3,3,2,12,48,84
Montenegro,Europe,c,2020,PF,4,3,3,2,3,8,2,2,2,3,9,2,1,2,5,0,N/A,22,2,3,3,3,11,3,3,3,9,2,1,3,3,9,3,2,3,3,11,40,62
