Country,iso3,WHO_region,income_group,Nx
Afghanistan,AFG,EMRO,LIC,38928341
Angola,AGO,AFRO,LMIC,32866268
Albania,ALB,EURO,UMIC,2877800
Andorra,AND,EURO,HIC,77265
United Arab Emirates,ARE,EMRO,HIC,9890400
Argentina,ARG,AMRO,UMIC,45195777
Armenia,ARM,EURO,UMIC,2963234
Antigua and Barbuda,ATG,AMRO,HIC,97928
Australia,AUS,WPRO,HIC,25499881
Austria,AUT,EURO,HIC,9006400
Azerbaijan,AZE,EURO,UMIC,10139175
Burundi,BDI,AFRO,LIC,11890781
Belgium,BEL,EURO,HIC,11589616
Benin,BEN,AFRO,LMIC,12123198
Burkina Faso,BFA,AFRO,LIC,20903278
Bangladesh,BGD,SEARO,LMIC,164689383
Bulgaria,BGR,EURO,UMIC,6948445
Bahrain,BHR,EMRO,HIC,1701583
Bahamas,BHS,AMRO,HIC,393248
Bosnia and Herzegovina,BIH,EURO,UMIC,3280815
Belarus,BLR,EURO,UMIC,9449321
Belize,BLZ,AMRO,UMIC,397621
Bolivia (Plurinational State of),BOL,AMRO,LMIC,11673029
Brazil,BRA,AMRO,UMIC,212559409
Barbados,BRB,AMRO,HIC,287371
Brunei Darussalam,BRN,WPRO,HIC,437483
Bhutan,BTN,SEARO,LMIC,771612
Botswana,BWA,AFRO,UMIC,2351625
Central African Republic,CAF,AFRO,LIC,4829764
Canada,CAN,AMRO,HIC,37742157
Switzerland,CHE,EURO,HIC,8654618
Chile,CHL,AMRO,HIC,19116209
China,CHN,WPRO,UMIC,1447470104
Côte d’Ivoire,CIV,AFRO,LMIC,26378275
Cameroon,CMR,AFRO,LMIC,26545864
Democratic Republic of the Congo,COD,AFRO,LIC,89561404
Congo,COG,AFRO,LMIC,5518092
Cook Islands,COK,WPRO,UMIC,17564
Colombia,COL,AMRO,UMIC,50882884
Comoros,COM,AFRO,LMIC,869595
Cabo Verde,CPV,AFRO,LMIC,555988
Costa Rica,CRI,AMRO,UMIC,5094114
Cuba,CUB,AMRO,UMIC,11326616
Cyprus,CYP,EURO,HIC,1207361
Czechia,CZE,EURO,HIC,10708982
Germany,DEU,EURO,HIC,83783945
Djibouti,DJI,EMRO,LMIC,988002
Dominica,DMA,AMRO,UMIC,71991
Denmark,DNK,EURO,HIC,5792203
Dominican Republic,DOM,AMRO,UMIC,10847904
Algeria,DZA,AFRO,LMIC,43851043
Ecuador,ECU,AMRO,UMIC,17643060
Egypt,EGY,EMRO,LMIC,102334403
Eritrea,ERI,AFRO,LIC,3546427
Spain,ESP,EURO,HIC,46754783
Estonia,EST,EURO,HIC,1326539
Ethiopia,ETH,AFRO,LIC,114963583
Finland,FIN,EURO,HIC,5540718
Fiji,FJI,WPRO,UMIC,896444
France,FRA,EURO,HIC,65273512
Micronesia (Federated States of),FSM,WPRO,LMIC,115021
Gabon,GAB,AFRO,UMIC,2225728
The United Kingdom,GBR,EURO,HIC,67886004
Georgia,GEO,EURO,UMIC,3989175
Ghana,GHA,AFRO,LMIC,31072945
Guinea,GIN,AFRO,LIC,13132792
Gambia,GMB,AFRO,LIC,2416664
Guinea-Bissau,GNB,AFRO,LIC,1967998
Equatorial Guinea,GNQ,AFRO,UMIC,1402985
Greece,GRC,EURO,HIC,10423056
Grenada,GRD,AMRO,UMIC,112519
Guatemala,GTM,AMRO,UMIC,17915567
Guyana,GUY,AMRO,UMIC,786559
Honduras,HND,AMRO,LMIC,9904608
Croatia,HRV,EURO,HIC,4105268
Haiti,HTI,AMRO,LIC,11402533
Hungary,HUN,EURO,HIC,9660350
Indonesia,IDN,SEARO,UMIC,273523621
India,IND,SEARO,LMIC,1380004385
Ireland,IRL,EURO,HIC,4937796
Iran (Islamic Republic of),IRN,EMRO,UMIC,83992953
Iraq,IRQ,EMRO,UMIC,40222503
Iceland,ISL,EURO,HIC,341250
Israel,ISR,EURO,HIC,8655541
Italy,ITA,EURO,HIC,60461828
Jamaica,JAM,AMRO,UMIC,2961161
Jordan,JOR,EMRO,UMIC,10203140
Japan,JPN,WPRO,HIC,126476458
Kazakhstan,KAZ,EURO,UMIC,18776707
Kenya,KEN,AFRO,LMIC,53771300
Kyrgyzstan,KGZ,EURO,LMIC,6524191
Cambodia,KHM,WPRO,LMIC,16718971
Kiribati,KIR,WPRO,LMIC,119446
Saint Kitts and Nevis,KNA,AMRO,HIC,53192
Republic of Korea,KOR,WPRO,HIC,51269183
Kuwait,KWT,EMRO,HIC,4270563
Lao People's Democratic Republic,LAO,WPRO,LMIC,7275556
Lebanon,LBN,EMRO,UMIC,6825442
Liberia,LBR,AFRO,LIC,5057677
Libya,LBY,EMRO,UMIC,6871287
Saint Lucia,LCA,AMRO,UMIC,183629
Sri Lanka,LKA,SEARO,LMIC,21413250
Lesotho,LSO,AFRO,LMIC,2142252
Lithuania,LTU,EURO,HIC,2722291
Luxembourg,LUX,EURO,HIC,625976
Latvia,LVA,EURO,HIC,1886202
Morocco,MAR,EMRO,LMIC,36910558
Monaco,MCO,EURO,HIC,39244
Republic of Moldova,MDA,EURO,LMIC,4033963
Madagascar,MDG,AFRO,LIC,27691019
Maldives,MDV,SEARO,UMIC,540542
Mexico,MEX,AMRO,UMIC,128932753
Marshall Islands,MHL,WPRO,UMIC,59194
North Macedonia,MKD,EURO,UMIC,2083380
Mali,MLI,AFRO,LIC,20250834
Malta,MLT,EURO,HIC,441539
Myanmar,MMR,SEARO,LMIC,54409794
Montenegro,MNE,EURO,UMIC,628062
Mongolia,MNG,WPRO,LMIC,3278292
Mozambique,MOZ,AFRO,LIC,31255435
Mauritania,MRT,AFRO,LMIC,4649660
Mauritius,MUS,AFRO,HIC,1271767
Malawi,MWI,AFRO,LIC,19129955
Malaysia,MYS,WPRO,UMIC,32365998
Namibia,NAM,AFRO,UMIC,2540916
Niger,NER,AFRO,LIC,24206636
Nigeria,NGA,AFRO,LMIC,206139587
Nicaragua,NIC,AMRO,LMIC,6624554
Niue,NIU,WPRO,UMIC,1618
Netherlands,NLD,EURO,HIC,17134873
Norway,NOR,EURO,HIC,5421242
Nepal,NPL,SEARO,LMIC,29136808
Nauru,NRU,WPRO,HIC,10834
New Zealand,NZL,WPRO,HIC,4822233
Oman,OMN,EMRO,HIC,5106622
Pakistan,PAK,EMRO,LMIC,220892331
Panama,PAN,AMRO,HIC,4314768
Peru,PER,AMRO,UMIC,32971846
Philippines,PHL,WPRO,LMIC,109581085
Palau,PLW,WPRO,HIC,18092
Papua New Guinea,PNG,WPRO,LMIC,8947027
Poland,POL,EURO,HIC,37846605
Democratic People's Republic of Korea,PRK,SEARO,LIC,25778815
Portugal,PRT,EURO,HIC,10196707
Paraguay,PRY,AMRO,UMIC,7132530
Qatar,QAT,EMRO,HIC,2881060
Romania,ROU,EURO,HIC,19237682
Russian Federation,RUS,EURO,UMIC,145934460
Rwanda,RWA,AFRO,LIC,12952209
Saudi Arabia,SAU,EMRO,HIC,34813867
Sudan,SDN,EMRO,LIC,43849269
Senegal,SEN,AFRO,LMIC,16743930
Singapore,SGP,WPRO,HIC,5850343
Solomon Islands,SLB,WPRO,LMIC,686878
Sierra Leone,SLE,AFRO,LIC,7976985
El Salvador,SLV,AMRO,LMIC,6486201
San Marino,SMR,EURO,HIC,33938
Somalia,SOM,EMRO,LIC,15893219
Serbia,SRB,EURO,UMIC,8737370
South Sudan,SSD,AFRO,LIC,11193729
Sao Tome and Principe,STP,AFRO,LMIC,219161
Suriname,SUR,AMRO,UMIC,586634
Slovakia,SVK,EURO,HIC,5459643
Slovenia,SVN,EURO,HIC,2078932
Sweden,SWE,EURO,HIC,10099270
Eswatini,SWZ,AFRO,LMIC,1160164
Seychelles,SYC,AFRO,HIC,98340
Syrian Arab Republic,SYR,EMRO,LIC,17500657
Chad,TCD,AFRO,LIC,16425859
