lgd_state_id,lgd_state_name,state,deaths,month,year,pc11_state_id
02,himachal pradesh,Himachal Pradesh,4369,1,2018,02
02,himachal pradesh,Himachal Pradesh,3990,1,2019,02
02,himachal pradesh,Himachal Pradesh,4089,1,2020,02
02,himachal pradesh,Himachal Pradesh,3878,1,2021,02
02,himachal pradesh,Himachal Pradesh,3598,2,2018,02
02,himachal pradesh,Himachal Pradesh,3794,2,2019,02
02,himachal pradesh,Himachal Pradesh,3542,2,2020,02
02,himachal pradesh,Himachal Pradesh,3215,2,2021,02
02,himachal pradesh,Himachal Pradesh,3507,3,2018,02
02,himachal pradesh,Himachal Pradesh,3701,3,2019,02
02,himachal pradesh,Himachal Pradesh,3175,3,2020,02
02,himachal pradesh,Himachal Pradesh,3051,3,2021,02
02,himachal pradesh,Himachal Pradesh,3013,4,2018,02
02,himachal pradesh,Himachal Pradesh,3009,4,2019,02
02,himachal pradesh,Himachal Pradesh,2904,4,2020,02
02,himachal pradesh,Himachal Pradesh,3769,4,2021,02
02,himachal pradesh,Himachal Pradesh,3272,5,2018,02
02,himachal pradesh,Himachal Pradesh,3021,5,2019,02
02,himachal pradesh,Himachal Pradesh,3096,5,2020,02
02,himachal pradesh,Himachal Pradesh,7267,5,2021,02
02,himachal pradesh,Himachal Pradesh,3048,6,2018,02
02,himachal pradesh,Himachal Pradesh,3285,6,2019,02
02,himachal pradesh,Himachal Pradesh,3053,6,2020,02
02,himachal pradesh,Himachal Pradesh,2932,7,2018,02
02,himachal pradesh,Himachal Pradesh,2945,7,2019,02
02,himachal pradesh,Himachal Pradesh,2982,7,2020,02
02,himachal pradesh,Himachal Pradesh,2988,8,2018,02
02,himachal pradesh,Himachal Pradesh,3176,8,2019,02
02,himachal pradesh,Himachal Pradesh,3278,8,2020,02
02,himachal pradesh,Himachal Pradesh,3042,9,2018,02
02,himachal pradesh,Himachal Pradesh,3174,9,2019,02
02,himachal pradesh,Himachal Pradesh,3530,9,2020,02
02,himachal pradesh,Himachal Pradesh,3315,10,2018,02
02,himachal pradesh,Himachal Pradesh,3330,10,2019,02
02,himachal pradesh,Himachal Pradesh,3665,10,2020,02
02,himachal pradesh,Himachal Pradesh,3255,11,2018,02
02,himachal pradesh,Himachal Pradesh,3495,11,2019,02
02,himachal pradesh,Himachal Pradesh,4647,11,2020,02
02,himachal pradesh,Himachal Pradesh,3794,12,2018,02
02,himachal pradesh,Himachal Pradesh,4050,12,2019,02
