country,iso3c,world_bank_nominal_gdp_2018
Afghanistan,AFG,493.7504181
Angola,AGO,3289.646664
Albania,ALB,5284.380184
Andorra,AND,41793.05526
Arab World,ARB,6601.825189
United Arab Emirates,ARE,43839.35635
Argentina,ARG,11633.49801
Armenia,ARM,4220.490277
American Samoa,ASM,11466.69071
Antigua and Barbuda,ATG,16672.74424
Australia,AUS,57354.96405
Austria,AUT,51478.28526
Azerbaijan,AZE,4739.84171
Burundi,BDI,271.7520444
Belgium,BEL,47583.07494
Benin,BEN,1240.829464
Burkina Faso,BFA,813.096849
Bangladesh,BGD,1698.350394
Bulgaria,BGR,9427.73043
Bahrain,BHR,23991.05668
"Bahamas, The",BHS,33767.50337
Bosnia and Herzegovina,BIH,6072.184623
Belarus,BLR,6330.075246
Belize,BLZ,4884.734162
Bermuda,BMU,113021.4174
Bolivia,BOL,3548.590155
Brazil,BRA,9001.234249
Barbados,BRB,17745.19346
Brunei Darussalam,BRN,31628.32879
Bhutan,BTN,3243.486036
Botswana,BWA,8279.601739
Central African Republic,CAF,475.9536099
Canada,CAN,46313.17137
Central Europe and the Baltics,CEB,16037.4819
Switzerland,CHE,82818.10816
Chile,CHL,15924.79424
China,CHN,9976.677137
Cote d'Ivoire,CIV,2314.050681
Cameroon,CMR,1534.493702
"Congo, Dem. Rep.",COD,557.0644183
"Congo, Rep.",COG,2577.701705
Colombia,COL,6716.911598
Comoros,COM,1415.955313
Cabo Verde,CPV,3617.327489
Costa Rica,CRI,12112.13442
Caribbean small states,CSS,10187.21231
Cuba,CUB,8821.818891
Curacao,CUW,19573.89265
Cayman Islands,CYM,85975.02474
Cyprus,CYP,28689.70672
Czech Republic,CZE,23415.84363
Germany,DEU,47810.50767
Djibouti,DJI,3141.889219
Dominica,DMA,7693.87887
Denmark,DNK,61598.5367
Dominican Republic,DOM,8050.63044
Algeria,DZA,4153.733978
East Asia & Pacific (excluding high income),EAP,7971.673386
Early-demographic dividend,EAR,3585.322188
East Asia & Pacific,EAS,11318.63549
Europe & Central Asia (excluding high income),ECA,8031.864209
Europe & Central Asia,ECS,25215.27196
Ecuador,ECU,6295.935399
"Egypt, Arab Rep.",EGY,2537.125365
Euro area,EMU,40038.50678
Spain,ESP,30389.36099
Estonia,EST,23170.70738
Ethiopia,ETH,771.5238139
European Union,EUU,35733.716
Fragile and conflict affected situations,FCS,2175.936541
Finland,FIN,50030.87731
Fiji,FJI,6317.487853
France,FRA,41631.09074
Faroe Islands,FRO,64269.70425
"Micronesia, Fed. Sts.",FSM,3568.291016
Gabon,GAB,7956.627816
United Kingdom,GBR,43043.22782
Georgia,GEO,4722.787783
Ghana,GHA,2202.312164
Guinea,GIN,878.5996133
"Gambia, The",GMB,732.7175138
Guinea-Bissau,GNB,778.3499102
Equatorial Guinea,GNQ,10144.19581
Greece,GRC,20324.30499
Grenada,GRD,10485.90716
Greenland,GRL,54470.95639
Guatemala,GTM,4472.892371
Guam,GUM,35712.56214
Guyana,GUY,6145.842411
High income,HIC,44417.86792
"Hong Kong SAR, China",HKG,48543.40099
Honduras,HND,2505.776752
Heavily indebted poor countries (HIPC),HPC,972.9429143
Croatia,HRV,15014.08502
Haiti,HTI,1435.351756
Hungary,HUN,16410.18726
IBRD only,IBD,6448.829193
IDA & IBRD total,IBT,5152.65366
IDA total,IDA,1365.854651
IDA blend,IDB,1756.039606
Indonesia,IDN,3893.846425
IDA only,IDX,1170.105606
Isle of Man,IMN,89108.42814
India,IND,2005.863005
Ireland,IRL,78621.22793
"Iran, Islamic Rep.",IRN,5550.060957
Iraq,IRQ,5834.166211
Iceland,ISL,72968.70423
Israel,ISR,41719.72544
Italy,ITA,34615.75689
Jamaica,JAM,5354.236859
Jordan,JOR,4312.180117
Japan,JPN,39159.42356
Kazakhstan,KAZ,9812.601405
Kenya,KEN,1707.986805
Kyrgyz Republic,KGZ,1308.140165
Cambodia,KHM,1512.12671
Kiribati,KIR,1698.256286
St. Kitts and Nevis,KNA,19276.52127
"Korea, Rep.",KOR,33422.94421
Kuwait,KWT,33994.38192
Latin America & Caribbean (excluding high income),LAC,8593.741441
Lao PDR,LAO,2542.486528
Lebanon,LBN,8024.803271
Liberia,LBR,677.3221785
Libya,LBY,7877.122251
St. Lucia,LCA,11357.88901
Latin America & Caribbean,LCN,9092.672378
Least developed countries: UN classification,LDC,1063.167911
Low income,LIC,795.9571164
Liechtenstein,LIE,181402.83
Sri Lanka,LKA,4080.567125
Lower middle income,LMC,2091.390578
Low & middle income,LMY,5001.699779
Lesotho,LSO,1221.883763
Late-demographic dividend,LTE,9838.443252
Lithuania,LTU,19176.17652
Luxembourg,LUX,116654.2611
Latvia,LVA,17858.27998
"Macao SAR, China",MAC,87208.53591
Morocco,MAR,3222.200634
Monaco,MCO,185829.018
Moldova,MDA,4233.743437
Madagascar,MDG,527.5013261
Maldives,MDV,10276.93282
Middle East & North Africa,MEA,7943.946907
Mexico,MEX,9686.513783
Marshall Islands,MHL,3788.163594
Middle income,MIC,5478.717948
North Macedonia,MKD,6088.972445
Mali,MLI,894.8021869
Malta,MLT,30437.22151
Myanmar,MMR,1418.177623
Middle East & North Africa (excluding high income),MNA,3970.848245
Montenegro,MNE,8846.056525
Mongolia,MNG,4134.987198
Northern Mariana Islands,MNP,23258.67586
Mozambique,MOZ,503.3187272
Mauritania,MRT,1600.876469
Mauritius,MUS,11208.34382
Malawi,MWI,381.2589876
Malaysia,MYS,11377.455
North America,NAC,61305.89217
Namibia,NAM,5495.428925
Niger,NER,572.4271543
Nigeria,NGA,2027.777979
Nicaragua,NIC,2020.55193
Netherlands,NLD,53044.53244
Norway,NOR,81734.46557
Nepal,NPL,1038.651647
Nauru,NRU,9762.389302
New Zealand,NZL,42949.93058
OECD members,OED,39331.53423
Oman,OMN,16521.18228
Other small states,OSS,14382.79798
Pakistan,PAK,1482.305667
Panama,PAN,15592.57368
Peru,PER,6941.235848
Philippines,PHL,3252.092324
Palau,PLW,15660.6746
Papua New Guinea,PNG,2801.373997
Poland,POL,15468.48222
Pre-demographic dividend,PRE,1455.982289
