lgd_state_id,lgd_district_id,lgd_state_name,lgd_district_name,state,district,deaths,month,year,pc11_state_id,pc11_district_id,pc11_district_name
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,239,11,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,190,4,2018,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,194,7,2019,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,160,4,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,245,3,2019,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,248,5,2018,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,221,8,2018,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,181,5,2019,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,171,6,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,224,2,2019,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,183,7,2018,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,204,10,2019,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,160,8,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,207,2,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,201,1,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,189,11,2018,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,161,3,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,137,3,2021,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,199,9,2018,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,184,10,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,175,1,2021,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,213,4,2019,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,176,5,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,203,12,2018,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,269,12,2019,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,175,9,2020,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,170,9,2019,02,023,chamba
02,016,himachal pradesh,chamba,Himachal Pradesh,Chamba,224,6,2019,02,023,chamba
02,017,himachal pradesh,hamirpur,Himachal Pradesh,Hamirpur,241,3,2020,02,028,hamirpur
