location,official_covid_deaths_absolute,estimate_absolute,estimate_top_95_absolute,estimate_bot_95_absolute,difference_pct,vaccinated_per_100,official_covid_deaths_per_100k,estimate_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k
Greece,17075,18758.626,20125.239,18006.658,9.9,66.22476664409999,164.646,180.88,194.058,173.629
Greenland,NA,-7.316,48.898,-38.144,NA,NA,NA,-12.865,85.985,-67.075
Grenada,200,113.469,314.182,57.262,-43.3,NA,176.968,100.401,278.001,50.668
Guatemala,15775,46468.224,50198.068,42877.507,194.6,NA,86.439,254.622,275.06,234.947
Guernsey,NA,-39.826,104.194,-58.238,NA,NA,NA,-62.833,164.382,-91.879
Guinea,387,16186.57,21431.537,-6884.833,4082.6,NA,2.867,119.925,158.785,-51.009
Guinea-Bissau,146,2429.444,3565.01,-424.706,1564,NA,7.244,120.539,176.881,-21.072
Guyana,968,1162.886,3239.951,1162.886,20.1,NA,122.481,147.14,409.95,147.14
Haiti,711,15403.962,27161.517,-43.499,2066.5,NA,6.16,133.464,235.334,-0.377
Honduras,10372,43641.211,48289.059,21418.476,320.8,NA,103.071,433.68,479.868,212.844
Hong Kong,213,1281.948,2193.489,831.624,501.9,62.079030293401125,2.82,16.973,29.042,11.011
Hungary,32645,32149.481,34725.545,30399.927,-1.5,NA,338.846,333.703,360.442,315.543
Iceland,34,-39.574,36.291,-78.623,-216.4,82.86579683131407,9.902,-11.526,10.569,-22.898
India,465082,4748044.329,7337477.211,1208866.032,920.9,54.580691382671695,33.377,340.75,526.585,86.756
Indonesia,143709,849329.544,1238448.738,289385.143,491,47.790248773466466,52,307.325,448.126,104.712
Iran,128634,260470.793,266935.004,255907.349,102.5,NA,151.283,306.333,313.935,300.966
Iraq,23607,237838.552,417933.589,95519.471,907.5,NA,57.327,577.568,1014.911,231.96
Ireland,5609,2589.122,3164.461,1590.466,-53.8,NA,112.565,51.96,63.506,31.918
Isle of Man,NA,-31.567,144.479,-69.668,NA,79.82671818288257,NA,-36.96,169.159,-81.568
Israel,8154,7384.049,8042.61,6839.826,-9.4,67.41338930147454,87.762,79.475,86.563,73.618
Italy,133034,163196.093,171574.892,153534.48,22.7,77.75112030119665,220.374,270.338,284.217,254.333
Ivory Coast,702,14201.915,48191.466,-3962.626,1923.1,NA,2.595,52.495,178.133,-14.647
Jamaica,2343,3787.737,6921.076,2266.517,61.7,21.50163681257739,78.797,127.385,232.762,76.225
Japan,18338,4530.254,27479.99,-1482.765,-75.3,78.88160182661599,14.548,3.594,21.801,-1.176
Jersey,NA,-60.527,203.466,-87.387,NA,NA,NA,-59.884,201.306,-86.459
Jordan,11310,32032.98,42236.56,18812.81,183.2,39.629762211046,110.137,311.938,411.301,183.2
Kazakhstan,17601,72896.443,78710.631,70137.078,314.2,45.215904136244994,92.661,383.767,414.376,369.24
Kenya,5325,85059.262,135410.14,18983.642,1497.4,NA,9.684,154.693,246.264,34.525
Kiribati,NA,-67.846,73.88,-135.816,NA,NA,NA,-55.892,60.863,-111.886
Kuwait,2464,14581.899,25269.544,5799.953,491.8,NA,56.924,336.877,583.787,133.993
Kyrgyzstan,2715,12173.438,14202.023,11503.339,348.4,16.0390667537472,40.96,183.657,214.262,173.548
Laos,116,9539.171,12756.907,845.077,8123.4,NA,1.572,129.268,172.873,11.452
Latin America and Caribbean,1533229,2233316.211,2333084.598,2111143.625,45.7,12.658117695020279,233.797,340.548,355.762,321.919
Latvia,3901,5966.035,6384.438,5842.646,52.9,NA,208.952,319.563,341.974,312.954
Lebanon,8616,12777.915,13577.898,12252.715,48.3,27.46298612632515,127.283,188.767,200.585,181.008
Lesotho,661,1124.446,4240.444,666.364,70.1,NA,30.615,52.08,196.402,30.863
Liberia,287,-743.933,5873.132,-2728.179,-359.2,9.537300432723937,5.54,-14.361,113.376,-52.665
Libya,5346,25334.192,32918.326,13949.402,373.9,23.295381874755876,76.826,364.073,473.064,200.465
Liechtenstein,61,41.962,50.388,34.392,-31.2,NA,159.46,109.693,131.718,89.905
Lithuania,6440,15436.487,15745.697,14997.257,139.7,NA,239.417,573.877,585.372,557.547
Luxembourg,862,196.233,257.25,163.418,-77.2,NA,135.788,30.912,40.524,25.743
Macau,NA,-15.994,49.876,-39.394,NA,NA,NA,-2.429,7.575,-5.983
Madagascar,964,319.098,38112.175,-8557.008,-66.9,1.6006707347467313,3.391,1.123,134.069,-30.101
Malawi,2303,3768.859,40197.917,-4946.196,63.6,NA,11.721,19.182,204.594,-25.174
Malaysia,29892,2263.938,47854.704,2263.938,-92.4,78.1277967134379,91.2,6.907,146.004,6.907
Maldives,248,699.304,1704.827,253.026,182,NA,45.62,128.638,313.606,46.545
Mali,589,9989.077,32824.253,-5534.878,1595.9,NA,2.824,47.896,157.387,-26.539
Malta,462,411.291,462.514,376.7,-11,NA,89.518,79.692,89.617,72.99
Marshall Islands,NA,-39.419,41.961,-60.314,NA,NA,NA,-66.119,70.382,-101.168
Mauritania,812,7407.412,10897.025,149.138,812.2,21.910741323236532,17.005,155.125,228.205,3.123
Mauritius,240,-159.168,383.659,-349.711,-166.3,71.75466535995753,18.847,-12.499,30.128,-27.462
Mexico,291929,589222.676,625682.648,575353.219,101.8,58.01918929371847,224.109,452.336,480.325,441.688
Micronesia,NA,-8.568,108.517,-84.832,NA,NA,NA,-7.37,93.344,-72.971
Moldova,8709,15208.497,16332.183,13752.753,74.6,NA,216.425,377.942,405.867,341.766
Monaco,36,160.752,165.539,159.154,346.5,NA,91.093,406.761,418.874,402.719
Mongolia,1925,955.588,1585.878,382.137,-50.4,67.83573755542486,57.82,28.703,47.634,11.478
Montenegro,2231,3157.846,3522.86,2931.389,41.5,42.68841224677614,355.226,502.801,560.919,466.744
Montserrat,NA,0.221,10.498,-2.64,NA,NA,NA,4.44,210.752,-53.01
Morocco,14755,73880.929,113263.608,36846.614,400.7,NA,39.51,197.835,303.292,98.666
Mozambique,1936,46167.288,72220.925,12915.669,2284.7,18.40396952465166,6.019,143.541,224.546,40.157
Myanmar,18989,105809.048,144212.577,39718.817,457.2,NA,34.648,193.061,263.133,72.472
Namibia,3567,8317.089,13085.641,5345.171,133.2,13.390333871336784,137.863,321.453,505.756,206.589
Nauru,NA,-10.315,4.307,-12.979,NA,NA,NA,-94.87,39.609,-119.372
Nepal,11489,102775.321,115316.813,43594.243,794.6,NA,38.716,346.337,388.6,146.906
Netherlands,19307,26800.071,26800.071,24525.92,38.8,NA,112.426,156.058,156.058,142.816
New Caledonia,NA,-286.14,217.727,-340.457,NA,NA,NA,-99.279,75.543,-118.125
New Zealand,38,-2698.983,-2567.202,-2875.83,-7202.6,74.68756100417757,0.742,-52.688,-50.115,-56.14
Nicaragua,211,23246.608,26377.374,9180.536,10917.3,NA,3.148,346.841,393.552,136.974
Niger,237,24682.955,49976.123,-9933.563,10314.7,NA,0.943,98.218,198.864,-39.527
Nigeria,2973,197752.277,292972.015,-32269.142,6551.6,2.8132933748413627,1.406,93.544,138.586,-15.264
Niue,NA,-0.954,1,-1.463,NA,NA,NA,-59.078,49.969,-90.671
North America,798211,963298.945,1051118.773,897009.684,20.7,69.73158960521282,215.161,259.661,283.333,241.793
North Korea,NA,10389.651,39255.341,-3246.696,NA,NA,NA,40.474,152.923,-12.648
North Macedonia,7390,13819.233,14225.63,13014.865,87,NA,354.835,663.537,683.051,624.915
Norway,996,731.647,731.647,114.464,-26.5,NA,18.223,13.386,13.386,2.094
Oceania,3102,-2174.403,13910.774,-6809.852,-170.1,58.5128642200776,7.177,-5.033,32.202,-15.764
Oman,4113,4444.507,5304.797,4109.588,8.1,NA,78.742,85.089,101.559,78.677
Pakistan,28648,759548.049,930471.193,309467.24,2551.3,34.96768375979372,12.721,337.277,413.176,137.419
Palau,NA,-18.061,7.006,-21.772,NA,NA,NA,-99.379,38.551,-119.795
Palestinian Territories,4767,11381.353,23482.885,7950.271,138.8,NA,91.274,217.919,449.626,152.224
Panama,7350,8208.752,9877.627,7417.469,11.7,68.33482328190519,167.748,187.347,225.435,169.287
Papua New Guinea,436,1819.184,16355.544,-3006.162,317.2,NA,4.781,19.949,179.357,-32.966
Paraguay,16349,18144.744,19457.11,17254.944,11,NA,226.452,251.325,269.502,239
Peru,200767,197860.393,199556.035,197024.168,-1.4,NA,601.83,593.117,598.2,590.61
Philippines,46422,157095.89,240014.408,116669.095,238.4,NA,41.804,141.468,216.138,105.063
Pitcairn,NA,-0.031,1,-1,NA,NA,NA,-66.74,46.94,-90.785
Poland,79994,135614.139,138261.925,128488.774,69.5,NA,211.641,358.796,365.801,339.944
Portugal,18295,22586.141,23148.372,21758.903,23.5,NA,179.929,222.131,227.661,213.996
Qatar,611,762.405,1440.751,762.405,24.8,NA,20.85,26.016,49.164,26.016
Romania,54343,86187.183,91120.128,80606.432,58.6,NA,284.105,450.587,476.376,421.41
Russia,255448,924550.645,960484.754,902627.964,261.9,43.1023983753717,175.07,633.636,658.263,618.611
Rwanda,1339,23990.461,31212.783,5287.18,1691.7,39.37214858384921,10.085,180.698,235.098,39.824
Saint Kitts and Nevis,28,36.086,131.795,21.128,28.9,NA,52.291,67.393,246.135,39.457
Saint Lucia,272,404.849,721.777,250.047,48.8,28.916329087152455,147.505,219.548,391.417,135.6
