iso3c,date,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,daily_covid_deaths_per_100k,cumulative_covid_deaths_per_100k
ABW,2022-12-02,0.19342581379000032,0.5266457530000003,-0.14974508400000008,453.4394263818678,514.8133569124379,338.8599503024378,0,221.68158633840258
AFG,2022-12-02,0.24613947497999936,0.5420055429999976,-0.13764982300000062,300.48298863169964,486.41606298100027,115.03813970200014,3.0392349180763286e-4,19.047493078567967
AGO,2022-12-02,0.07891289332999955,0.31504762800000047,-0.2578569099999995,90.16282042622994,235.4218752439997,-53.46605755800072,3.512321617614613e-4,5.406165433832413
AIA,2022-12-02,-0.11119716886000072,0.5588890689999991,-0.2703677229999994,252.42181357800047,472.5080342729995,-29.7955655900002,0,75.58102916168042
ALB,2022-12-02,0.3610028202499993,0.3610028202499993,-0.15884543099999912,645.524963865474,662.726551835694,617.351805277694,0,126.44609083149739
AND,2022-12-02,0.7623672371899998,1.683979205000001,-0.146406127,264.8964420204504,620.7604648690883,155.96721598209027,0.15655724359054643,196.63589794972634
ARE,2022-12-02,0.03276583538000007,0.24208546200000008,-0.12192340599999962,125.77073883046975,424.89353304799977,96.22861679500018,0,24.86988327042778
ARG,2022-12-02,0.2111203173499996,0.2960514820000006,-0.18550284200000003,373.274819427791,473.9997276350809,330.6269758720811,0.0021973036271945683,285.70440412597367
ARM,2022-12-02,-0.06406913063999996,0.2131141829999996,-0.23467226499999985,518.4795735663301,637.3718000659995,457.9205638030002,0.004495639589249595,313.25616657891175
ATG,2022-12-02,-0.01812979678999976,0.231056389999999,-0.3034417599999996,-54.94072427459433,32.91896011708547,-119.3780071269142,0,155.69679648509148
AUS,2022-12-02,0.3465790624599996,0.4585396559999999,0.00498606899999995,87.65103808771487,97.92517062416502,72.15700543616497,0.08069935108171511,62.053503383260605
AUT,2022-12-02,0.0947100385300004,0.4921339759999999,-0.08114763899999985,262.68256641666926,268.07379850695924,257.9669166339593,0.08389621166096937,237.42627900054333
AZE,2022-12-02,-0.03511875707000012,0.2549244019999997,-0.24298207299999997,398.9991316714005,532.873819731001,273.5814563190001,0.009654300730309234,96.37888419067708
BDI,2022-12-02,0.07162003439000025,0.3247698480000004,-0.18507617200000004,97.49251146094018,249.0183668589995,-21.414315260999707,0,0.29481170957974356
BEL,2022-12-02,0.2020100397599996,0.263717448,-0.15221765000000062,258.12758484121537,261.1067911660554,247.6023661520554,0.020375906738574028,283.6412011301036
BEN,2022-12-02,-0.01179418527,0.3306307410000004,-0.20133145199999936,1.0307460044000851,212.48311817799993,-68.46446920199965,0,1.2207119012071117
BES,2022-12-02,-0.1891295965400004,0.9049175380000004,-0.510041552999999,238.9964189051203,602.4178797969988,-5.4184666469995095,0,140.4702055300902
BFA,2022-12-02,0.02784976515000032,0.28463895100000125,-0.22572554399999947,25.565487065960067,328.97565199900083,-3.4419218629997164,0,1.7068185061818584
BGD,2022-12-02,0.469198042729999,0.5871232929999968,-0.06387975900000019,417.02374812079967,574.0459537599997,178.01963659799998,1.460396659621869e-4,17.193541953060187
BGR,2022-12-02,0.13483272707000055,0.6300943680000015,-0.21787191200000075,1083.3622534072354,1100.9491190809354,1071.2168384759354,0.04792128523412497,561.0181724886113
BHR,2022-12-02,0.4998808655899999,0.5516237859999983,-0.06310173800000018,336.9820130979299,633.5957077129999,178.7439517010003,0.008490480812532222,104.33102822439594
BHS,2022-12-02,0.3386545969999991,0.3386545969999991,-0.151631216,339.9389593590628,362.2780685546528,272.0723772146529,0,203.17618277563543
BIH,2022-12-02,0.2464868235699992,0.3038667200000014,-0.25184201700000025,795.5451703296918,813.3361907298819,764.5218623868817,0.015462976994182828,501.09323247348874
