location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Asia,2020-03-09,-1392.969,367.242,-1059.449,-2485.831,-4799.121,55.75,FALSE
Latin America and Caribbean,2020-03-09,-11.069,23.497,-11.069,-47.173,-78.251,0.25,FALSE
Europe,2020-03-09,479.754,480.314,479.758,479.365,479.048,48.75,FALSE
Africa,2020-03-16,-466.732,1159.068,151.332,-861.822,-2022.931,0.5,FALSE
North America,2020-03-16,199.007,199.007,199.007,199.007,199.007,8,FALSE
Oceania,2020-03-16,18.659,38.411,25.088,15.111,7.393,0.375,FALSE
Asia,2020-03-16,-678.804,1084.464,-678.804,-2443.311,-4317.997,96.25,FALSE
Europe,2020-03-16,2335.608,2336.362,2335.707,2335.31,2334.961,292.5,FALSE
Latin America and Caribbean,2020-03-16,-137.211,-95.952,-128.431,-162.346,-214.109,2.25,FALSE
Africa,2020-03-23,-574.647,1345.577,29.302,-1009.693,-2204.98,3.625,FALSE
North America,2020-03-23,863.607,863.607,863.607,863.607,863.607,53.875,FALSE
Oceania,2020-03-23,19.223,40.311,26.578,16.804,8.102,0.375,FALSE
Asia,2020-03-23,-91.009,2023.425,-91.009,-1921.172,-3638.581,166.5,FALSE
Europe,2020-03-23,4400.743,4401.552,4400.918,4400.444,4400.05,1121.375,FALSE
Latin America and Caribbean,2020-03-23,283.208,298.11,283.208,221.793,177.32,10.5,FALSE
Africa,2020-03-30,-757.092,979.599,-238.686,-1229.737,-2594.877,15.375,FALSE
North America,2020-03-30,2263.178,2263.178,2263.178,2263.178,2263.178,289.75,FALSE
Oceania,2020-03-30,27.734,49.453,36.166,26.578,17.441,1.5,FALSE
Asia,2020-03-30,-3113.851,-764.787,-2520.107,-4411.712,-6368.664,195.875,FALSE
Europe,2020-03-30,6111.765,6112.881,6112.185,6111.698,6111.284,2531.375,FALSE
Latin America and Caribbean,2020-03-30,718.669,762.553,718.669,675.002,634.006,48.875,FALSE
Africa,2020-04-06,-852.692,688.496,-490.567,-1456.006,-2756.082,61.125,FALSE
North America,2020-04-06,3344.95,3344.95,3344.95,3344.95,3344.95,1047.25,FALSE
Oceania,2020-04-06,15.774,38.996,23.539,14.026,5.454,3.625,FALSE
Asia,2020-04-06,-2082.632,1785.137,-1761.253,-3826.203,-6886.247,268.375,FALSE
Europe,2020-04-06,6003.18,6003.922,6003.194,6002.529,6001.926,3629.75,FALSE
Latin America and Caribbean,2020-04-06,771.961,814.193,775.754,722.268,676.512,142.875,FALSE
Africa,2020-04-13,-775.285,619.603,-395.331,-1453.243,-2888.8,51.5,FALSE
North America,2020-04-13,3184.636,3184.636,3184.636,3184.636,3184.636,2068.25,FALSE
Oceania,2020-04-13,4.027,26.956,10.65,1.886,-6.606,4.125,FALSE
Asia,2020-04-13,-2508.845,311.502,-2201.142,-4156.296,-6463.235,335.875,FALSE
Europe,2020-04-13,5098.354,5099.513,5098.428,5097.628,5096.77,3890.125,FALSE
Latin America and Caribbean,2020-04-13,775.352,836.692,785.873,736.757,682.312,300.75,FALSE
Africa,2020-04-20,-656.981,741.351,-380.392,-1493.038,-3040.626,72.75,FALSE
North America,2020-04-20,2911.178,2911.178,2911.178,2911.178,2911.178,2330.25,FALSE
Oceania,2020-04-20,-2.312,15.962,3.055,-5.77,-16.756,2.625,FALSE
Asia,2020-04-20,-2259.499,130.13,-2259.499,-4285.904,-6231.974,511.375,FALSE
Europe,2020-04-20,3615.763,3616.777,3615.763,3614.579,3613.82,3494.875,FALSE
Latin America and Caribbean,2020-04-20,1058.049,1114.992,1062.238,1010.309,968.548,475.25,FALSE
Africa,2020-04-27,-394.093,957.185,-244.015,-1369.329,-3173.597,41.5,FALSE
North America,2020-04-27,2241.378,2241.378,2241.378,2241.378,2241.378,2243.25,FALSE
Oceania,2020-04-27,-28.768,-6.624,-19.172,-31.519,-40.835,2.625,FALSE
Asia,2020-04-27,-2129.656,-281.793,-2129.656,-4136.7,-6587.41,356.625,FALSE
Europe,2020-04-27,2274.637,2275.965,2274.976,2274.259,2273.627,2782.875,FALSE
Latin America and Caribbean,2020-04-27,1332.401,1397.8,1341.73,1288.899,1240.131,746,FALSE
Africa,2020-05-04,106.513,2086.569,559.252,-703.288,-2490.887,52.75,FALSE
North America,2020-05-04,1949.578,1949.578,1949.578,1949.578,1949.578,2062.625,FALSE
Oceania,2020-05-04,-18.307,5.84,-8.947,-20.916,-31.408,2,FALSE
Asia,2020-05-04,1618.995,4457.037,1618.995,-261.081,-2042.33,333.625,FALSE
Europe,2020-05-04,1712.346,1713.391,1712.616,1712.024,1711.456,2043.25,FALSE
Latin America and Caribbean,2020-05-04,2711.115,2786.999,2711.115,2661.621,2614.598,1249.375,FALSE
Africa,2020-05-11,214.329,2154.995,795.429,-521.025,-2482.135,64.25,FALSE
North America,2020-05-11,1666.378,1666.378,1666.378,1666.378,1666.378,1943.25,FALSE
Oceania,2020-05-11,-18.396,7.424,-8.16,-20.75,-30.637,0.375,FALSE
Asia,2020-05-11,1825.579,5037.301,1825.579,93.088,-1440.034,357.625,FALSE
Europe,2020-05-11,1723.028,1723.81,1723.138,1722.501,1721.923,1587.25,FALSE
