location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-03-16,0.313,0.313,0.313,0.313,0.313,0.04,FALSE
Africa,2020-03-16,-0.007,0.084,0.02,-0.061,-0.162,0,FALSE
North America,2020-03-16,0.054,0.054,0.054,0.054,0.054,0.003,FALSE
Latin America and Caribbean,2020-03-16,-0,0.011,0.002,-0.004,-0.01,0.001,FALSE
Oceania,2020-03-16,-0.007,0.028,0.011,-0.007,-0.019,0,FALSE
Asia,2020-03-16,-0.021,0.005,-0.02,-0.053,-0.088,0.002,FALSE
Europe,2020-03-23,0.589,0.589,0.589,0.589,0.589,0.135,FALSE
Africa,2020-03-23,-0.013,0.06,-0.007,-0.089,-0.239,0,FALSE
North America,2020-03-23,0.233,0.233,0.233,0.233,0.233,0.026,FALSE
Latin America and Caribbean,2020-03-23,0.057,0.068,0.058,0.051,0.044,0.003,FALSE
Oceania,2020-03-23,0.014,0.052,0.033,0.014,-0.008,0.001,FALSE
Asia,2020-03-23,-0.014,0.002,-0.012,-0.042,-0.07,0.004,FALSE
Africa,2020-03-30,-0.03,0.014,-0.03,-0.125,-0.251,0.001,FALSE
North America,2020-03-30,0.61,0.61,0.61,0.61,0.61,0.131,FALSE
Europe,2020-03-30,0.814,0.814,0.814,0.814,0.814,0.316,FALSE
Latin America and Caribbean,2020-03-30,0.128,0.141,0.129,0.122,0.115,0.008,FALSE
Oceania,2020-03-30,0.049,0.085,0.063,0.045,0.022,0.003,FALSE
Asia,2020-03-30,-0.051,-0.034,-0.051,-0.089,-0.122,0.004,FALSE
Africa,2020-04-06,-0.031,0.008,-0.031,-0.122,-0.223,0.003,FALSE
North America,2020-04-06,0.902,0.902,0.902,0.902,0.902,0.392,FALSE
Europe,2020-04-06,0.802,0.802,0.802,0.802,0.802,0.483,FALSE
Latin America and Caribbean,2020-04-06,0.136,0.15,0.14,0.132,0.124,0.023,FALSE
Oceania,2020-04-06,0.013,0.051,0.031,0.012,-0.01,0.007,FALSE
Asia,2020-04-06,-0.045,-0.025,-0.045,-0.09,-0.115,0.006,FALSE
Africa,2020-04-13,-0.023,0.018,-0.023,-0.132,-0.207,0.004,FALSE
North America,2020-04-13,0.858,0.858,0.858,0.858,0.858,0.608,FALSE
Europe,2020-04-13,0.68,0.68,0.68,0.68,0.68,0.524,FALSE
Latin America and Caribbean,2020-04-13,0.138,0.152,0.141,0.133,0.124,0.043,FALSE
Oceania,2020-04-13,-0.041,0.001,-0.024,-0.041,-0.063,0.009,FALSE
Asia,2020-04-13,-0.049,-0.035,-0.049,-0.089,-0.122,0.007,FALSE
Africa,2020-04-20,-0.027,0.022,-0.027,-0.132,-0.231,0.003,FALSE
North America,2020-04-20,0.785,0.785,0.785,0.785,0.785,0.64,FALSE
Europe,2020-04-20,0.484,0.484,0.484,0.484,0.484,0.475,FALSE
Oceania,2020-04-20,-0.033,0.005,-0.017,-0.033,-0.05,0.004,FALSE
Asia,2020-04-20,-0.048,-0.032,-0.048,-0.091,-0.14,0.011,FALSE
Latin America and Caribbean,2020-04-20,0.178,0.191,0.18,0.173,0.163,0.066,FALSE
Africa,2020-04-27,-0.022,0.025,-0.022,-0.117,-0.209,0.003,FALSE
North America,2020-04-27,0.604,0.604,0.604,0.604,0.604,0.6,FALSE
Europe,2020-04-27,0.306,0.306,0.306,0.306,0.306,0.381,FALSE
Latin America and Caribbean,2020-04-27,0.218,0.233,0.224,0.214,0.21,0.104,FALSE
Oceania,2020-04-27,-0.099,-0.057,-0.077,-0.099,-0.121,0.007,FALSE
Asia,2020-04-27,-0.035,-0.015,-0.035,-0.08,-0.132,0.008,FALSE
Africa,2020-05-04,0.023,0.068,0.025,-0.072,-0.193,0.004,FALSE
North America,2020-05-04,0.526,0.526,0.526,0.526,0.526,0.535,FALSE
Europe,2020-05-04,0.231,0.231,0.231,0.231,0.23,0.279,FALSE
Latin America and Caribbean,2020-05-04,0.411,0.424,0.413,0.404,0.397,0.16,FALSE
Oceania,2020-05-04,-0.072,-0.028,-0.048,-0.072,-0.089,0.004,FALSE
Asia,2020-05-04,0.035,0.091,0.035,-0.004,-0.074,0.008,FALSE
Africa,2020-05-11,0.025,0.092,0.028,-0.058,-0.174,0.005,FALSE
North America,2020-05-11,0.449,0.449,0.449,0.449,0.449,0.476,FALSE
Europe,2020-05-11,0.233,0.233,0.233,0.233,0.233,0.217,FALSE
Latin America and Caribbean,2020-05-11,0.451,0.464,0.452,0.443,0.436,0.206,FALSE
Oceania,2020-05-11,-0.111,-0.069,-0.087,-0.112,-0.131,0.001,FALSE
Asia,2020-05-11,0.043,0.097,0.047,0.003,-0.051,0.008,FALSE
Africa,2020-05-18,0.026,0.089,0.029,-0.056,-0.172,0.005,FALSE
North America,2020-05-18,0.338,0.338,0.338,0.338,0.338,0.402,FALSE
Europe,2020-05-18,0.174,0.174,0.174,0.174,0.174,0.174,FALSE
Latin America and Caribbean,2020-05-18,0.483,0.498,0.487,0.477,0.471,0.246,FALSE
Oceania,2020-05-18,-0.107,-0.063,-0.084,-0.107,-0.128,0.001,FALSE
Asia,2020-05-18,0.06,0.163,0.072,0.024,-0.029,0.008,FALSE
Africa,2020-05-25,0.022,0.122,0.04,-0.041,-0.177,0.007,FALSE
North America,2020-05-25,0.279,0.279,0.279,0.279,0.279,0.323,FALSE
Europe,2020-05-25,0.128,0.128,0.128,0.128,0.128,0.132,FALSE
Latin America and Caribbean,2020-05-25,0.508,0.523,0.511,0.501,0.495,0.296,FALSE
Oceania,2020-05-25,-0.129,-0.079,-0.107,-0.129,-0.153,0.001,FALSE
Asia,2020-05-25,0.216,0.386,0.216,0.044,-0.025,0.008,FALSE
Africa,2020-06-01,0.122,0.201,0.13,0.033,-0.052,0.009,FALSE
North America,2020-06-01,0.22,0.22,0.22,0.22,0.22,0.264,FALSE
Europe,2020-06-01,0.192,0.192,0.192,0.192,0.192,0.101,FALSE
Latin America and Caribbean,2020-06-01,0.522,0.539,0.529,0.516,0.508,0.303,FALSE
Oceania,2020-06-01,-0.162,-0.111,-0.14,-0.162,-0.184,0.001,FALSE
Asia,2020-06-01,0.165,0.377,0.204,0.115,0.037,0.01,FALSE
Africa,2020-06-08,0.188,0.237,0.188,0.074,-0.008,0.01,FALSE
North America,2020-06-08,0.192,0.192,0.192,0.192,0.192,0.22,FALSE
Europe,2020-06-08,0.177,0.177,0.177,0.177,0.177,0.079,FALSE
Oceania,2020-06-08,-0.141,-0.093,-0.116,-0.141,-0.164,0,FALSE
Latin America and Caribbean,2020-06-08,0.55,0.568,0.556,0.544,0.536,0.368,FALSE
Asia,2020-06-08,0.216,0.306,0.216,0.126,0.044,0.013,FALSE
Africa,2020-06-15,0.236,0.293,0.236,0.137,0.071,0.014,FALSE
North America,2020-06-15,0.201,0.201,0.201,0.201,0.201,0.188,FALSE
Europe,2020-06-15,0.133,0.133,0.133,0.133,0.133,0.064,FALSE
Latin America and Caribbean,2020-06-15,0.552,0.566,0.557,0.546,0.539,0.371,FALSE
Oceania,2020-06-15,-0.177,-0.127,-0.155,-0.177,-0.2,0,FALSE
Asia,2020-06-15,0.208,0.266,0.208,0.12,0.049,0.016,FALSE
Africa,2020-06-22,0.248,0.326,0.248,0.151,0.086,0.017,FALSE
North America,2020-06-22,0.223,0.223,0.223,0.223,0.223,0.156,FALSE
Europe,2020-06-22,0.208,0.208,0.208,0.208,0.208,0.057,FALSE
Latin America and Caribbean,2020-06-22,0.55,0.568,0.557,0.545,0.537,0.402,FALSE
Oceania,2020-06-22,-0.199,-0.148,-0.178,-0.199,-0.221,0,FALSE
Asia,2020-06-22,0.25,0.297,0.25,0.152,0.083,0.024,FALSE
Africa,2020-06-29,0.279,0.308,0.279,0.164,0.099,0.016,FALSE
North America,2020-06-29,0.26,0.26,0.26,0.26,0.26,0.146,FALSE
Europe,2020-06-29,0.177,0.177,0.177,0.177,0.177,0.049,FALSE
Asia,2020-06-29,0.282,0.352,0.282,0.175,0.106,0.02,FALSE
Latin America and Caribbean,2020-06-29,0.575,0.589,0.579,0.566,0.556,0.394,FALSE
Oceania,2020-06-29,-0.193,-0.141,-0.167,-0.193,-0.217,0.001,FALSE
Africa,2020-07-06,0.273,0.33,0.273,0.168,0.092,0.018,FALSE
North America,2020-07-06,0.366,0.366,0.366,0.366,0.366,0.138,FALSE
Asia,2020-07-06,0.242,0.333,0.255,0.171,0.105,0.023,FALSE
Europe,2020-07-06,0.171,0.171,0.171,0.171,0.171,0.049,FALSE
Latin America and Caribbean,2020-07-06,0.709,0.725,0.715,0.702,0.693,0.391,FALSE
Oceania,2020-07-06,-0.187,-0.14,-0.168,-0.189,-0.212,0.001,FALSE
Africa,2020-07-13,0.316,0.364,0.316,0.213,0.138,0.019,FALSE
North America,2020-07-13,0.424,0.424,0.424,0.424,0.424,0.2,FALSE
Asia,2020-07-13,0.242,0.318,0.249,0.169,0.109,0.025,FALSE
Europe,2020-07-13,0.167,0.167,0.167,0.167,0.167,0.046,FALSE
Latin America and Caribbean,2020-07-13,0.726,0.745,0.729,0.714,0.703,0.408,FALSE
Oceania,2020-07-13,-0.202,-0.15,-0.179,-0.203,-0.232,0.001,FALSE
Africa,2020-07-20,0.35,0.376,0.35,0.22,0.123,0.02,FALSE
North America,2020-07-20,0.469,0.469,0.469,0.469,0.469,0.205,FALSE
Asia,2020-07-20,0.262,0.34,0.262,0.187,0.125,0.029,FALSE
Europe,2020-07-20,0.169,0.169,0.169,0.169,0.169,0.041,FALSE
Latin America and Caribbean,2020-07-20,0.722,0.741,0.726,0.708,0.697,0.418,FALSE
Oceania,2020-07-20,-0.175,-0.122,-0.155,-0.176,-0.206,0.005,FALSE
Africa,2020-07-27,0.309,0.351,0.309,0.191,0.112,0.027,FALSE
North America,2020-07-27,0.464,0.464,0.464,0.464,0.464,0.259,FALSE
Asia,2020-07-27,0.256,0.336,0.261,0.197,0.138,0.029,FALSE
Europe,2020-07-27,0.289,0.289,0.289,0.289,0.289,0.039,FALSE
Latin America and Caribbean,2020-07-27,0.706,0.727,0.71,0.694,0.682,0.426,FALSE
Oceania,2020-07-27,-0.146,-0.091,-0.124,-0.149,-0.179,0.013,FALSE
Africa,2020-08-03,0.214,0.267,0.214,0.117,0.055,0.026,FALSE
North America,2020-08-03,0.438,0.438,0.438,0.438,0.438,0.283,FALSE
Oceania,2020-08-03,-0.167,-0.116,-0.15,-0.171,-0.204,0.021,FALSE
Europe,2020-08-03,0.193,0.193,0.193,0.193,0.193,0.039,FALSE
Latin America and Caribbean,2020-08-03,0.669,0.686,0.671,0.66,0.649,0.435,FALSE
Asia,2020-08-03,0.244,0.377,0.264,0.191,0.121,0.03,FALSE
Africa,2020-08-10,0.198,0.25,0.198,0.107,0.032,0.03,FALSE
North America,2020-08-10,0.451,0.451,0.451,0.451,0.451,0.266,FALSE
Oceania,2020-08-10,-0.136,-0.088,-0.12,-0.144,-0.171,0.032,FALSE
Europe,2020-08-10,0.326,0.326,0.326,0.326,0.326,0.042,FALSE
Latin America and Caribbean,2020-08-10,0.629,0.641,0.63,0.617,0.609,0.455,FALSE
Asia,2020-08-10,0.24,0.381,0.27,0.206,0.122,0.031,FALSE
