region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
East Asia & Pacific,2020-01-20,2362944397,-0.061309744903053597,-0.04205712410441556,-0.04699970244456609,-0.05342516688070266,-0.06581456822463233,-0.06866767207283155,-0.06910287361311826,-2.694317093466598,-0.06571505106016093,1.815531506135563e-5
North America,2020-01-20,376814276,-3.3268953886104876e-6,-3.512744921851054e-7,-1.0891359963893734e-6,-3.0362187757849178e-6,-5.401038669285968e-6,-7.395755751448736e-6,-8.296690018612787e-6,0,0,0
Other,2020-01-20,3675292,-0.017961308850767955,0.10444768749770675,0.07976410099478684,0.01886540722650528,-0.017961308850767955,-0.041331337976523684,-0.04768504129841253,0,0,0
Latin America & Caribbean,2020-01-27,660258572,-0.02226310925929476,-0.018637547041564596,-0.019256587362093385,-0.021287466178421248,-0.023068187247471793,-0.0245995615014121,-0.024867557735146317,-1.1259925777668307,-0.022979440362588383,0
South Asia,2020-01-27,1918999115,0.03069491625847857,0.06661203862485142,0.05783913088449805,0.03069491625847857,-0.005382808175621914,-0.02698534921706256,-0.04579205063858657,1.3541882111573554e-5,1.6927352639466942e-6,0
Sub-Saharan Africa,2020-01-27,1211214422,0.03705050145467411,0.1134485901634657,0.09373400909970617,0.03758150775444979,0.009935476576772248,-0.004569836623569127,-0.012798351059424656,0.06275465350054357,0.0013073886145946575,0
Europe & Central Asia,2020-01-27,923927595,-0.09758301929712428,-0.09657293945416132,-0.09667554337831036,-0.0971061384837016,-0.09758301929712428,-0.09796731753962994,-0.0980655412253524,-5.736496682756717,-0.09722875733485958,4.643220987462768e-5
Middle East & North Africa,2020-01-27,493379661,-0.021261889061890908,-0.014311545088404742,-0.01491891647585125,-0.018250248605089843,-0.0231945712511049,-0.026636058388848572,-0.026891528921223453,-0.4524163748275624,-0.021543636896550592,0
East Asia & Pacific,2020-01-27,2362944397,-0.03073321320519487,-0.009289556285548907,-0.009367281352750813,-0.02110588943915054,-0.035286883013959824,-0.03830440780440944,-0.038432294346651116,-1.4495745548150187,-0.03535547694670778,4.715726706962373e-4
North America,2020-01-27,376814276,-0.05268063037291096,-0.05267760519270405,-0.05267820937565673,-0.05268005756552323,-0.05268238267191765,-0.05268377868313783,-0.05268468113212599,-0.21071020765130424,-0.05267755191282606,0
Other,2020-01-27,3675292,-0.004874882520699067,0.11833029721001352,0.09008220736825281,0.0297107477172139,-0.004874882520699067,-0.025399852112713627,-0.02995506735962829,0.06572664118258728,0.01095444019709788,0
Latin America & Caribbean,2020-02-03,660258572,-4.7077382020455744e-4,0.002002448397552974,0.0014997592440338843,-1.0510887606144756e-4,-0.002053516084416154,-0.0028965672572457113,-0.0032073764789512377,-0.007574359062299621,-1.5457875637346164e-4,0
South Asia,2020-02-03,1918999115,0.03166450136413495,0.06419159655419117,0.05386214804637253,0.03166450136413495,-0.00898587146724397,-0.03643613619066666,-0.05726811703518047,9.450512880365721e-5,1.1813141100457151e-5,0
Sub-Saharan Africa,2020-02-03,1211214422,0.04281870194529317,0.11963552612829573,0.0968365521446428,0.04335947355350108,0.011473209280787018,0.0016756620006344203,-0.006677841101441485,0.32631686460494175,0.006798268012602952,0
Europe & Central Asia,2020-02-03,923927595,-0.11622784756197807,-0.11520998892493187,-0.11534379826336925,-0.11573201918097667,-0.11634136728441856,-0.11662335197304724,-0.11690822928475413,-6.838405266995856,-0.11590517401687891,6.190961316617023e-5
Middle East & North Africa,2020-02-03,493379661,0.0024540067119602793,0.009876047691761444,0.008951794602938613,0.005237084237933013,-2.0696179818280884e-5,-0.0027094515491294237,-0.00746375451096083,0.06434926180105822,0.0030642505619551536,0
East Asia & Pacific,2020-02-03,2362944397,0.028769223688703015,0.05179840865178177,0.049743997589697435,0.03760578423911229,0.02410079125189679,0.02148207693852995,0.021272211183391218,1.0825146389632219,0.0264027960722737,0.002079735776364102
North America,2020-02-03,376814276,-0.03507655929976336,-0.03507350398190776,-0.03507359456076144,-0.035075000681241426,-0.03507708742166512,-0.035079103755557416,-0.035079492632369286,-0.14029801610588646,-0.035074504026471616,0
Other,2020-02-03,3675292,-0.03679263448764952,0.0843212056735155,0.05781828665036518,-0.0071111494030898946,-0.03679263448764952,-0.058489640100302775,-0.0628344918128412,-0.1268216575628759,-0.02113694292714598,0
Latin America & Caribbean,2020-02-10,660258572,-0.011029546425609453,-0.007552545720439797,-0.007830604800286316,-0.009935828415929647,-0.012707920359355305,-0.014646680833470668,-0.015262230916060502,-0.5125343562596891,-0.01045988482162631,0
South Asia,2020-02-10,1918999115,0.029585599733756116,0.06161360951398961,0.047736630518384796,0.029585599733756116,-0.018259963739003775,-0.06256733127334654,-0.06677163487847665,9.450512880365721e-5,1.1813141100457151e-5,0
Sub-Saharan Africa,2020-02-10,1211214422,0.041059772035770006,0.1324774911634543,0.10026634511737548,0.05482348342125909,0.009617967449602837,-0.016949158706823324,-0.020154035524105045,0.10382470352190958,0.002163014656706449,0
Europe & Central Asia,2020-02-10,923927595,-0.10321188886535769,-0.10240103014010084,-0.10242522019520699,-0.10278412769176307,-0.10332289225001956,-0.10384971090104476,-0.10412603708826308,-6.067094053712217,-0.1028321026052918,1.5477403291542557e-5
Middle East & North Africa,2020-02-10,493379661,-0.009270414422345429,-0.0019115262154881835,-0.00371324236118363,-0.0067501658830245994,-0.012911314702822372,-0.01924103964003191,-0.021446112622144964,-0.19558240976413932,-0.009313448084006637,0
East Asia & Pacific,2020-02-10,2362944397,-0.03495661504169091,-0.0115734158577348,-0.013835262121057703,-0.027483429812720707,-0.03929988357246791,-0.04280182169295681,-0.04355352887999283,-1.4953605670977899,-0.03647220895360463,0.0035488350934734245
North America,2020-02-10,376814276,-0.05055088893196091,-0.05054695006698041,-0.050547654844011955,-0.05054895016316733,-0.05055088893196091,-0.05055133213296912,-0.0505515235483832,-0.20219537777540242,-0.050548844443850605,0
Other,2020-02-10,3675292,-0.04068763449876731,0.07607254309062096,0.060483215014593694,-0.0012927324137146754,-0.04068763449876731,-0.06684873308644862,-0.06982802609203316,-0.1268216575628759,-0.02113694292714598,0
Latin America & Caribbean,2020-02-17,660258572,-0.017730373150447124,-0.013589901675507315,-0.01395144764521144,-0.01674223101000115,-0.01954007989318166,-0.021293821067219495,-0.022772492214435006,-0.8351150476720022,-0.017043164238204126,0
South Asia,2020-02-17,1918999115,0.022208781816445783,0.06893807751883953,0.06515228228712477,0.022208781816445783,-0.026520932084828787,-0.0741683311943395,-0.0952834386085495,9.450512880365721e-5,1.1813141100457151e-5,0
Sub-Saharan Africa,2020-02-17,1211214422,0.038924641471116246,0.13664998690357846,0.11500852923018699,0.05135722001089875,-0.0044745467927132954,-0.023017988526482028,-0.04398684694883899,0.14637939590887175,0.0030495707481014945,0
Europe & Central Asia,2020-02-17,923927595,-0.14465689770185414,-0.1435293833048097,-0.14365044611222566,-0.144127141862693,-0.14486120488258086,-0.14535247867538434,-0.14541732840905408,-8.516953619972774,-0.14435514610123346,1.5477403291542557e-5
Middle East & North Africa,2020-02-17,493379661,0.0015674398707126154,0.009602195499652154,0.008782515940247572,0.004350257566212514,-0.002769229217936945,-0.008190079810937006,-0.009692425045417688,0.0439998214134037,0.002095229591114462,0
East Asia & Pacific,2020-02-17,2362944397,-0.07102174447862152,-0.0466246422557512,-0.04787443902669214,-0.06231882117720835,-0.07553579572482134,-0.07947164716947243,-0.0803620712235129,-2.954820431249639,-0.07206879100608876,0.0051630499708284075
