custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Asia,2020-02-17,4678110154,3142.4372886512,15551.328750941542,9104.394151992432,3142.4372886512,-69356.2487619592,-100114.25363959577,-109371.09736583609,-2656549.8234800277,-53130.996469600555,1881.397
Oceania,2020-02-17,43430556,-497.0202723928805,438.01984654729387,384.7177484710487,-58.80819033502226,-497.0202723928805,-687.7271386589339,-770.2612354644232,-2663.0172218799016,-115.78335747303919,0
European Union,2020-02-17,447045744,-21145.888519260385,-21145.888519260385,-21145.888519260385,-21145.888519260385,-21145.888519260385,-21145.888519260385,-21145.888519260385,-570938.9900200304,-21145.888519260385,2.333333333333333
North America,2020-02-17,370982987,-4318.835840832441,-4318.835840832441,-4318.835840832441,-4318.835840832441,-4318.835840832441,-4318.835840832441,-4318.835840832441,-8637.671681664882,-4318.835840832441,0
Latin America and Caribbean,2020-02-24,658737988,-1232.7504342557463,-33.86088784419641,-230.26634629152858,-861.9642052133122,-1288.644395614033,-2017.7459810109222,-2170.0368494974878,-57654.69567634853,-1201.139493257261,0
Asia,2020-02-24,4678110154,381.9277953401328,9295.549453065738,2292.316196783607,381.9277953401328,-85353.31268065641,-118873.02528149726,-147161.69058780212,-3170999.8951894743,-63419.99790378948,2636.599
Oceania,2020-02-24,43430556,-512.5150439019994,522.574429497597,494.38027239890357,-11.695262620339928,-512.5150439019994,-721.9239673211425,-864.2187496730911,-1726.8442798467029,-75.08018608029143,0
European Union,2020-02-24,447045744,-28375.44330352292,-28375.44330352292,-28375.44330352292,-28375.44330352292,-28375.44330352292,-28375.44330352292,-28375.44330352292,-766136.9691951189,-28375.44330352292,14.583333333333332
North America,2020-02-24,370982987,-4245.272908385389,-4245.272908385389,-4245.272908385389,-4245.272908385389,-4245.272908385389,-4245.272908385389,-4245.272908385389,-8490.545816770778,-4245.272908385389,0
Latin America and Caribbean,2020-03-02,658737988,-597.4619142657976,961.0019143133011,668.6107461652015,-58.898959462184656,-703.1331406044617,-1428.9333715460482,-1809.2867018827485,-25814.877647921203,-537.8099509983583,0
Asia,2020-03-02,4678110154,-24473.707607164215,-20764.042305080904,-23160.141614110846,-24473.707607164215,-112318.4060920683,-154662.56855008777,-194320.52615752196,-4040346.0255057453,-80806.92051011491,3037.09
Oceania,2020-03-02,43430556,-647.6108989785446,492.5753868432079,471.0753243401374,-95.54670695833667,-647.6108989785446,-901.996403353911,-999.5759607287348,-3515.225948080048,-152.83591078608904,3.5
European Union,2020-03-02,447045744,-32474.163632938547,-32474.163632938547,-32474.163632938547,-32474.163632938547,-32474.163632938547,-32474.163632938547,-32474.163632938547,-876802.4180893408,-32474.163632938547,61.58833333333333
North America,2020-03-02,370982987,-4008.023660635495,-4008.023660635495,-4008.023660635495,-4008.023660635495,-4008.023660635495,-4008.023660635495,-4008.023660635495,-8016.04732127099,-4008.023660635495,14
Latin America and Caribbean,2020-03-09,658737988,58.272178141840726,2012.8632272857442,1692.7762779169798,842.2212634181323,-20.93770165398653,-1047.9997001031234,-1368.0702871100812,6767.340380506039,140.986257927209,7
Asia,2020-03-09,4678110154,-36330.55246954958,-28059.005038085656,-36330.55246954958,-36330.55246954958,-128565.78041110103,-181136.42105127295,-223771.8703056216,-4260075.219325283,-85201.50438650565,3452.085
