custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2020-03-02,649993496,1.4237736450563068,6.519530980710231,5.354465682242273,1.4237736450563068,-2.4746716120205168,-4.756446345061296,-5.017946300826234,-32.71013106353328,-0.7268918014118506,0
Latin America and Caribbean,2020-03-09,649993496,1.5561087211947662,6.850217204093221,5.7440184109135215,1.5561087211947662,-2.4333359888337496,-4.819801554588881,-4.907128147158732,-28.48029995860314,-0.6328955546356253,1.540015409631114e-4
Latin America and Caribbean,2020-03-16,649993496,1.6300783732309316,7.166551957869568,5.986692739215207,1.6300783732309316,-2.4607266652881847,-4.877298698875446,-4.9337918393439475,-27.058980282273023,-0.6013106729394007,0.0012320123277048912
Latin America and Caribbean,2020-03-23,649993496,2.1545346876434865,7.839554020059825,6.626735206583426,2.171812425775842,-2.0414594668689303,-4.452005894763279,-4.57302082208125,-5.983994560698381,-0.1329776569044084,0.021233904777410266
Latin America and Caribbean,2020-06-15,649993496,36.593569873067395,43.29860363600355,41.712770009530914,36.593569873067395,30.338468429138736,27.839822331550643,27.02445320611719,1402.466238400666,31.16591640890369,16.17433061207123
Latin America and Caribbean,2020-06-22,649993496,40.86289176309718,47.552052836409786,46.17653009811387,40.86289176309718,34.54945082860671,31.770054715258343,31.07560753995527,1569.5106199502043,34.8780137766712,19.120208858212944
Latin America and Caribbean,2020-06-29,649993496,45.45450202151422,51.8344247071596,50.766752238126244,45.45450202151422,38.92429867434606,36.108387689905456,35.319918947325625,1739.706177199626,38.6601372711028,21.952547045178434
Latin America and Caribbean,2020-07-06,649993496,50.816938333959044,56.94262115770986,56.04478670051871,50.816938333959044,44.22133131133787,40.93805033673446,40.32365931293194,1940.924192507215,43.13164872238256,24.79626842296896
Latin America and Caribbean,2020-07-13,649993496,56.47985424923119,62.24668963130415,61.825496374493795,56.47985424923119,49.731404379395634,45.72529948697884,45.13909499815425,2145.804552153093,47.684545603402064,27.75860437225052
Latin America and Caribbean,2020-05-04,649993496,12.73906112866832,19.29844157986051,17.860736891557085,12.793872386639078,7.928089762564329,5.013547418607328,3.9526412322915454,437.09472696312355,9.71321615473608,3.1321964181623136
Latin America and Caribbean,2020-05-11,649993496,16.162867365000196,22.703718729713586,21.254796505891125,16.162867365000196,11.158082887002715,8.286539352396247,7.125700826621606,581.8899419634829,12.930887599188509,4.65821061077202
Latin America and Caribbean,2020-05-18,649993496,19.80936862251848,26.41868230634896,24.876632110384122,19.80936862251848,14.581012824486155,11.80606395101031,10.54669271114464,736.5046013725598,16.366768919390218,6.463154979015359
Latin America and Caribbean,2020-05-25,649993496,23.681083064253396,30.434467479746434,28.695531368804932,23.681083064253396,18.10870849993936,15.631834959250947,14.653767245312705,897.5321711040501,19.94515935786778,8.607793361673883
Latin America and Caribbean,2020-06-01,649993496,27.815952107837077,34.637918246328866,32.62444665157591,27.815952107837077,21.96450375112494,19.477454813511656,18.823767345883567,1061.2377500142463,23.583061111427693,10.831661767889441
Latin America and Caribbean,2020-06-08,649993496,32.21362035453073,39.036099655848034,37.272998127744714,32.21362035453073,26.283786395097902,23.69778731619855,22.934989320453994,1232.0984005191895,27.37996445598199,13.535535746345376
Latin America and Caribbean,2020-02-17,649993496,1.3397614415226433,5.603841008329056,4.68955329451036,1.3397614415226433,-2.3188866703747806,-4.181695087712513,-4.902737881152782,-32.26260345734082,-0.7169467434964629,0
Latin America and Caribbean,2020-02-24,649993496,1.2938474004173262,5.70737778595004,4.967039898034171,1.2938474004173262,-2.521169289997804,-4.648277159857254,-5.142543128102377,-37.685243533150995,-0.8374498562922442,0
Latin America and Caribbean,2021-03-01,649993496,203.26118268159755,211.6336398635432,209.78067933324158,203.26118268159755,190.09064980541902,183.3260959275002,183.2001204453951,7227.476309859598,160.61058466354663,116.93043540854138
Latin America and Caribbean,2021-03-08,649993496,209.0144686461586,217.36075982797837,215.726782636862,209.0144686461586,195.8146374528055,188.81832971513288,188.71603136726694,7447.915649086947,165.50923664637662,120.8166276789945
Latin America and Caribbean,2021-03-15,649993496,214.6565330410878,222.8539387964055,221.3971844735553,214.6565330410878,201.41865623083046,194.311814837205,194.04392313252302,7663.751557636277,170.30559016969505,124.62805273977695
Latin America and Caribbean,2021-03-22,649993496,220.33856230560977,228.58972908954993,227.0994604605988,220.33856230560977,206.91660292734406,199.86225617815703,199.47220485561553,7880.824747796805,175.129438839929,128.85425025852874
Latin America and Caribbean,2020-03-30,649993496,3.237728962960501,8.91122213133899,7.732787285998923,3.237728962960501,-1.1217979749129146,-3.5612687855498466,-4.640349583354143,38.00035637565813,0.8444523639035141,0.09615726985674329
Latin America and Caribbean,2020-04-06,649993496,4.411214067953865,10.261802475853832,9.058895100673954,4.411214067953865,-0.04793820829318256,-2.6115370016917754,-3.6929773799071564,86.41245087228103,1.920276686050689,0.26631281861318806
Latin America and Caribbean,2020-04-13,649993496,5.603933901435461,11.685691413011588,10.538218637774241,5.603933901435461,1.0797264226306038,-1.626096022015351,-2.676829953430562,134.97293146906262,2.99939847709028,0.5850895468037115
Latin America and Caribbean,2020-04-20,649993496,7.055540916981753,13.374670345351523,12.033475860244291,7.055540916981753,2.4096479137716393,-0.3499240746967893,-1.3858877872147901,195.12991271759842,4.336220282613297,1.0718658021771958
Latin America and Caribbean,2020-04-27,649993496,9.578821622940804,16.11588643504641,14.552017289464954,9.578821622940804,4.888774177672688,2.034542719081948,1.033244359213584,304.3336708399478,6.76297046310995,1.968798777026532
Latin America and Caribbean,2021-04-26,649993496,251.5457589923286,259.78381050789784,258.624788911782,251.5457589923286,237.23857368833302,229.36536004573907,228.90738114577286,8997.752840469688,199.9500631215486,155.2414418312887
Latin America and Caribbean,2021-05-03,649993496,257.03435159386817,265.73337693506795,265.05248843156045,257.03435159386817,242.67473896873116,234.14116055760158,233.88775741639975,9166.048361648649,203.6899635921922,160.3656481818089
Latin America and Caribbean,2021-05-10,649993496,262.6096482569187,272.2842376280081,271.5356939923926,262.6096482569187,248.0331867328781,238.9223341053794,238.70702564528472,9297.363273813822,206.6080727514183,165.01107881854867
Latin America and Caribbean,2021-05-17,649993496,268.05188184974264,279.11496715743203,277.6868117956695,268.05188184974264,253.11573584600492,243.78582681476652,243.36005763098441,9419.683980596978,209.32631067993285,169.49558646045284
Latin America and Caribbean,2021-05-24,649993496,275.0833163679025,288.16722556315807,284.8198085971582,275.0833163679025,259.5944682368869,249.84150238535483,249.73534132538612,9547.845391890534,212.17434204201183,173.84424535841816
Latin America and Caribbean,2021-05-31,649993496,281.81212649875414,297.77404455051675,291.54623312585784,281.81212649875414,265.8067270241784,256.081749462759,255.85037672336733,9665.163071533714,214.78140158963808,178.24997851978506
Latin America and Caribbean,2021-06-07,649993496,288.0544205221311,306.3867146608959,298.61620921631913,288.41601527566456,272.02783197956,261.74934486477224,261.3206349535914,9777.997686467543,217.28883747705652,182.9935652156126
Latin America and Caribbean,2021-06-14,649993496,294.2072277380673,314.9344921541724,305.66489849667107,295.08178105468926,278.2438959382553,267.38638795216895,266.8791236883784,9887.436498191675,219.7208110709261,187.4123755847551
Latin America and Caribbean,2021-06-21,649993496,300.13816026105764,323.3835759070327,312.4212241973824,301.0774534222811,284.6408419594646,272.85295907803885,272.3496466075835,9993.755855625142,222.0834634583365,191.84503640017962
Latin America and Caribbean,2021-06-28,649993496,306.3627741187363,330.8377543590037,321.1106968044884,307.6131519004171,290.81629209823916,278.2201507698867,277.81312698146286,10098.486697163677,224.41081549252615,195.87984661926524
Latin America and Caribbean,2021-07-05,649993496,313.35633627932475,338.0567836038171,330.65085529817776,314.2925700610765,297.0674975916726,282.84055927262807,282.7023587861388,10108.566541208085,224.63481202684636,199.6283464350234
Latin America and Caribbean,2021-07-12,649993496,319.7574319117541,345.181711349098,339.2861995301937,320.6319432883828,301.5088326230204,287.5286740499517,286.71014702954085,10112.110996792806,224.71357770650675,202.90484014320046
Latin America and Caribbean,2020-07-20,649993496,62.06841498508265,67.98856917409131,67.6185186669357,62.06841498508265,55.23771009292398,50.71656998711866,50.18439762381315,2349.446591715842,52.20992426035205,30.949252452212228
Latin America and Caribbean,2020-07-27,649993496,67.67866421814752,74.26002954057024,72.92588669310621,67.67866421814752,60.61366271659119,56.025924458998816,55.693459840753484,2553.217606514547,56.7381690336566,34.08928571802201
