custom_regions,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Asia,2020-02-17,4666863690,-1330.6211510411133,-159.78898407485758,-290.6051236759436,-990.3746230864397,-2090.839527441753,-3538.093731037194,-3741.75746977212,-81525.2124516592,-1663.7798459522287,122.414
Oceania,2020-02-17,44446737,8.72163264439252,29.815298451944702,26.954883262175464,17.83680044637974,8.536428076644318,1.5212362879434815,-2.0006155324061394,273.45465020417333,11.889332617572753,0
European Union,2020-02-17,447593544,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-28534.505108881334,-1056.8335225511605,0.3333333333333333
North America,2020-02-17,375152636,-96.04175622020671,-96.04175622020671,-96.04175622020671,-96.04175622020671,-96.04175622020671,-96.04175622020671,-96.04175622020671,-192.08351244041341,-96.04175622020671,0
Latin America and Caribbean,2020-02-24,655119303,-221.5864063289202,-172.12110161457454,-185.86599307705342,-197.37904388749155,-221.5864063289202,-240.53377228962935,-242.98871909157302,-9770.598641894634,-203.55413837280489,0
Asia,2020-02-24,4666863690,-1145.4068959501942,-7.510369019624574,-295.5430656236156,-1001.8762863299394,-1950.9890048284149,-3129.1490039426967,-3764.5824138738803,-71962.8596547496,-1468.6297888724407,107.886
Oceania,2020-02-24,44446737,13.831663060653813,35.208140462554326,34.0900067084722,23.02179461446168,13.185873880310057,5.0411294169677845,3.4980443469977054,389.56373260113475,16.937553591353684,0
European Union,2020-02-24,447593544,-1037.3439017646328,-1037.3439017646328,-1037.3439017646328,-1037.3439017646328,-1037.3439017646328,-1037.3439017646328,-1037.3439017646328,-28008.285347645087,-1037.3439017646328,1.75
North America,2020-02-24,375152636,10.508990349578852,10.508990349578852,10.508990349578852,10.508990349578852,10.508990349578852,10.508990349578852,10.508990349578852,21.017980699157704,10.508990349578852,0
Latin America and Caribbean,2020-03-02,655119303,-23.491631372289017,14.409752395530692,11.102515045224584,-14.203812353089864,-38.15441109522461,-62.17411314005993,-68.51246733669116,-1035.6952982787705,-21.576985380807717,0
Asia,2020-03-02,4666863690,-3661.7352367174562,-2973.4906194039827,-3083.5492331402816,-3619.6765422837275,-4977.831726564981,-6191.5425573343355,-6448.175151460218,-121911.81516796254,-2487.996227917603,57.213
Oceania,2020-03-02,44446737,-3.1396540831101603,13.488883859425227,12.147629605684552,4.892213492436638,-3.7514897002379706,-13.691967585183118,-17.35447742875316,4.258578814742804,0.18515560064099146,0.5
European Union,2020-03-02,447593544,-591.7961225007886,-591.7961225007886,-591.7961225007886,-591.7961225007886,-591.7961225007886,-591.7961225007886,-591.7961225007886,-15978.49530752129,-591.7961225007886,6.715
North America,2020-03-02,375152636,33.892749678556285,33.892749678556285,33.892749678556285,33.892749678556285,33.892749678556285,33.892749678556285,33.892749678556285,67.78549935711257,33.892749678556285,2
Latin America and Caribbean,2020-03-09,655119303,-1.9611727173855455,27.72197513466748,13.286157204563244,-1.9611727173855455,-44.09211731455117,-73.5887440217954,-74.96653228211416,-1240.495298278804,-25.843652047475086,1
Asia,2020-03-09,4666863690,-931.2073960320494,-584.7666317267626,-830.2757010606654,-931.2073960320494,-2743.8431873014933,-4137.928511415772,-4629.502815319796,-30965.444058419725,-631.9478379269332,59.285
Oceania,2020-03-09,44446737,0.4230140767341587,16.31402506848068,14.84001128207081,7.806159744065994,-0.8704755742009307,-9.098558181343304,-13.794854039575984,82.45857881474245,3.585155600640976,0.286
