custom_regions,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2020-03-02,649993496,120.64459139291769,391.05185018794214,372.22194562096354,194.9618149904583,13.493290839163704,-100.44180978606663,-120.02700831393474,4619.7010673143,102.66002371809556,0
Latin America and Caribbean,2020-03-09,649993496,122.88134111809043,329.4041432201957,317.7922965159787,191.42697200634862,19.13269855564313,-102.6887291874469,-208.75408714325545,3927.6610105472646,87.28135578993921,0.143
Latin America and Caribbean,2020-03-16,649993496,68.68541817841515,231.23676503666306,211.76700934338095,132.21620724027656,-30.197941973473824,-109.17111603755511,-140.43450918188282,1319.7836362162843,29.328525249250763,1.001
Latin America and Caribbean,2020-03-23,649993496,486.9902761489882,604.292573282672,592.589633717383,519.0432422093635,382.22396465746124,272.7584528306482,167.92019123768486,19569.433781880554,434.8763062640123,18.573
Latin America and Caribbean,2020-06-15,649993496,4067.055285510234,4442.549197004773,4357.677834342689,4068.0429432454366,3797.3213254399507,3571.7828173173298,3567.120205417578,158197.1236436317,3515.491636525149,2450.285
Latin America and Caribbean,2020-06-22,649993496,3964.330658356842,4414.6952041480145,4361.875629257487,4042.0100693865024,3844.3210872187533,3563.162994759206,3533.861416900126,155111.087929346,3446.9130650965776,2735.431
Latin America and Caribbean,2020-06-29,649993496,4263.595434482798,4629.5472795459955,4618.295092316394,4263.595434482798,3966.3682919402863,3681.010581881192,3660.411701774775,158037.1503717424,3511.936674927609,2630.002
Latin America and Caribbean,2020-07-06,649993496,4979.355322576222,5543.028117565595,5499.916461182793,5083.669285626644,4691.746133538266,4412.787458498215,4351.132452424173,186843.43032565934,4152.076229459097,2640.572
Latin America and Caribbean,2020-07-13,649993496,5258.369304745412,5737.937625736188,5643.4841604597605,5306.299400573764,4847.575785654343,4495.716389004475,4472.475311680471,190244.14461137363,4227.647658030525,2750.713
Latin America and Caribbean,2020-05-04,649993496,2934.478749321628,3090.905591317593,3074.941871212021,2939.3105646541844,2777.3459804092013,2634.281730986854,2606.4787669654215,123276.89000307892,2739.486444512865,1080.287
Latin America and Caribbean,2020-05-11,649993496,3179.216835971369,3303.5603980898195,3296.2501011362997,3179.216835971369,3014.245388777838,2886.7253794319176,2811.7833115765106,134451.35428879317,2987.8078730842926,1416.999
Latin America and Caribbean,2020-05-18,649993496,3386.0030007752953,3522.2672424760394,3509.4911200735482,3395.0530364317474,3238.510245478481,3110.013376796856,3040.5627471204293,143569.31857450746,3190.4293016557212,1676.003
Latin America and Caribbean,2020-05-25,649993496,3595.127436424236,3846.2394936024625,3813.6739068521024,3619.8267718522216,3435.3287671870817,3306.817858528421,3275.6846355884436,149524.1042887931,3322.757873084291,1991.43
Latin America and Caribbean,2020-06-01,649993496,3839.4828359159023,4134.73452351911,4052.2134645049114,3839.4828359159023,3563.2733170519523,3378.2886341866842,3365.1642150451157,152010.8022150603,3378.0178270013403,2065
Latin America and Caribbean,2020-06-08,649993496,4083.508225595141,4415.862017821549,4316.468893329896,4083.508225595141,3804.2559151600003,3578.546392965904,3575.5578353485776,158654.73078648886,3525.660684144197,2510.715
Latin America and Caribbean,2020-02-17,649993496,-41.841706945554385,489.9678427813581,467.18583878216185,61.40552130079725,-301.84422394364935,-588.921011616162,-635.8476064991297,-4984.505787737594,-110.76679528305763,0
Latin America and Caribbean,2020-02-24,649993496,-42.63404013361801,327.39424149879306,269.30378040375456,70.06930331009777,-205.17527844626125,-308.08309285507653,-370.9078720610011,-5035.258257750794,-111.89462795001764,0
Latin America and Caribbean,2021-03-01,649993496,5399.295783275433,5693.005857669041,5671.82149540545,5400.70230169463,5187.500765592532,5060.48349515867,5007.617890820494,207864.87394330715,4619.219420962381,3229.572
Latin America and Caribbean,2021-03-08,649993496,5342.28351084682,5649.663551595162,5582.764302913698,5346.592254320002,5127.151200420859,5004.8899710118185,4996.7394746116825,204691.62394330706,4548.702754295712,3608.571
Latin America and Caribbean,2021-03-15,649993496,5239.007372453102,5566.329705735568,5514.605219289241,5263.58210740791,5048.915648448626,4904.632520394202,4892.60907463405,200417.05251473564,4453.712278105237,3539.145
Latin America and Caribbean,2021-03-22,649993496,5276.1172371727525,5516.536737426447,5506.1038536623755,5306.741455613551,5092.299404795508,4960.347500024765,4883.040166169654,201565.94537187868,4479.243230486193,3924.287
Latin America and Caribbean,2020-03-30,649993496,1005.8131912292753,1094.620872343476,1090.7997412762027,1005.8131912292753,841.1600495506617,710.5467365266795,685.9275417034545,40842.20290630463,907.6045090289917,69.571
Latin America and Caribbean,2020-04-06,649993496,1089.653836997948,1271.20924693084,1262.4112700871106,1125.7057454465014,939.9306215452216,809.5761760594162,790.9906220935483,44953.63792934609,998.9697317632465,158
Latin America and Caribbean,2020-04-13,649993496,1107.5144775903436,1322.169354541276,1298.4998806527287,1156.8396715172319,961.0323203300956,862.8637530088362,774.8219167899468,45091.42364363177,1002.0316365251506,296.004
Latin America and Caribbean,2020-04-20,649993496,1347.90731264723,1548.3556223748053,1536.9308933147433,1406.6463013554528,1227.1841752788046,1082.9049795713568,1059.3932842987722,55859.49507220315,1241.3221127156255,452.002
Latin America and Caribbean,2020-04-27,649993496,2343.0229249366744,2545.3894706174706,2516.420686673572,2394.577806506779,2241.7968343803886,2156.285930291136,2109.078480803961,101402.47502612039,2253.3883339137865,832.8580000000001
Latin America and Caribbean,2021-04-26,649993496,5192.540271074367,5716.331431732239,5652.371459113979,5253.086140811808,4888.3211281248105,4595.055715420051,4564.627261863797,161166.0582751043,3581.4679616689846,4945.142
Latin America and Caribbean,2021-05-03,649993496,5096.499275992102,5779.0979419123705,5524.542116686456,5257.242710597154,4832.372396509549,4557.92703187734,4497.550349286636,156272.84881750602,3472.7299737223557,4758.144
Latin America and Caribbean,2021-05-10,649993496,5177.009384647661,6481.499548114993,6213.157042990576,5606.577678543964,4831.197759404329,4415.737977470857,4308.335467737113,121934.05547882058,2709.645677307124,4313.571
Latin America and Caribbean,2021-05-17,649993496,5053.452055783212,6256.385599995722,6159.615522073939,5345.672872706304,4652.8733034794095,4118.109501075886,4091.9964861114777,113582.37690739201,2524.052820164267,4164.144
Latin America and Caribbean,2021-05-24,649993496,6529.123863362615,8066.871228455956,7436.5964917667,6623.430754223494,5785.285614050855,5279.68568382361,4904.429406832258,119005.8339699876,2644.5740882219466,4038
Latin America and Caribbean,2021-05-31,649993496,6248.118315532061,8614.959183461857,7462.416045400039,6791.605563411069,5760.926506522981,5227.307622784552,5091.273649557651,108936.75533411349,2420.816785202522,4090.997
Latin America and Caribbean,2021-06-07,649993496,5796.357879021001,7677.983309799389,7298.530961703205,6458.627310832823,5549.041653257741,5012.986916894489,4881.851702032652,104773.951186648,2328.3100263699557,4404.715
Latin America and Caribbean,2021-06-14,649993496,5713.263817857658,7461.822409104141,7296.557049196001,6430.599321865458,5483.562436706084,5027.417539148975,4864.146389496705,101620.73690093371,2258.238597798527,4103.14
Latin America and Caribbean,2021-06-21,649993496,5507.23937879804,7393.05281736331,7023.487588065817,6149.804558911748,5316.442690118586,4838.596508152507,4740.941994568404,98724.12975807658,2193.8695501794796,4116.001
Latin America and Caribbean,2021-06-28,649993496,5779.940746575142,7663.861220650737,7203.716938256578,6132.039599680679,5076.3242597693215,4600.015848277758,4477.296664655926,97249.09404379083,2161.090978750907,3746.572
Latin America and Caribbean,2021-07-05,649993496,6493.957026077406,8858.6299595818,8691.480857661407,6718.5199859553795,4905.0689878323865,4006.839252923061,3926.9238043030837,9359.761527943785,207.994700620973,3480.715
Latin America and Caribbean,2021-07-12,649993496,5943.815040504432,8096.56054568612,7871.753691456054,6118.677546931512,4393.962736150659,3292.0010144032203,3027.100547258192,3291.247252754936,73.13882783899858,3042.428
Latin America and Caribbean,2020-07-20,649993496,5189.325900434882,5756.81633678565,5722.796050161291,5379.641819718635,4903.5466015624725,4649.296368509742,4601.675328793623,189094.2874685165,4202.095277078144,2962.715
Latin America and Caribbean,2020-07-27,649993496,5209.465017758776,5760.330729382876,5633.792083806347,5287.263881270822,4869.97899833579,4710.614414507147,4671.900748791482,189214.04898925382,4204.75664420564,2915.716
Latin America and Caribbean,2021-03-29,649993496,5421.7929756858985,5701.78214238378,5668.143705967277,5463.191103639826,5233.323485947837,5074.697246648623,4998.493290910916,204922.30251473567,4553.8289447719035,4489.859
Latin America and Caribbean,2021-04-05,649993496,5889.912078650017,6252.745532783763,6173.156996816139,5919.907401469259,5673.314244874262,5529.364661326634,5512.552224232093,219679.28246865273,4881.761832636727,4367.287
Latin America and Caribbean,2021-04-12,649993496,6266.999104880308,6705.901245359501,6653.255187026088,6406.60126864711,6041.976619290238,5847.13537205336,5831.2397711969425,228097.2824686527,5068.828499303393,5612.8589999999995
Latin America and Caribbean,2021-04-19,649993496,6206.576819366509,6656.218550584479,6631.3840183069515,6376.1687794920235,5995.651237564745,5833.394851304681,5727.139909218528,223272.21104008128,4961.604689779584,5087
Latin America and Caribbean,2020-01-01,649993496,-35.658867163441464,423.0899296256978,345.50509226620346,-35.658867163441464,-532.2035593793202,-729.1378924016121,-872.9517136170098,-13792.720073406415,-306.50489052014257,0
Latin America and Caribbean,2020-01-06,649993496,316.5218002194162,1067.4895256005657,700.8617962722768,316.5218002194162,-127.10583724440062,-365.0132852287087,-429.2624305633717,1915.4942122624007,42.56653805027557,0
Latin America and Caribbean,2020-01-13,649993496,216.07604236823857,1113.7130942320455,716.8749938860117,237.86217548265526,-223.6797789686045,-489.4764260396235,-509.71969930005696,-511.8272163089833,-11.373938140199629,0
Latin America and Caribbean,2020-01-20,649993496,198.7853839363498,992.0412476979237,573.6423903030711,198.7853839363498,-270.52525569477956,-478.37544185298765,-572.4393392384361,-1983.9700734518663,-44.08822385448592,0
Latin America and Caribbean,2020-01-27,649993496,184.8163440392477,601.1579779229791,515.1694866711558,184.8163440392477,-290.8731051577146,-553.2793984053128,-596.1009917697718,-4638.970073451895,-103.08822385448656,0
Latin America and Caribbean,2020-02-03,649993496,224.02633253012314,963.6818888456814,700.845302837117,238.35505677998756,-202.14918253634875,-449.0855174123581,-504.6850057368497,-1517.8986448804221,-33.731080997342715,0
Latin America and Caribbean,2020-02-10,649993496,181.32641841748085,576.7870722647943,522.0770003723352,181.32641841748085,-324.5285127631653,-534.4468326135413,-626.3832624241508,-4443.434359166154,-98.74298575924786,0
Latin America and Caribbean,2021-02-15,649993496,4537.80588764987,4813.785979843655,4749.509670509758,4550.287412490889,4279.451854750564,4178.65869326136,4171.7487331909915,165659.69331582234,3681.3265181293855,3513.5710000000004
Latin America and Caribbean,2021-02-22,649993496,4294.6587087262815,4546.810332617548,4472.27774436297,4294.6587087262815,4061.8566436123433,3942.8739908775083,3906.372380994665,155801.69331582234,3462.2598514627184,3272.574
Latin America and Caribbean,2020-10-26,649993496,2719.823822581446,3150.0376736923513,3074.916323306609,2768.7914818623585,2441.9765648389825,2266.2738955176005,2181.9663012231254,75480.3642813775,1677.3414284750554,1712.859
Latin America and Caribbean,2020-11-02,649993496,2946.249222599473,3264.280699570699,3255.604506989676,2946.249222599473,2626.8935250271174,2441.0242159579825,2406.402495914681,85943.826493359,1909.8628109635333,1607.43
Latin America and Caribbean,2020-11-09,649993496,2761.637296698753,3209.4507308535626,3091.1482065876103,2761.637296698753,2513.627394434571,2367.3861594396144,2356.788908013675,86626.75506478756,1925.0390014397237,1665.288
