world,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
World,2020-01-01,7868684247,0.026771536606486457,0.0291786159500852,0.026771536606486457,0.026771536606486457,-0.08873517299241611,-0.12011332145851109,-0.13390811686315243,-20.105220880505456,-0.08975545035939937,0
World,2020-01-06,7868684247,0.054443305717876235,0.05757800316156287,0.054443305717876235,0.054443305717876235,-0.17778065876904212,-0.24467629764513443,-0.27450344227918894,-40.21044176101091,-0.17951090071879874,0
World,2020-01-13,7868684247,0.06102503588249317,0.06492352148744159,0.06102503588249317,0.06102503588249317,-0.2884233748998343,-0.38477122754141696,-0.432043763366982,-65.25668700658206,-0.29132449556509843,0
World,2020-01-20,7868684247,0.04417704431398414,0.10874855070347915,0.04417704431398414,0.04417704431398414,-0.4229083413017628,-0.5577876429610966,-0.627634358954669,-96.19967807148254,-0.4294628485334043,0
World,2020-01-27,7868684247,-0.015384238857742696,0.10056744731957655,-0.015384238857742696,-0.015384238857742696,-0.5879002271968276,-0.7891121536640533,-0.8704705883533589,-137.75097870449932,-0.6149597263593719,0
World,2020-02-03,7868684247,0.08142131173738118,0.26023978977710205,0.08781148176881,0.08142131173738118,-0.6354445402269775,-0.9376292293934424,-1.024887993838051,-144.59608178995063,-0.6455182222765653,0.0043590515165324055
World,2020-02-10,7868684247,0.03327695965598069,0.3096016542970257,0.11799582602940016,0.03327695965598069,-0.848406587831134,-1.2680480528377245,-1.3168631429637996,-183.6494202309839,-0.8198634831740352,0.011818989945549915
World,2020-02-17,7868684247,-0.08878267538444058,0.21158576692726236,-0.02174320728571911,-0.08878267538444058,-1.1179696560912746,-1.6538397767923145,-1.8185391076562014,-244.6464031259298,-1.0921714425264721,0.022684859932974765
World,2020-02-24,7868684247,-0.27342297340933763,0.023685702664698695,-0.09344427266308697,-0.27342297340933763,-1.462906178888775,-2.0785142684061317,-2.2945373064385826,-301.46864875628074,-1.345842181947682,0.03233072925718073
World,2020-03-02,7868684247,-0.629758525506397,-0.37716746310671795,-0.4106374273199407,-0.629758525506397,-1.8967487055947914,-2.524839584007557,-2.792855049113186,-362.5634377913712,-1.6185867758543357,0.03807498059338509
World,2020-03-09,7868684247,-0.7442587471127761,-0.31711631651402816,-0.4382775599933723,-0.7442587471127761,-2.0631586303820204,-2.7019157918623264,-3.0732148397674792,-360.52479799771305,-1.6094857053469334,0.049614546440701776
World,2020-03-16,7868684247,-0.6213480621944535,-0.054748356505505316,-0.3413919195020062,-0.6213480621944535,-2.013559676501475,-2.740904768102065,-3.140979147455533,-325.87604414549605,-1.4548037685066786,0.08999003871199561
World,2020-03-23,7868684247,-0.19483247502816042,0.4907314851934655,0.1316766786633753,-0.19483247502816042,-1.6725621662958399,-2.6009782628768408,-2.93967875187559,-198.82498663604198,-0.8876115474823302,0.2134166713628457
World,2020-03-30,7868684247,0.3819111951258116,1.0063726942873517,0.6521728061029368,0.3819111951258116,-1.3321041971819743,-2.3747013350704704,-2.7063500965506058,-21.102021745437067,-0.09420545422070116,0.5065159148455535
World,2020-04-06,7868684247,1.0766165979907376,1.6264986698211832,1.2745016602214159,1.0766165979907376,-0.8274613539387677,-2.073278684035195,-2.3787602188015278,174.90303960137615,0.780817141077572,1.0147337279474902
World,2020-04-13,7868684247,1.6675993431448495,2.1821817999007775,1.712514775094807,1.6675993431448495,-0.46051422703166534,-1.854763479504169,-2.1754126827746627,347.4828736106442,1.5512628286189472,1.633872944501696
World,2020-04-20,7868684247,2.132035302130779,2.5984157209768197,2.1558518225872927,2.132035302130779,-0.2640229274172701,-1.7158253118357856,-2.034749344271354,486.17979899576943,2.1704455312311133,2.2584253913575547
World,2020-04-27,7868684247,2.498230721002659,2.9667797579044937,2.498230721002659,2.498230721002659,-0.23919388767491612,-1.770696960360181,-1.9879264860290902,589.7345278814706,2.632743428042279,2.8080984071033597
World,2020-05-04,7868684247,3.2481924766947854,3.67988931152538,3.2497337527586074,3.2481924766947854,0.26426822360468977,-1.3490671339013036,-1.8275164581441723,717.7787457385315,3.2043694006184444,3.3100763713997328
World,2020-05-11,7868684247,4.0211353055123835,4.60426327241335,4.040332325908292,4.0211353055123835,0.8721209452759984,-0.9446744816008362,-1.4431518821258031,845.0454369077818,3.7725242719097394,3.782760708862893
World,2020-05-18,7868684247,4.827862053405139,5.805122793119454,5.207797025223638,4.827862053405139,1.407853912244927,-0.5104250620873564,-1.0120432986060994,961.7916764485955,4.293712841288373,4.225516599255657
World,2020-05-25,7868684247,6.146488755952801,6.925658422911377,6.408053042270566,6.146488755952801,2.190979379088561,-0.09578562141601416,-0.6872172927176076,1067.635063453077,4.766227961844094,4.614082807280296
World,2020-06-01,7868684247,7.482019219301215,9.041427490985486,7.898758823048587,7.482019219301215,3.404433097224132,0.89322214941456,0.4421721850330837,1208.7654853922545,5.396274488358278,5.012396566177781
World,2020-06-08,7868684247,9.077302110574648,11.069464059041984,9.654700150939828,9.077302110574648,4.633531159062551,2.0522771438666787,1.6956447993647208,1351.818359360914,6.034903390004081,5.434094056614647
World,2020-06-15,7868684247,10.800433853741898,12.934984494404963,11.51132342012339,10.800433853741898,5.840466461666158,3.119071083392295,2.725346566547507,1491.3026800892562,6.657601250398464,5.846564769394539
World,2020-06-22,7868684247,12.765227052997677,14.941839253952597,13.606069111305976,12.765227052997677,7.3882234947884085,4.492725784788756,4.080072686729191,1649.035464361357,7.361765465898914,6.318765874861009
World,2020-06-29,7868684247,14.898297660304854,17.049199213214354,15.545343882842097,14.898297660304854,8.980715122136436,6.0762241957614185,5.574083176180413,1807.798716550602,8.0705299846009,6.744720290464592
World,2020-07-06,7868684247,16.942349478702823,19.146629583800443,17.613023545555645,16.942349478702823,10.744633137120138,7.724259332858238,7.190966957214305,1999.4947939917447,8.926316044606004,7.1778933843397885
World,2020-07-13,7868684247,19.08130557978617,21.366870299032367,19.75078568007918,19.08130557978617,12.364204555503486,9.32356796941159,8.886486704212214,2202.6516825633366,9.833266440014894,7.652153207565351
World,2020-07-20,7868684247,21.322617242748773,23.8594202463036,21.95094853149518,21.322617242748773,14.22854994757453,10.967169339261897,10.407556177625363,2409.6835745928806,10.757515958003932,8.164755247930335
World,2020-07-27,7868684247,23.575262328292172,26.179798015096935,24.195099270072014,23.575262328292172,16.11210823918239,12.857418354280117,12.103665863282421,2631.442660355928,11.747511876588966,8.704731153256555
World,2020-08-03,7868684247,25.577627089247525,28.266132183604636,26.357040689795614,25.577627089247525,17.85967721076972,14.655126228080828,13.698573392246054,2816.8143288636197,12.57506396814116,9.24261097752497
