iso3c,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
ABW,2020-01-01,106766,-0.0225745746877256,2.8112073215615303,2.6693996981702037,0.6487329078804982,-0.6159496017762591,-2.0197181554155947,-2.390643821353205,-0.0225745746877256,0,0
ABW,2020-09-07,106766,35.009662767803526,119.22916550320474,112.24450919166758,65.40106300330922,-3.468940091361466,-29.847409091560017,-39.45514174560511,35.009662767803526,0,0
ABW,2020-09-21,106766,38.24039103138889,126.41429451917016,121.0152581182733,70.87769437451611,-2.7264026591416393,-30.790695984243456,-41.05232113946852,38.24039103138889,0,0
ABW,2020-09-28,106766,39.82146498660945,130.09708637785644,125.10169699631882,73.6218605557846,-1.4011237422577827,-31.256530576130825,-41.778298207558436,39.82146498660945,0,0
ABW,2020-10-05,106766,41.621204722576174,133.85707445006122,128.06638423052632,76.36839484829802,-0.9151886251033884,-32.0966901739531,-42.67199162546702,41.621204722576174,0,0
ABW,2020-10-12,106766,43.12938188135488,137.6082783515113,131.5327958559375,79.11839646245453,-0.48559625152391933,-33.607598732037104,-43.388539629484065,43.12938188135488,0,0
ABW,2020-10-19,106766,44.74549149651091,141.32735590394194,134.9875469730667,81.67530760112979,-0.09078236994117592,-35.12694738959024,-44.276854042583814,44.74549149651091,0,0
ABW,2020-09-14,106766,36.598944639352304,122.7469140870591,116.62938950431439,68.15249496353965,-3.411704551096186,-30.304481174924717,-40.17743195480407,36.598944639352304,0,0
ABW,2020-11-02,106766,47.591065336616715,148.56495294314976,142.14860826656113,91.43247446500064,1.38909629391353,-38.04139796474263,-45.86349861560729,47.591065336616715,0,0
ABW,2020-11-09,106766,48.940722652012695,152.1760561877533,145.6404026080431,93.81014667102156,1.8964753321370327,-39.44908586255416,-46.56706591012304,48.940722652012695,0,0
ABW,2020-11-16,106766,50.29037996740869,155.9610217481145,149.13219694952508,96.664154780339,2.56433530524402,-40.88802943790911,-47.270633204638784,50.29037996740869,0,0
ABW,2020-11-23,106766,52.06766271134694,160.3107772421645,152.6062026270956,100.37935165955471,4.486556436067101,-42.313720402154864,-48.17062448278119,52.06766271134694,0,0
ABW,2020-11-30,106766,54.10531167298595,163.22902283895453,156.11096064702818,103.98377674699495,5.8388038077785875,-43.76678012457427,-49.01862997703636,54.10531167298595,0,0
ABW,2020-10-26,106766,46.24140802122073,144.9744765763068,138.65717712583879,88.12999163233606,0.5559901369166388,-36.600310290395456,-45.146124014722304,46.24140802122073,0,0
ABW,2020-08-10,106766,26.443561418742867,105.0613271570218,94.70891628255923,58.136062087635835,-4.959933575774817,-27.79442498667392,-36.38321968638726,26.443561418742867,0,0
ABW,2020-08-17,106766,28.849825998194653,108.82972013164365,99.0924527379239,60.4677627904889,-4.386359363271511,-28.56543944887197,-37.20762341390049,28.849825998194653,0,0
ABW,2020-08-24,106766,30.98667558490322,113.23090288691341,103.47146112296221,62.2884085112939,-3.698217298336802,-29.06877354555628,-38.101131842681966,30.98667558490322,0,0
ABW,2020-08-31,106766,33.16434156029583,116.8140434474816,107.87514497959297,63.80154175583363,-3.472072847624211,-29.349343062534,-38.74524790852593,33.16434156029583,0,0
ABW,2021-01-04,106766,64.35172210561748,183.410054446113,173.56560729625357,117.4305362496223,5.618295910470145,-48.211391972092414,-52.78904466006166,64.35172210561748,0,0
ABW,2021-01-11,106766,66.21876290045107,185.89778950165856,176.7346044534968,119.90832851149179,5.508951277405646,-48.22812597458034,-53.52061520143618,66.21876290045107,0,0
ABW,2021-01-18,106766,68.10843691037901,188.91814487706407,180.9340947680254,122.36422794799505,5.388700158493745,-48.27243580072257,-54.28305191593772,68.10843691037901,0,0
ABW,2021-01-25,106766,69.99558360469527,192.7342487085386,185.10373149944306,122.69591832926598,5.378167070545226,-48.25769516885607,-55.68734096514933,69.99558360469527,0,0
ABW,2021-02-01,106766,71.84481176341353,196.27774888454485,189.30068278308823,122.92721064487752,6.085595064638774,-48.72502968679071,-57.34445808590367,71.84481176341353,0,0
ABW,2021-02-08,106766,73.67494956253871,199.79536946787118,193.50946558038524,123.2293624028432,7.629668006702666,-49.11175637182721,-58.994765517021456,73.67494956253871,0,0
ABW,2021-02-15,106766,75.57265713132203,204.22437222975702,197.700772960832,123.92703916434728,9.088961490365984,-49.994106618050616,-60.610994624806516,75.57265713132203,0,0
ABW,2021-02-22,106766,77.51626703452258,208.63586544569822,201.89547078902132,124.42005317698855,9.150025328709757,-50.32605415955528,-62.24469688849324,77.51626703452258,0,0
ABW,2021-03-01,106766,79.45471369817254,213.0463123115091,206.08145876698202,124.55770762928991,9.375219215184986,-50.533458941985366,-63.85968763167222,79.45471369817254,0,0
ABW,2021-03-08,106766,81.36686707983348,217.4692110202645,210.29024156427903,124.88511035215923,10.293084866074523,-50.669774887779205,-65.46187254405012,81.36686707983348,0,0
ABW,2021-03-15,106766,83.2790204614944,221.75034602614159,214.40466897377044,126.10899612290504,11.215405030700625,-50.781252470428434,-67.10632822063147,83.2790204614944,0,0
