world,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
World,2020-01-13,7948769202,-0.010035242924646415,0.00851340083052459,0.006049214179854877,-0.00764914943600943,-0.014969762386538719,-0.019404806047065206,-0.021577208180729876,-3.621048018378695,-0.015812436761479018,0
World,2020-01-20,7948769202,-0.009242129009604687,0.011103579808252018,0.007045237175446858,-0.004754858994655459,-0.019096571452777954,-0.026721647916601598,-0.02882831359548259,-4.473567010930724,-0.01953522712196823,0
World,2020-01-27,7948769202,-0.016256437904829474,0.009087431687004334,0.004150165008474464,-0.009557627468861213,-0.02468887325818267,-0.03421390715805133,-0.03671913712199471,-6.183834686728125,-0.027003644920210155,1.635473325446291e-4
World,2020-02-03,7948769202,0.0017527605131614137,0.027354588268472087,0.024750994957014015,0.008453903284373763,-0.005532547919446138,-0.015112422105934805,-0.018433376315889,-1.1772103435070072,-0.00514065652186466,6.277701456905378e-4
World,2020-02-10,7948769202,-0.018513551382695486,0.009021666734728697,0.003886483525601741,-0.013090955148635359,-0.027362199200379245,-0.03955593502440214,-0.04285627508967707,-5.81732943198553,-0.02540318529251323,0.001054968358861151
World,2020-02-17,7948769202,-0.03322171275703055,-0.0038591400064801238,-0.01152542251548711,-0.028170629092093086,-0.04409878843506772,-0.058743335371572766,-0.06170884693266281,-9.0048837859041,-0.03932263661966856,0.001544230687971777
World,2020-02-24,7948769202,-0.04435985630092678,-0.013790557013305133,-0.020437327633719388,-0.03489171028362787,-0.050055554927840515,-0.06455721278067052,-0.06864714676396526,-8.450398274048979,-0.0369013025067641,0.0013810817399551414
World,2020-03-02,7948769202,-0.05568860067535227,-0.019301346940081107,-0.030897106397966754,-0.04993196476354559,-0.0754451464711993,-0.09680779011261596,-0.10389220143086503,-9.14983677298344,-0.039955619095997555,8.416942501802599e-4
World,2020-03-09,7948769202,-0.01738362877494353,0.018009967830021317,0.012109503360855112,-0.005079796967178842,-0.03166422637737851,-0.05258814328285661,-0.06434471349412658,-0.051193459546114733,-2.2355222509220406e-4,0.0017048090074025192
World,2020-03-16,7948769202,0.014977615086472813,0.0483398672433105,0.04458230536247237,0.025439665816573788,-0.004507061875525855,-0.023719372686060846,-0.03601044504050402,4.6421163891745545,0.020271250607749147,0.00592968531381445
World,2020-03-23,7948769202,0.04847292831612344,0.09901114162189144,0.08177240480453621,0.06345684892850145,0.03424589449723983,0.014909990954791265,0.004343558927651045,17.988395354065318,0.07855194477757779,0.018610797417053165
World,2020-03-30,7948769202,0.06317488784358827,0.11808150396055785,0.10073450348303101,0.07757653590454378,0.04505713477376277,0.020891613616117327,0.013444568536511872,25.306105831527038,0.1105070123647469,0.044189369583359055
World,2020-04-06,7948769202,0.08569897373330883,0.1504586038908609,0.11876890893116167,0.09588144399595708,0.06311445014894611,0.03583993532880577,0.0242698825926585,27.97175122198223,0.1221473852488307,0.0782655088928907
World,2020-04-13,7948769202,0.07268621747837288,0.13803533753897823,0.10780181615224582,0.08265013244617288,0.05032499490474606,0.026171346249800068,0.01043498027404067,24.782109725175516,0.10821881976059176,0.09281509894819563
World,2020-04-20,7948769202,0.045611928013075655,0.1088211235965533,0.08685068461004343,0.05790325383333398,0.02453105982520757,2.9807834521262315e-4,-0.011276468167107924,20.01885263770484,0.0874185704703268,0.09069139909341149
World,2020-04-27,7948769202,0.020836166887530937,0.08672804048675309,0.0752901314047606,0.04258803204926972,0.006303250864062887,-0.02293654375896742,-0.03536332392321558,15.003895252919584,0.06551919324419032,0.08068615199427702
World,2020-05-04,7948769202,0.09509377603319441,0.14934211781032625,0.13691318771053473,0.11029119371051352,0.07810707484380466,0.056853514971672674,0.04488653498240334,18.6488678445704,0.08143610412476157,0.07296925917210698
World,2020-05-11,7948769202,0.09904609319222449,0.15458915844165666,0.1447373043726472,0.11790261916231218,0.08488580408146727,0.06445763502059831,0.05646735258460549,18.58900309278993,0.08117468599471585,0.06841135856142072
World,2020-05-18,7948769202,0.09721009845512554,0.16613653307995646,0.15489354772139385,0.12006564357348462,0.08613875504692517,0.06134401529699898,0.05498497843421488,17.063536393966267,0.0745132593622981,0.06381741882827577
World,2020-05-25,7948769202,0.09202150263251228,0.34142832745259516,0.30276698641849503,0.1368532483538568,0.08433545465690528,0.0613559929196982,0.04638150494301118,15.295078095591444,0.06679073404188403,0.059811201111954655
World,2020-06-01,7948769202,0.13771978618240138,0.28259016192156444,0.2380605125346599,0.18200290600778238,0.13472667383974915,0.10506615622818309,0.10310118481103651,20.476336390156693,0.08941631611422136,0.0567027995420047
World,2020-06-08,7948769202,0.14636182584122728,0.2628279182191293,0.24447044892604614,0.1997226581055486,0.14377265299003097,0.11891872317584323,0.10052112473698936,20.757036870524388,0.09064208240403664,0.059883560322802294
World,2020-06-15,7948769202,0.16873871667347012,0.28463990351215973,0.2684480727548739,0.21877142547639303,0.1645115751008554,0.1385272597085776,0.125003121107305,20.23124032583401,0.0883460276237293,0.05859310896620495
World,2020-06-22,7948769202,0.2138210923842608,0.3001855321793333,0.28540444189768116,0.25037125786165987,0.19236608571711497,0.15475484193392722,0.14755041225210297,22.857303790699635,0.09981355367117745,0.06492652974125188
World,2020-06-29,7948769202,0.2168918935371604,0.3221619828634754,0.29744377488529694,0.2597960633167149,0.20648557785502455,0.16702974250438324,0.1531372915233592,23.03812725101847,0.10060317576863959,0.060600602150934116
World,2020-07-06,7948769202,0.24646235700664065,0.3422505892420845,0.3260307074045434,0.29046779602861045,0.23361063415435804,0.20292726094197802,0.19268271755048294,27.54330422128875,0.12027643764754913,0.06156535528505083
World,2020-07-13,7948769202,0.2549671128925305,0.3605470947216176,0.33695382502610915,0.30124422740744355,0.2478542959588907,0.22354766001147758,0.19856819055514474,29.206171617102985,0.1275378673235938,0.06731851012422943
World,2020-07-20,7948769202,0.28652127370028174,0.3597603060442475,0.3529855978045826,0.31060218244485344,0.2537381030232853,0.2308941576453949,0.21976901896442297,29.74867355131199,0.12990687140310914,0.07086313436528938
World,2020-07-27,7948769202,0.26714617877056196,0.37057014221326245,0.3583118765821631,0.3147579583193943,0.2661539839469111,0.23945190549134301,0.22960510304328596,31.889982918817417,0.1392575673310804,0.0766845177967885
World,2020-08-03,7948769202,0.2420022186531726,0.328578468082194,0.3196857735218407,0.2850877557653804,0.24120330173086713,0.20369590553729763,0.1932272085838672,26.419612259117343,0.11536948584767397,0.07635154381477033
World,2020-08-10,7948769202,0.24754716294865015,0.3398239012937417,0.33239541820076834,0.2960019392529288,0.2459799780972881,0.21351503679816794,0.20482562838221705,28.154652919051745,0.12294608261594649,0.08048727843790274
World,2020-08-17,7948769202,0.2272473348980902,0.33504347825629993,0.3233253450252971,0.2893721991842886,0.2272473348980902,0.20462091757405063,0.19994530896335372,25.10847994693059,0.10964401723550475,0.07624542675707695
World,2020-08-24,7948769202,0.24411969989773946,0.3272559651938467,0.319445205140321,0.2828955289864264,0.2344559845926743,0.20461834592754827,0.19858960354439628,21.76893031811299,0.09506083108346283,0.07378865646928366
World,2020-08-31,7948769202,0.21757563982812658,0.3123695917460774,0.3045924758692718,0.26144463929348455,0.2122131778048225,0.1852233559096555,0.1680524300039394,19.305599427921976,0.08430392763284704,0.0714630637227552
World,2020-09-07,7948769202,0.2479386385258498,0.3471753302180633,0.3284008879386116,0.2834331367689802,0.2361041763918375,0.2038041996108266,0.1917290497963971,19.30527634894911,0.08430251680763805,0.07172187108622506
World,2020-09-14,7948769202,0.23769187261149566,0.33903244187856457,0.3253870491342097,0.2810849807533181,0.22610780607545894,0.1977254146714505,0.18722691610711473,18.72905633445817,0.08178627220287411,0.06658805741482893
World,2020-09-21,7948769202,0.23531739024236653,0.33367278050939136,0.3193033627141503,0.27177760979451976,0.22011141961226857,0.1930932873420142,0.1796759288011095,18.008875498926923,0.0786413777245717,0.06762779071063535
World,2020-09-28,7948769202,0.20437295419770504,0.3137392981659126,0.29297469608111726,0.24358645973749335,0.19859419318442634,0.17230524458931615,0.1655118865861632,17.525708770604023,0.07653147934761582,0.06795302345224641
World,2020-10-05,7948769202,0.22513628453458545,0.32926064737399346,0.30697676216120773,0.26154703546586383,0.21695735056796717,0.18962940863488859,0.18354430029049715,23.02917284026428,0.10056407353827196,0.07295144089990231
World,2020-10-12,7948769202,0.22187573368868896,0.32288382946925825,0.29768653017750246,0.25894233939989336,0.22187573368868896,0.1983354463237533,0.1909595827119691,24.589614261958207,0.10737822821815812,0.06756671207221196
