world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2022-02-21,7951213330,16276960.273539266,19814765.38463392,19575985.825493034,18375296.01641409,15966302.45283616,13893740.102953427,13328137.330947304,1900666587.467064,8053671.9807926435,5943097.066666666
World,2022-02-28,7951213330,16475016.976052798,19970312.31039154,19782271.315576985,18570012.711030677,16124073.81581322,13991546.2187376,13436523.669100927,1909334586.2209146,8090400.789071672,6002983.102666667
World,2022-03-07,7951213330,16653676.870596986,20104334.06971586,20013352.426438123,18769052.105877455,16269819.813155657,14079482.006019238,13540856.593968948,1914946310.7227752,8114179.282723624,6053058.176666667
World,2022-03-14,7951213330,16781522.696001615,20264041.100963768,20167889.00183263,18987958.596100055,16403941.163506934,14171159.096977903,13639349.204357816,1920583709.410516,8138066.565298798,6096306.213666666
World,2022-03-21,7951213330,16905689.189865377,20438116.223886743,20332502.617875885,19140734.598687176,16530019.388274647,14260635.204488821,13739148.208441764,1926249271.0190434,8162073.182284082,6132023.300666667
World,2022-03-28,7951213330,17083074.70663306,20653074.035014406,20478400.274949674,19351970.99060931,16632852.983933317,14368125.283840748,13852090.610935122,1933449043.4542375,8192580.6926027015,6177570.340666667
World,2022-04-04,7951213330,17178166.34981542,20797187.561493363,20570984.23992055,19498834.8918112,16710618.678685676,14431528.670764927,13901515.538079161,1938029803.5040553,8211990.692813793,6203981.389666666
World,2022-04-11,7951213330,17268530.692519244,20955210.004380975,20669951.228938337,19613916.510419562,16790803.94209114,14485551.302232556,13947017.61803892,1941971165.6072063,8228691.379691552,6226657.399666667
World,2022-04-18,7951213330,17350958.767827544,21083804.778676733,20798814.628796414,19726823.75526963,16860561.576383866,14537816.748298598,13989505.383259445,1946039484.697024,8245930.019902644,6245601.4366666665
World,2022-04-25,7951213330,17422874.32978646,21183776.038512956,20899653.07252688,19849203.265510894,16924793.247389264,14588831.223400172,14026853.489257144,1949934521.5735083,8262434.413447069,6262227.472666667
World,2022-05-02,7951213330,17487839.111547478,21279610.354594998,21011329.913467687,19926124.167288214,16977879.24074283,14640863.147130707,14063805.630718369,1953888290.4250464,8279187.6712925695,6278534.5046666665
World,2022-05-09,7951213330,17561304.21840491,21373871.439570148,21140884.945760205,20014106.17845349,17038885.17675051,14697712.503476422,14113246.071674937,1959442597.9032514,8302722.872471404,6291167.537666666
World,2022-05-16,7951213330,17626193.112562764,21472261.177737758,21255182.0809505,20095659.01628003,17095440.559838288,14755973.072351651,14162761.172653832,1963979212.8081229,8321945.816983571,6302319.594666666
World,2022-05-23,7951213330,17684971.790164426,21585710.601400353,21367883.82587918,20197192.741846412,17159505.1335929,14809526.754708145,14208398.261709511,1967326125.7529943,8336127.651495739,6312589.630666667
World,2022-05-30,7951213330,17748039.124647167,21711589.32679443,21497202.713328183,20274256.427569404,17221311.30180942,14867486.830913568,14252256.297365723,1971035813.1778657,8351846.666007905,6323016.690666666
World,2022-06-06,7951213330,17816452.604755644,21847044.419253614,21631199.046082564,20375741.79988354,17277385.91428557,14931590.111987278,14301657.207284441,1975825786.4410167,8372143.162885664,6331832.742666666
World,2022-06-13,7951213330,17887876.632301055,21997145.409523,21761453.04574151,20473182.473054294,17340838.93615556,14992008.74631783,14366983.39580523,1981313019.3618457,8395394.149838328,6341366.812666667
World,2022-06-20,7951213330,17962845.17738926,22147872.31974208,21896689.17115989,20579117.72962745,17408430.66124736,15053879.524934987,14426970.39544841,1986681069.11833,8418140.123382755,6350526.865666667
World,2022-06-27,7951213330,18042891.65126405,22308939.25251341,22038570.642929148,20685457.029809333,17478867.14506783,15115237.094381304,14488936.548555885,1992886656.9148145,8444434.98692718,6361052.905666667
