iso3c,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
SLB,2021-05-03,686878,264.4685161701353,1255.5026842142295,938.8051411770148,359.9062293215583,-243.26705397159614,-868.8565496341172,-1538.0999697017346,264.4685161701353,0,0
SLB,2021-05-10,686878,269.35222786602816,1280.0793590918313,953.0970333948585,366.45590539925,-244.07309700144265,-885.95265613839,-1559.7428534082321,269.35222786602816,0,0
SLE,2020-01-01,7976985,51.447883920891805,205.10147923633318,157.05980712171728,51.447883920891805,-24.559270741805033,-106.6974878352552,-166.32837584487146,51.447883920891805,0,0
SLE,2020-01-06,7976985,102.17580836023807,408.66425634240306,314.7425405402354,102.17580836023807,-49.95421476985872,-213.09660958785275,-332.6567516897429,102.17580836023807,0,0
SLE,2020-01-13,7976985,152.90373279958433,612.2880343602759,472.16433917124846,152.90373279958433,-75.66002408990452,-319.64491438177913,-499.29642696728183,152.90373279958433,0,0
SLE,2020-01-20,7976985,204.07427859655925,817.219140115437,628.3387652631059,204.07427859655925,-100.10025281453662,-426.1932191757055,-665.6248028121533,204.07427859655925,0,0
SLE,2020-01-27,7976985,255.52216251745105,1022.3274560219173,783.3880665417994,255.52216251745105,-125.56080327745963,-533.0579787984435,-831.9531786570248,255.52216251745105,0,0
SLE,2020-02-03,7976985,306.692708314426,1227.3209201926875,939.8881535910175,306.692708314426,-150.00103200209173,-639.9227384211815,-998.2815545018963,306.692708314426,0,0
SLE,2020-02-10,7976985,360.2288568074612,1432.660436533145,1104.2967658264427,360.2288568074612,-177.2520011764356,-743.3491147623956,-1133.7755250615558,360.2288568074612,0,0
SLE,2020-02-17,7976985,413.17145899173613,1635.6552578285146,1270.8282517047844,413.17145899173613,-198.4873572912918,-846.4506487569881,-1269.4783942958143,413.17145899173613,0,0
SLE,2020-02-24,7976985,464.04456039946604,1786.8339647783614,1427.6080451828548,464.04456039946604,-221.41440708110056,-952.372724799683,-1434.3580944471087,464.04456039946604,0,0
SLE,2020-03-02,7976985,515.8118732666554,2006.6219558970631,1578.0459399385984,515.8118732666554,-240.2684834740164,-1065.2122851427573,-1590.7395602080242,515.8118732666554,0,0
SLE,2020-03-09,7976985,566.3671957883882,2230.149504834162,1749.249733256427,566.3671957883882,-268.23842948864535,-1184.4274352405807,-1745.5053633215543,566.3671957883882,0,0
SLE,2020-03-16,7976985,612.0931056137193,2384.525487674629,1917.6350488856692,612.0931056137193,-311.6500018076221,-1303.2503681534592,-1893.455332729831,612.0931056137193,0,0
SLE,2020-03-23,7976985,652.1105492578761,2499.3448911897704,2082.7603302256516,652.1105492578761,-361.6990558474916,-1436.934439491732,-2083.314266169128,652.1105492578761,0,0
SLE,2020-03-30,7976985,690.6754817892721,2690.397266662816,2246.8139015169463,690.6754817892721,-399.8881517828261,-1571.7172046387018,-2268.603857259072,690.6754817892721,0,0
SLE,2020-04-06,7976985,720.1068384436489,2825.9750519598733,2385.525483965354,720.1068384436489,-438.9402477458791,-1710.6096167929925,-2462.3378333837986,720.1068384436489,0,0
SLE,2020-04-13,7976985,751.7770342605259,2911.6581732397954,2525.4061328994912,751.7770342605259,-478.9505376138328,-1848.50020813754,-2670.8347375416824,751.7770342605259,0,0
SLE,2020-04-20,7976985,779.4910440370941,2992.931949733839,2657.4869383002656,779.4910440370941,-515.4132246949891,-1991.5893920934636,-2944.3326946959814,779.4910440370941,0,0
SLE,2020-04-27,7976985,807.4618869737759,3105.0286078406416,2773.060351885647,807.4618869737759,-560.6283691550146,-2131.633327256205,-3053.3034999261527,807.4618869737759,0,3.997
SLE,2020-05-04,7976985,838.0575494202708,3177.0656640185985,2935.40771996799,838.0575494202708,-586.4693825703927,-2272.587953075314,-3253.603800630517,838.0575494202708,0,8.995
SLE,2020-05-11,7976985,878.2628198938767,3274.2286844592286,3108.0770378515945,878.2628198938767,-669.8042823186528,-2412.611281278205,-3451.508852415786,878.2628198938767,0,18.997999999999998
SLE,2020-05-18,7976985,918.6338380808996,3445.4001111660127,3281.5128377632927,918.6338380808996,-752.4140253164392,-2543.081307760601,-3627.967219778512,918.6338380808996,0,32.998
SLE,2020-05-25,7976985,994.2413644252424,3558.564917583125,3468.374609253314,994.2413644252424,-782.0606937619923,-2676.737496818022,-3802.981405619573,994.2413644252424,0,42
SLE,2020-06-01,7976985,1065.2953726077485,3766.078710564613,3553.0842512425074,1065.2953726077485,-772.2565258826027,-2796.423881669158,-3926.5972829861876,1065.2953726077485,0,45.997
SLE,2020-06-08,7976985,1136.6211682087187,3980.356059565966,3650.2761600924023,1136.6211682087187,-774.2759031452246,-2902.8937363939394,-4008.282619494325,1136.6211682087187,0,49
SLE,2020-06-15,7976985,1209.88837595089,4067.5523592737477,3764.9990427356724,1209.88837595089,-787.5135056484305,-2854.965851463497,-4089.2033355267063,1209.88837595089,0,51.002
SLE,2020-06-22,7976985,1298.4280464222793,4157.606311856349,3881.137618818347,1298.4280464222793,-813.9952176048556,-2777.5806759598336,-4198.256340919016,1298.4280464222793,0,54.999
SLE,2020-06-29,7976985,1351.4419702430848,4240.0491997636345,3999.7682753430513,1351.4419702430848,-812.9695856431995,-2694.4200281361586,-4311.641304856061,1351.4419702430848,0,59.997
SLE,2020-07-06,7976985,1418.2423515718342,4331.239164055404,4108.469053973755,1418.2423515718342,-688.1180683674671,-2685.253762213689,-4424.305577652961,1418.2423515718342,0,61.998999999999995
SLE,2020-07-13,7976985,1486.2605967914533,4542.967366605319,4257.676735391061,1486.2605967914533,-734.4649569355424,-2778.773842725755,-4538.1696038129285,1486.2605967914533,0,63
SLE,2020-07-20,7976985,1558.7051721835394,4786.285059163461,4534.553056052852,1558.7051721835394,-716.0025173305216,-2861.5100543501803,-4649.547043942635,1558.7051721835394,0,66.003
SLE,2020-07-27,7976985,1630.9994777550853,4883.697691248799,4666.450852333263,1683.5980814731709,-677.6030709780996,-2942.0049748051392,-4760.884517499604,1630.9994777550853,0,66.003
SLE,2020-08-03,7976985,1703.293783326631,5096.186693146366,4814.995984860409,1795.08115139815,-713.6552080045449,-3021.3610131392957,-4870.277431986805,1703.293783326631,0,67.004
SLE,2020-08-10,7976985,1753.7601185998449,5368.224867813538,4976.896462256159,1901.920238101915,-666.1009996385612,-3101.180487051839,-4978.794356835676,1753.7601185998449,0,69.006
SLE,2020-08-17,7976985,1840.6537225326772,5627.200153810942,5166.170409676091,1983.8364573243343,-602.5846373458655,-3187.261324772765,-5087.424000248739,1840.6537225326772,0,69.006
SLE,2020-08-24,7976985,1914.1980111093126,5898.6589181038935,5294.831381867257,2104.7315113131776,-601.0833524504309,-3279.611956926385,-5198.136153655213,1914.1980111093126,0,69.006
SLE,2020-08-31,7976985,1988.327984822905,6170.10998191031,5439.813746925826,2201.483003484756,-626.2922791232633,-3362.796354638793,-5305.8345031730205,1988.327984822905,0,70.007
SLE,2020-09-07,7976985,2060.679907487465,6440.460106231632,5604.291233849434,2296.43267269529,-659.5489806739921,-3399.8037327589277,-5408.765454633917,2060.679907487465,0,71.008
SLE,2020-09-14,7976985,2133.9077206973143,6713.077690397771,5772.655413702338,2390.2040954548347,-697.6938107305385,-3474.470372630842,-5534.116468612879,2133.9077206973143,0,72.009
SLE,2020-09-21,7976985,2206.259643361874,6985.230174155424,5940.933447815574,2563.5947457033362,-745.2477622180719,-3573.544125372493,-5633.209694682876,2206.259643361874,0,72.009
SLE,2020-09-28,7976985,2276.8859248086655,7256.775248652772,6065.657380056727,2774.9924840021436,-778.3674461503895,-3660.23213497751,-5760.628677813805,2276.8859248086655,0,72.009
SLE,2020-10-05,7976985,2350.0128426961496,7528.859182696657,6191.563445467448,2895.0191896305173,-731.5130262580149,-3763.8747450275087,-5864.613642830405,2350.0128426961496,0,72.009
