iso3c,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
BOL,2020-01-01,11832936,0,0.015882151999999913,0.01335537600000027,0.002311967000000068,-0.013761037000000267,-0.013761037000000267,-0.015682988999999637,-0.013761037000000267,0,0
BRA,2020-01-01,213993441,0,0.015375193000000266,0.012188137999999913,0.004161090999999488,-0.01819523300000023,-0.01819523300000023,-0.019759523999999973,-0.01819523300000023,0,0
BRB,2020-01-01,287708,-0.03567570900000033,0.005620890000000229,-0.003960558000000051,-0.012546406000000065,-0.03567570900000033,-0.04432117799999999,-0.047096103999999965,-0.03567570900000033,NA,0
BRN,2020-01-01,441532,-0.019757890000000288,0.014588938000000282,0.010129157000000003,-0.00310864700000005,-0.020731431999999727,-0.03319339000000009,-0.03841072900000032,-0.019757890000000288,NA,0
BTN,2020-01-01,779900,-0.006603259000000276,0.03733048400000005,0.019407291999999823,0.0023315880000000454,-0.015574919000000305,-0.03436497600000017,-0.03876876200000016,-0.006603259000000276,NA,0
BWA,2020-01-01,2397240,-0.01970782700000026,0.029087290000000092,0.025896030000000278,0.008277582999999922,-0.01970782700000026,-0.027479680999999853,-0.04485919199999978,-0.01970782700000026,NA,0
CAF,2020-01-01,4919987,-0.01896534700000025,0.09190532299999987,0.07360043999999948,0.024497577999999867,-0.01896534700000025,-0.024824604000000403,-0.02833369199999965,-0.01896534700000025,NA,0
CAN,2020-01-01,38067913,0,0,0,0,-0.025219424000000223,-0.025219424000000223,-0.025219424000000223,-0.025219424000000223,0,0
CHE,2020-01-01,8715494,0,0,0,0,-0.025184009000000226,-0.025184009000000226,-0.025470599999999836,-0.025184009000000226,0,0
CHL,2020-01-01,19212362,0,0,0,0,-0.024563934000000176,-0.024563934000000176,-0.024563934000000176,-0.024563934000000176,0,0
CHN,2020-01-01,1444216102,-0.06986066671120034,0.022779205000000313,0.015344879999999901,-0.0012263470000002973,-0.06986066671120034,-0.06986066671120034,-0.06986066671120034,-0.00515155900000029,-0.06986066671120034,0
CIV,2020-01-01,27053629,-0.0336121020000004,0.048724866000000304,0.03362955100000006,0.006250699000000012,-0.0336121020000004,-0.0336121020000004,-0.0455482240000002,-0.0336121020000004,NA,0
CMR,2020-01-01,27224262,0.016058262999999722,0.05210124999999969,0.03816854300000041,0.016058262999999722,-0.006250433999999765,-0.027948259999999822,-0.04072616999999998,0.016058262999999722,NA,0
COD,2020-01-01,92377986,0.0427613989999996,0.07381269299999979,0.05899181599999984,0.0427613989999996,0.0016003879999998312,-0.015773516000000463,-0.023625427999999775,0.0427613989999996,NA,0
COG,2020-01-01,5657017,0.027665834999999736,0.07027673599999971,0.05308620100000015,0.027665834999999736,-0.003215326999999854,-0.021450988000000223,-0.02988768300000013,0.027665834999999736,NA,0
COK,2020-01-01,17572,-0.11391791000000027,0.07856655700000015,0.04668046500000013,-0.004174903999999695,-0.11391791000000027,-0.11391791000000027,-0.13209417600000034,-0.11391791000000027,NA,NA
COL,2020-01-01,51265841,0,0.00695916999999991,0.005493805000000004,1.1637100000000268e-4,-0.02140889100000025,-0.02140889100000025,-0.02140889100000025,-0.02140889100000025,0,0
COM,2020-01-01,888456,0.020183846999999738,0.08264647999999931,0.0636714749999996,0.021583287999999954,-0.00914814300000001,-0.023425513999999887,-0.02617093099999947,0.020183846999999738,NA,0
CPV,2020-01-01,561901,-0.024757018000000255,0.04019048499999975,0.02441521300000047,-0.0028322399999998788,-0.024757018000000255,-0.03170452699999997,-0.03647984400000013,-0.024757018000000255,NA,0
CRI,2020-01-01,5139053,0,0,0,0,-0.01683012700000019,-0.02087998400000022,-0.023275745999999625,-0.01683012700000019,0,0
CUB,2020-01-01,11317498,0,0.011615844999999658,0.004487763999999949,0,-0.013648648000000293,-0.020797669000000473,-0.02556753999999986,-0.013648648000000293,0,0
CUW,2020-01-01,164796,-0.006844554000000305,0.10204931599999983,0.0637962099999998,0.013245026999999816,-0.017675077999999893,-0.040159516999999874,-0.049994206000000166,-0.006844554000000305,NA,NA
CYM,2020-01-01,66498,-0.018359459000000338,0.06277254599999987,0.04645588799999985,0.0028016610000001743,-0.025310890000000516,-0.047304494000000356,-0.052553203999999874,-0.018359459000000338,NA,NA
CYP,2020-01-01,888005,-0.040363808000000403,-0.0050341299999997445,-0.006280303000000007,-0.014632702000000287,-0.040363808000000403,-0.04404274200000028,-0.04874380199999965,-0.040363808000000403,NA,0
CZE,2020-01-01,10724553,0,0.0014024679999998753,0,0,-0.01806552700000026,-0.01806552700000026,-0.01806552700000026,-0.01806552700000026,0,0
DEU,2020-01-01,83900471,0,0.006984474000000365,0.004431862000000008,0,-0.014609017000000292,-0.015126440999999633,-0.01762717800000054,-0.014609017000000292,0,0
DJI,2020-01-01,1002197,0.019478944999999716,0.031151960999999742,0.024883527999999936,0.019478944999999716,-0.011816564999999614,-0.031284016999999754,-0.05173425800000007,0.019478944999999716,NA,0
DMA,2020-01-01,72172,-0.017017817000000327,0.03846365099999974,0.02316685799999982,8.237810000002895e-4,-0.020007090999999998,-0.03609272599999988,-0.0394238709999999,-0.017017817000000327,NA,0
DNK,2020-01-01,5813302,0,0,0,0,-0.025423196000000238,-0.025423196000000238,-0.025423196000000238,-0.025423196000000238,0,0
DOM,2020-01-01,10953714,-0.027010525000000212,-9.37650999999866e-4,-0.0032571400000000073,-0.00979830499999999,-0.027010525000000212,-0.03085635199999991,-0.03373621699999959,-0.027010525000000212,NA,0
DZA,2020-01-01,44616626,-0.009030927000000286,0.014433817000000166,0.011717965000000012,0.00277416099999991,-0.009030927000000286,-0.016692329999999738,-0.020312162999999633,-0.009030927000000286,NA,0
ECU,2020-01-01,17888474,0,0.027035605000000046,0.016756827999999977,0.005054472000000254,-0.015069113000000238,-0.015069113000000238,-0.017797090999999873,-0.015069113000000238,0,0
EGY,2020-01-01,104258327,0,0.038521074999999676,0.038521074999999676,0.038521074999999676,0,-0.0077895290000000415,-0.01354190700000022,0.038521074999999676,0,0
ERI,2020-01-01,3601462,-0.010101496000000298,0.06321059100000019,0.05722275500000004,0.010454504999999854,-0.01089513199999987,-0.026965060000000332,-0.05417763399999975,-0.010101496000000298,NA,0
ESP,2020-01-01,46745211,0,0.02345790600000003,0.009739668999999819,0,-0.00797599099999987,-0.01256531200000035,-0.013669538000000021,-0.002967862000000264,0,0
EST,2020-01-01,1325188,0,0,0,0,-0.02410214700000024,-0.02768227099999986,-0.03451677899999962,-0.02410214700000024,0,0
ETH,2020-01-01,117876226,0.035885176999999636,0.06412145399999951,0.037401540999999754,0.035885176999999636,-0.0020660360000001065,-0.027306145999999896,-0.04509357999999996,0.035885176999999636,NA,0
FIN,2020-01-01,5548361,0,8.9741199999998e-4,0,0,-0.019184595000000245,-0.019184595000000245,-0.019184595000000245,-0.019184595000000245,0,0
FJI,2020-01-01,902899,-0.06528654400000052,0.031913804000000066,0.02292834399999983,-0.010540750000000522,-0.06528654400000052,-0.08541883300000021,-0.09801092099999988,-0.06528654400000052,NA,0
FLK,2020-01-01,3528,-0.029244204000000367,0.09879477200000028,0.07712790899999988,0.020987253999999542,-0.03775990800000019,-0.08327786400000049,-0.10041056599999973,-0.029244204000000367,NA,NA
FRA,2020-01-01,67564251,0,0.0011167859999998851,0,0,-0.016817426000000215,-0.016817426000000215,-0.01747704700000017,-0.016817426000000215,0,0
FRO,2020-01-01,49053,-0.016654919000000344,0.044550417000000155,0.038005883000000094,0.0033604290000002457,-0.02409497300000002,-0.04430969299999985,-0.05968738399999995,-0.016654919000000344,NA,NA
FSM,2020-01-01,116255,-0.021634577000000255,0.10645580800000023,0.08980957599999938,0.01170795699999976,-0.03554504400000009,-0.08025262199999976,-0.10715337900000001,-0.021634577000000255,NA,0
GAB,2020-01-01,2278829,0.018709706999999735,0.08081690700000024,0.050489198999999686,0.018709706999999735,-0.009500802000000075,-0.024633652999999874,-0.029052354000000138,0.018709706999999735,NA,0
GBR,2020-01-01,68207114,0,0,0,0,-0.021072605000000234,-0.021072605000000234,-0.021072605000000234,-0.021072605000000234,0,0
GEO,2020-01-01,3979773,0,0.02341561399999979,0.008002487999999953,0.001264911999999878,-0.018943952000000312,-0.018943952000000312,-0.01967858499999987,-0.018943952000000312,0,0
GGY,2020-01-01,67052,-0.02480367500000034,0.08059634500000015,0.04828889500000001,0.008610676000000221,-0.02480367500000034,-0.05269596000000061,-0.07036384999999985,-0.02480367500000034,NA,NA
GHA,2020-01-01,31732128,-0.0223920650000003,0.05575412399999967,0.033853395000000217,0.005048012000000026,-0.0223920650000003,-0.03377921299999992,-0.049959345000000224,-0.0223920650000003,NA,0
GIB,2020-01-01,33691,-0.020081103000000322,0.07495342000000013,0.04017142299999994,0.004178035000000232,-0.020081103000000322,-0.03486901900000013,-0.052851082999999965,-0.020081103000000322,NA,NA
GIN,2020-01-01,13497237,0.011562125999999786,0.05802538499999976,0.039548820999999706,0.011562125999999786,-0.010506711999999675,-0.024665436000000214,-0.030570736999999744,0.011562125999999786,NA,0
GMB,2020-01-01,2486937,0.01986657799999974,0.07688711099999998,0.058975272000000065,0.01986657799999974,-0.010713221000000123,-0.025990717000000163,-0.03465818599999998,0.01986657799999974,NA,0
GNB,2020-01-01,2015490,0.02777815699999972,0.10800417700000013,0.09179732799999986,0.0337458100000001,-0.0030516259999998933,-0.01733816300000014,-0.028093084000000178,0.02777815699999972,NA,0
GNQ,2020-01-01,1449891,-0.01521129800000028,0.06980833100000058,0.055194036999999835,0.010753824999999776,-0.01521129800000028,-0.03091819900000003,-0.053986765000000166,-0.01521129800000028,NA,0
GRC,2020-01-01,10370747,0,0.019836937999999717,0.010543173999999865,0,-0.0120956760000003,-0.01453690599999991,-0.017633755999999872,-0.0120956760000003,0,0
GRD,2020-01-01,113015,-0.02060854900000028,0.056117491,0.04261063300000011,-0.0017221860000000467,-0.021155363000000052,-0.035475304999999874,-0.03686741199999975,-0.02060854900000028,NA,0
GRL,2020-01-01,56868,-0.008898812000000313,0.04564817799999994,0.031855354999999884,0.004224419999999849,-0.022304722000000082,-0.06917742799999972,-0.09827435199999995,-0.008898812000000313,NA,NA
GTM,2020-01-01,18249868,0.024968365999999804,0.027899409999999614,0.024968365999999804,0.024968365999999804,-0.007245634000000295,-0.014702136000000077,-0.01580093000000009,0.024968365999999804,NA,0
GUY,2020-01-01,790329,-0.010107945000000276,0.03147023099999956,0.022412767999999843,-3.275360000000636e-4,-0.014238809999999961,-0.026736527000000107,-0.03316326899999948,-0.010107945000000276,NA,0
HKG,2020-01-01,7552800,-0.02832823000000022,0.014537005999999877,0.00804951899999969,-0.0042525870000001825,-0.02832823000000022,-0.029213359999999775,-0.035008862999999855,-0.02832823000000022,NA,0
HND,2020-01-01,10062994,0.040238548999999714,0.040238548999999714,0.040238548999999714,0.040238548999999714,-1.7347800000001856e-4,-0.008008827000000019,-0.010523643000000209,0.040238548999999714,NA,0
HRV,2020-01-01,4081657,0,0.0047830929999999605,0.0019973900000001352,0,-0.014542117000000318,-0.019592215999999732,-0.022101823999999923,-0.014542117000000318,0,0
HTI,2020-01-01,11541683,0.00978755999999977,0.060647429999999836,0.04179018399999979,0.00978755999999977,-0.013807523999999818,-0.02513579299999986,-0.03372281299999995,0.00978755999999977,NA,0
HUN,2020-01-01,9634162,0,0.0059413520000004185,0.0015064570000002467,0,-0.02232588300000023,-0.02232588300000023,-0.02232588300000023,-0.02232588300000023,0,0
IDN,2020-01-01,276361788,0.0385726599999996,0.06980512700000058,0.05167645900000046,0.0385726599999996,-0.006601631000000333,-0.01664707300000014,-0.028931014000000504,0.0385726599999996,NA,0
IMN,2020-01-01,85410,-0.017120318000000332,0.06407329599999981,0.044395871999999795,0.006979992999999992,-0.02317938599999963,-0.04578258899999958,-0.06168344899999993,-0.017120318000000332,NA,NA
IND,2020-01-01,1393409033,-0.0048185450000003335,0.01866985100000004,0.015175294000000047,0.006046042999999932,-0.007621480999999993,-0.017992488000000258,-0.02044506000000006,-0.0048185450000003335,NA,0
IRL,2020-01-01,4982904,0,0,0,0,-0.028955154000000222,-0.028955154000000222,-0.03182938300000025,-0.028955154000000222,0,0
IRN,2020-01-01,85028760,0,0.02462777599999973,0.011460841000000003,0,-0.017287401000000296,-0.04938171399999978,-0.07585989000000029,-0.017287401000000296,0,0
IRQ,2020-01-01,41179351,0.0023359789999997296,0.025974558999999654,0.01994573800000004,0.0032969159999998226,-0.0064961839999999205,-0.01464396499999975,-0.018900687999999877,0.0023359789999997296,NA,0
ISL,2020-01-01,343360,0,0,0,0,-0.03977036300000045,-0.04212774099999966,-0.045628153000000074,-0.03977036300000045,0,0
ISR,2020-01-01,8789776,0,0,0,0,-0.02873478300000017,-0.02873478300000017,-0.02873478300000017,-0.02873478300000017,0,0
ITA,2020-01-01,60367471,0,0.02311307499999965,0.014321329000000008,7.481710000002018e-4,-0.010273830000000268,-0.011707473000000246,-0.014950988000000028,-0.010273830000000268,0,0
JAM,2020-01-01,2973462,0,9.738119999998199e-4,0,0,-0.038611980000000365,-0.038611980000000365,-0.04244863299999969,-0.038611980000000365,0,0
JEY,2020-01-01,101073,-0.02480367500000034,0.07835237500000014,0.048288895000000005,0.0076345420000003515,-0.02480367500000034,-0.05177718000000061,-0.07036384999999985,-0.02480367500000034,NA,NA
JOR,2020-01-01,10269022,-0.011277040000000314,0.01629005499999971,0.014777696999999824,0.0035328820000002556,-0.011277040000000314,-0.01795125800000004,-0.020205941,-0.011277040000000314,NA,0
JPN,2020-01-01,126050796,0,0.010904667999999913,0.00869804899999999,0,-0.02368403000000028,-0.03002202399999998,-0.035965748,-0.02368403000000028,0,0
KAZ,2020-01-01,18994958,0,0.010595283999999577,0.005828136999999972,0,-0.021533055000000308,-0.027738931000000237,-0.041824474999999875,-0.021533055000000308,0,0
KEN,2020-01-01,54985702,0.031857995999999694,0.10047811499999944,0.07399329100000014,0.03438420600000005,0.0017007399999997845,-0.012584138999999599,-0.02446325599999986,0.031857995999999694,NA,0
KGZ,2020-01-01,6628347,0,0.018860782000000458,0.014720941000000242,0.005211473000000263,-0.015417509000000272,-0.022653343999999978,-0.03153090899999988,-0.015417509000000272,0,0
KHM,2020-01-01,16946446,-0.013924769000000288,0.036951664000000134,0.022852351000000073,0.005887971999999824,-0.013924769000000288,-0.029277962000000067,-0.04038652000000029,-0.013924769000000288,NA,0
KIR,2020-01-01,121388,-0.07354822800000031,0.07729947199999938,0.046432792999999785,0.003743888000000292,-0.07354822800000031,-0.11389399199999974,-0.13576996699999944,-0.07354822800000031,NA,0
KNA,2020-01-01,53546,-0.0201895340000003,0.04776168999999985,0.039834392999999725,0.0016774459999997695,-0.0201895340000003,-0.032254221999999874,-0.0426734370000001,-0.0201895340000003,NA,0
KOR,2020-01-01,51305184,0,0.001489279999999823,0,0,-0.03202447100000046,-0.034545767000000005,-0.038567264000000004,-0.03202447100000046,0,0
KWT,2020-01-01,4328553,-0.03819215100000037,0.016942850000000485,0.005845527000000199,-0.007709958000000102,-0.03819215100000037,-0.03819215100000037,-0.03819215100000037,-0.03819215100000037,NA,0
LAO,2020-01-01,7379358,0.029428654999999828,0.041862733000000006,0.03004269100000002,0.029428654999999828,-0.006848650000000079,-0.017967464999999915,-0.030773857000000304,0.029428654999999828,NA,0
LBN,2020-01-01,6769151,0,0.0024461500000001403,3.8502199999982403e-4,0,-0.02586489400000018,-0.02586489400000018,-0.02880926600000008,-0.02586489400000018,0,0
LBR,2020-01-01,5180208,-0.016158258000000314,0.09614502100000034,0.05979687000000005,0.025601384000000005,-0.016158258000000314,-0.022092649000000155,-0.02713260900000017,-0.016158258000000314,NA,0
LBY,2020-01-01,6958538,-0.0018240330000002956,0.014488338000000229,0.008999545999999671,2.521910000001682e-4,-0.009054327999999992,-0.017586084000000647,-0.025701266999999754,-0.0018240330000002956,NA,0
LCA,2020-01-01,184401,-0.011090251000000344,0.0790926250000004,0.05181853099999984,0.0066676099999999254,-0.014900904000000506,-0.027946754999999747,-0.030088244000000132,-0.011090251000000344,NA,0
LIE,2020-01-01,38254,-0.026372427000000295,0.04292093699999978,0.0225363940000002,-0.0047891829999999165,-0.026999555000000133,-0.04164067599999955,-0.049429951999999965,-0.026372427000000295,NA,0
LKA,2020-01-01,21497306,-0.015313020000000213,0.03337144100000042,0.025532540999999923,0.002574846999999681,-0.015313020000000213,-0.03008166800000028,-0.03621085099999996,-0.015313020000000213,NA,0
LSO,2020-01-01,2159067,0.005883025999999699,0.07113877399999981,0.05873596900000045,0.030238085000000442,0.0019994390000000694,-0.012660026999999593,-0.014904743999999822,0.005883025999999699,NA,0
LTU,2020-01-01,2689862,0,0.041497075999999695,0.03406373000000014,0.00922571999999973,-0.010008164000000326,-0.01940650299999986,-0.02166349699999942,0.004123773999999731,0,0
LUX,2020-01-01,634814,0,0.0028752699999999784,0,0,-0.02975886400000023,-0.039322921999999975,-0.04348107899999987,-0.02975886400000023,0,0
LVA,2020-01-01,1866934,0,0.030335293999999832,0.018117991999999666,0,-0.028864271000000264,-0.04166262799999998,-0.05449549399999955,-0.028864271000000264,0,0
MAC,2020-01-01,658391,-0.0070982410000003035,0.0508653299999998,0.04272525,0.005129510999999831,-0.019091492999999793,-0.04057121800000024,-0.04654123399999988,-0.0070982410000003035,NA,NA
MAR,2020-01-01,37344787,0.0014323319999997276,0.02230477899999993,0.010551172000000242,0.0014323319999997276,-0.012651924000000246,-0.02224157100000009,-0.030923722000000254,0.0014323319999997276,NA,0
MCO,2020-01-01,39520,-0.0321198770000004,0.04600010700000015,0.023143074999999985,-0.004106943999999694,-0.0321198770000004,-0.042399967999999975,-0.04740049999999991,-0.0321198770000004,NA,0
MDA,2020-01-01,4024025,0,0.004837864999999843,0.002212929999999756,0,-0.0341043020000004,-0.054367924999999866,-0.06982934299999974,-0.0341043020000004,0,0
MDG,2020-01-01,28427333,-0.012482312000000237,0.09263706499999978,0.0746175689999999,0.03231798600000006,-0.012482312000000237,-0.014709739000000267,-0.02158532200000017,-0.012482312000000237,NA,0
MDV,2020-01-01,543620,-0.023770014000000214,0.06711451199999968,0.046355654000000114,0.007694677000000328,-0.023770014000000214,-0.03539684000000006,-0.04363988899999988,-0.023770014000000214,NA,0
MEX,2020-01-01,130262220,0,0.01392510299999973,0.008455620999999872,0,-0.013139205000000213,-0.018182331000000145,-0.0208022700000006,-0.013139205000000213,0,0
MHL,2020-01-01,59618,-0.0874307780000005,0.09487046299999984,0.06781400799999997,6.742909999999674e-4,-0.0874307780000005,-0.10696701799999994,-0.12597907300000008,-0.0874307780000005,NA,0
MKD,2020-01-01,2082661,0,0.02646896499999983,0.012102520000000264,0,-0.024310801000000277,-0.032099550000000004,-0.04189615999999988,-0.024310801000000277,0,0
MLI,2020-01-01,20855724,-0.02782421500000022,0.05610586399999942,0.04411752800000039,0.006776784999999875,-0.02782421500000022,-0.03189835600000004,-0.04059242899999946,-0.02782421500000022,NA,0
MLT,2020-01-01,514564,0,0,0,0,-0.035705037000000425,-0.04025792599999972,-0.0469074449999997,-0.035705037000000425,0,0
MMR,2020-01-01,54806014,0.008744492999999742,0.05929057799999981,0.049330888999999926,0.017570802999999927,-0.0076388239999999625,-0.017595624999999972,-0.020611681999999923,0.008744492999999742,NA,0
MNE,2020-01-01,628051,0,0.04087630599999987,0.018970421000000005,0,-0.028128339000000294,-0.03859487299999991,-0.04615777599999979,-0.028128339000000294,0,0
MNG,2020-01-01,3329282,0,0.016245472999999813,0.006061835000000184,0,-0.04569590400000041,-0.04569590400000041,-0.04569590400000041,-0.04569590400000041,0,0
MOZ,2020-01-01,32163045,0.03357634099999961,0.053852879000000166,0.04524334399999985,0.03357634099999961,8.487899999999574e-5,-0.009464725000000156,-0.010956697999999564,0.03357634099999961,NA,0
MRT,2020-01-01,4775110,0.013270684999999803,0.06881609399999962,0.04757267399999969,0.013270684999999803,-0.011532787000000409,-0.02685893500000016,-0.029267884999999733,0.013270684999999803,NA,0
MSR,2020-01-01,4981,-0.014448049000000317,0.08445880499999983,0.06137385199999976,0.007714944999999824,-0.02267920000000017,-0.04506589400000035,-0.06298082099999952,-0.014448049000000317,NA,NA
MUS,2020-01-01,1273428,0,0.009651566000000236,0,0,-0.03395129000000034,-0.03641291799999993,-0.03826221099999989,-0.03395129000000034,0,0
MWI,2020-01-01,19647681,-0.02387328900000031,0.05561665500000011,0.03980030199999996,0.013182487000000184,-0.02387328900000031,-0.02387328900000031,-0.031703003000000056,-0.02387328900000031,NA,0
MYS,2020-01-01,32776195,0,0.005729756999999946,0.004360439999999988,0,-0.026993453000000195,-0.026993453000000195,-0.02896400700000061,-0.026993453000000195,0,0
"NAM",2020-01-01,2587344,-0.007362432000000285,0.059686183999999934,0.042943321999999694,0.02195437800000018,-0.007362432000000285,-0.01756560800000021,-0.018413142000000233,-0.007362432000000285,NA,0
NCL,2020-01-01,288217,-0.13574319800000031,0.06260742099999998,0.051578073000000134,-0.01247603300000008,-0.13574319800000031,-0.13574319800000031,-0.138697869,-0.13574319800000031,NA,NA
NER,2020-01-01,25130810,0.020228284999999742,0.07058647400000043,0.05280389399999973,0.02200169300000004,-0.004589641999999797,-0.020963604000000254,-0.026737366999999724,0.020228284999999742,NA,0
NGA,2020-01-01,211400704,0.027537061999999772,0.08615357099999955,0.06050708899999994,0.027855046000000078,-0.0011850119999995822,-0.018025459999999924,-0.02105825299999992,0.027537061999999772,NA,0
NIC,2020-01-01,6702379,0,0.035096356999999696,0.035096356999999696,0.035096356999999696,-0.004948532999999769,-0.04006377599999981,-0.05655355899999981,0.035096356999999696,0,0
NIU,2020-01-01,1614,-0.10971818800000031,0.07869028000000013,0.04612379699999989,-0.004061834000000305,-0.10971818800000031,-0.10971818800000031,-0.1378867650000004,-0.10971818800000031,NA,NA
NLD,2020-01-01,17173094,0,0,0,0,-0.02379369600000023,-0.02379369600000023,-0.02379369600000023,-0.02379369600000023,0,0
NOR,2020-01-01,5465629,0,0,0,0,-0.02672356200000024,-0.02672356200000024,-0.02672356200000024,-0.02672356200000024,0,0
NPL,2020-01-01,29674920,0.025518712999999745,0.07128322399999987,0.05671092199999998,0.0258266619999997,-0.003206215999999862,-0.027084045999999955,-0.0342847600000001,0.025518712999999745,NA,0
