continent,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Asia,2020-01-20,4679006159,-28068.926455629928,-21832.246918694094,-22970.151057932064,-28068.926455629928,-37972.08043064153,-43917.25342181735,-46234.60157730211,-1723446.8509725379,-33793.07550926545,0
Africa,2020-01-20,1371693397,5547.808521441224,18674.78085747146,14398.277527751168,6321.026644011623,-161.62492915886588,-4391.719857316362,-6225.8351011689865,0,0,0
Europe,2020-01-20,748005174,-2.271299494361827,3.659719649737611,2.7693587902900507,0.1606877715851348,-2.271299494361827,-3.6943012973834337,-4.426302439029219,0,0,0
Oceania,2020-01-20,43198762,-118.22639567208961,221.2806165980744,114.22260406216168,7.379785504126364,-118.22639567208961,-224.0286433310577,-281.733082824206,0,0,0
Americas,2020-01-27,1026788511,-1451.006473638989,-856.2502679145654,-1017.4205974072801,-1297.8551955088562,-1620.4770621982561,-1791.960497898158,-1852.897601793345,-74547.2145744725,-1553.0669703015103,0
Asia,2020-01-27,4679006159,-32004.9667961475,-19805.934291157282,-22976.852981247845,-31241.55394100427,-45906.80523397382,-54358.03090439483,-56763.15787989452,-2037336.5156656906,-39947.77481697433,0
Africa,2020-01-27,1371693397,6971.21926184817,24479.955712510808,17184.101095940856,8544.679121021449,-41.54193708373805,-6383.459990745446,-8032.304417042938,-9027.578186660476,-164.13778521200865,0
Europe,2020-01-27,748005174,-6221.027704021691,-6212.745672346582,-6214.169768123056,-6217.412760739418,-6221.027704021691,-6223.171745270317,-6224.875548897286,-304636.1204699719,-6217.063683060651,0
Oceania,2020-01-27,43198762,-159.20220271555587,298.3999663764798,157.98504265492477,-7.377046451304061,-159.20220271555587,-299.98709848499624,-375.0936368703002,-234.65507995916965,-11.174051426627127,0
Americas,2020-02-03,1026788511,-1742.252554102798,-1185.5457446226035,-1297.5232120593669,-1575.7891336454315,-1959.57240673554,-2192.5611132613894,-2253.25899050581,-90563.29277520838,-1886.7352661501745,0
Asia,2020-02-03,4679006159,-25472.811777199302,-7958.183167268709,-12598.91989362386,-24593.632083827815,-43044.702497178776,-56255.4495493897,-57500.92463202706,-1799611.9383017367,-35286.5085941517,343
Africa,2020-02-03,1371693397,9397.588204443087,29210.805172638324,21156.238532301188,10571.884789453377,223.41990678804365,-7531.781248904733,-9898.659783406247,27618.667783149198,502.15759605725816,0
Europe,2020-02-03,748005174,-13280.878504207107,-13268.699898292907,-13270.47571206728,-13274.968727175212,-13280.878504207107,-13282.767354343601,-13285.334820423777,-650445.2233509449,-13274.392313284588,0
Oceania,2020-02-03,43198762,-197.34083056926718,348.96145131086644,174.31254933952675,-14.105106384338317,-199.79149727017926,-371.8927371176288,-458.97881028781103,-408.0095481274644,-19.429026101307834,0
Americas,2020-02-10,1026788511,-2544.754476821588,-1834.8594785437551,-1984.0736557034072,-2311.3167916925445,-2783.767782684323,-3084.7427242914287,-3173.8557603068507,-130442.57097594351,-2717.553561998823,0
Asia,2020-02-10,4679006159,-30722.75177216353,-8556.805927987249,-10775.427766844618,-27709.2688750454,-53051.90328835065,-70746.89212900786,-74106.43156459865,-2120212.913726751,-41572.8022299363,929.999
Africa,2020-02-10,1371693397,10729.518127261643,33564.276275860255,25827.588597483285,13442.670295767013,261.32743310232416,-8120.679123648064,-10731.657846067148,40944.91375295908,744.4529773265289,0
Europe,2020-02-10,748005174,-19511.963335809967,-19496.65150455209,-19499.719419319867,-19504.992902757647,-19511.963335809967,-19515.177784434185,-19517.17689068305,-955706.8262319197,-19504.220943508564,0
Oceania,2020-02-10,43198762,-136.12794870933996,457.1428866936051,269.0833130184337,84.02594504299961,-141.53313646443738,-328.5166902103586,-427.530977183768,1490.6359837042367,70.98266589067795,0
Americas,2020-02-17,1026788511,-2921.660526164425,-2044.043630632009,-2190.332531769563,-2669.004870014446,-3245.882797897876,-3566.2115362905297,-3726.373173051134,-151872.2491766745,-3164.0051911807186,0
Asia,2020-02-17,4679006159,-41833.05497747069,-14500.35701374359,-17995.405623733463,-38884.835575037825,-69176.3703622724,-90738.65329740955,-96259.69855667843,-2713997.535636133,-53215.63795364967,1783.999
Africa,2020-02-17,1371693397,12217.665598562762,41218.683924302124,29736.886680228323,16758.850601423717,-163.62464344788887,-8724.633335361883,-12878.97771088882,54362.826389435664,988.4150252624667,0
Europe,2020-02-17,748005174,-28479.986794186814,-28460.401634499376,-28463.64116209477,-28471.016727967984,-28479.986794186814,-28483.558516157806,-28485.057288605123,-1395016.0957795612,-28469.716240399208,1.001
Oceania,2020-02-17,43198762,-101.93439388598168,537.0472842631211,357.26622880740234,156.28442095014606,-119.54455283621405,-345.07693072769143,-420.948835062963,2783.7815155359413,132.56102454933054,0
Americas,2020-02-24,1026788511,-2831.743213668521,-1792.8163673248926,-1964.0244790799293,-2560.6552179666523,-3234.6091213395116,-3602.9522896358453,-3794.2731891935978,-149344.29161221834,-3111.339408587882,0
Asia,2020-02-24,4679006159,-52349.336595271496,-19453.726480651367,-23398.700062436455,-47434.81526797644,-84626.64139148153,-110660.72821222275,-118660.82641379362,-3238487.821156794,-63499.76119915283,2536.002
Africa,2020-02-24,1371693397,11759.935483183055,39521.15147480949,30886.3080722841,13502.070793595254,-2590.4910783206824,-15485.13797000694,-19111.908432360302,24153.076596534014,439.14684720970934,0
Europe,2020-02-24,748005174,-36993.12148322765,-36969.44437895656,-36973.61095822706,-36981.723724280346,-36993.12148322765,-36997.78044318972,-37000.02172341625,-1812035.2834498552,-36980.311907139905,8.001
Oceania,2020-02-24,43198762,-25.151187270606393,697.4313868203259,497.03604541284915,275.8679243115641,-46.68248993976458,-297.4498626526837,-369.5609349584711,5005.087721524714,238.3375105487959,0
Americas,2020-03-02,1026788511,-961.1035234206366,132.50659096148925,21.185484509310943,-656.6440122570306,-1499.8495642081841,-1981.9604324642137,-2188.2441464956337,-64753.85622078447,-1349.038671266343,5.999
Asia,2020-03-02,4679006159,-73430.99685675501,-46515.191953455374,-48861.10775357413,-73430.99685675501,-114409.63598754915,-142285.40783702393,-152698.14532615154,-4125631.0884238295,-80894.72722399666,2933.994
Africa,2020-03-02,1371693397,14273.161744707195,48695.75335921888,38926.33075733133,17413.4328537183,-2724.3287442722963,-17418.098770389282,-23323.226691267937,77735.62793383162,1413.3750533423931,0
Europe,2020-03-02,748005174,-42879.95262879629,-42852.858905332076,-42857.953928385294,-42867.2440431283,-42879.95262879629,-42885.28052123991,-42889.34778379957,-2100408.7699492993,-42865.48510100611,55.00599999999999
Oceania,2020-03-02,43198762,-52.28469076294016,756.5757061884663,521.7357055919155,257.22531235502896,-80.80618344791702,-350.9023146444479,-435.9542739098823,5051.23710944405,240.53510044971662,1.001
Americas,2020-03-09,1026788511,663.6821730394528,1855.5891562173174,1751.402230302629,939.0429899092555,-47.73774648640059,-704.784162801094,-915.9505471122635,8114.979170641315,169.06206605502763,24.003
Asia,2020-03-09,4679006159,-81438.97018852695,-56454.71390501681,-59287.136185479045,-81438.97018852695,-130304.85861263274,-161308.77408107408,-178657.12917447614,-4349522.480464196,-85284.75451890579,3348.989
Africa,2020-03-09,1371693397,14363.712378848299,47577.34805810066,39002.2715783368,17185.140832008143,-5877.612599052867,-24318.12571003362,-34273.05172187175,119955.17927112884,2181.00325947507,1.001
Europe,2020-03-09,748005174,-39438.12873047484,-39408.139394271646,-39414.761598008794,-39424.461961870664,-39438.12873047484,-39443.92741077036,-39449.6807873375,-1931720.056448745,-39422.85829487235,526.015
Oceania,2020-03-09,43198762,-69.17881087074689,825.7884024613018,573.4809625209213,267.11999184568776,-96.47824244860753,-408.6529035297276,-506.1574646438865,5328.386497363378,253.73269035063706,3.0029999999999997
Americas,2020-03-16,1026788511,2616.6372846760387,3916.7005301442227,3756.4686011736208,2886.1990353995834,1750.760469472556,920.12783371962,716.9366029242154,103783.0145620985,2162.1461367103857,109.011
Asia,2020-03-16,4679006159,-85733.45489731015,-56626.91224855135,-65366.665887976014,-85733.45489731015,-147694.40766711504,-180745.591453337,-191790.03973238126,-4674565.129019826,-91658.13978470246,4127.991
Africa,2020-03-16,1371693397,15071.021013993693,48625.26270979605,38785.04151429774,15639.506763129277,-11276.653006332383,-33590.297720570714,-44025.823445038004,153946.73060842653,2799.0314656077553,7
Europe,2020-03-16,748005174,-23035.34931311487,-23003.264410243482,-23009.50781433526,-23020.735028879586,-23035.34931311487,-23042.465278717144,-23046.89310151965,-1127961.9429481844,-23019.631488738458,2831.024
Oceania,2020-03-16,43198762,12.569447749270704,989.4350761258194,693.7002382361682,363.75953056558984,-22.685602603236433,-365.5868705340552,-470.0122976713031,7617.335885282687,362.7302802515565,3.0029999999999997
Americas,2020-03-23,1026788511,11998.673061141599,13629.920948318035,13249.79200268553,12465.728327085053,11004.986668396792,10130.565622881368,9909.02858208095,559129.4499535434,11648.530207365488,937.02
Asia,2020-03-23,4679006159,-85262.44231774421,-56476.80409509347,-65105.30385381017,-85262.44231774421,-159618.19169046442,-194882.68907147888,-218098.5908845969,-4434664.8783841645,-86954.21330165029,5349.008
Africa,2020-03-23,1371693397,14192.315145935265,43710.59956513422,32779.207246355465,14192.315145935265,-19159.581805998976,-46006.99436446647,-55299.80130671257,163903.28194572416,2980.0596717404396,55.013
Europe,2020-03-23,748005174,7774.088543119957,7808.223020200697,7803.17650965991,7788.983051795183,7774.088543119957,7766.226060212353,7761.482855117012,381711.73055237194,7790.035317395346,10437.042
Oceania,2020-03-23,43198762,155.4908826765157,1181.789295584227,904.1531006913436,523.1686012571183,100.66114942858329,-273.35610395305355,-383.9171313061356,11094.885273202,528.3278701524762,7
Americas,2020-03-30,1026788511,34674.103236594485,36484.414081294264,36097.85484366227,34967.659029847906,33321.355470804876,32296.498923187555,32130.278443213247,1641499.8853449742,34197.9142780203,4902.0160000000005
Asia,2020-03-30,4679006159,-99527.40872644662,-68483.01655675867,-76774.49198026756,-99527.40872644662,-186406.48860104627,-226334.72508138686,-261711.08494558034,-4535576.445956059,-88932.87148933449,6819.043
Africa,2020-03-30,1371693397,11701.774942588912,35860.258874875275,28810.285349348916,11701.774942588912,-31724.477565078287,-63358.36498253425,-71981.49379325045,144984.83328302143,2636.087877873117,171.03099999999998
Europe,2020-03-30,748005174,50395.94897762325,50431.85051936717,50427.00320411524,50412.73987934389,50395.94897762325,50387.961652607264,50383.04631153479,2470151.8440529294,50411.26212352917,27926.038
Oceania,2020-03-30,43198762,392.405680950517,1464.6412510027326,1195.142153375835,789.234415367795,308.5754740520554,-78.78938005556408,-189.79422440808656,16559.034661121317,788.525460053396,18.004
Americas,2020-04-06,1026788511,65398.32851018789,67457.65836269394,67054.86585171695,65677.58809841494,63679.22276518734,62411.432677870915,61973.268804116364,3112387.57492996,64841.40781104083,16648.023
Asia,2020-04-06,4679006159,-111964.77855483357,-83199.37107291653,-92924.02243348895,-111964.77855483357,-215483.2335703169,-269559.73455084156,-302916.0899673743,-4654762.495302146,-91269.85284906169,8868.069
Africa,2020-04-06,1371693397,9366.219141780133,31178.21474476209,22675.10271394033,9366.219141780133,-42867.65440243738,-81842.83592191327,-88435.70716395475,97677.18246978137,1775.9487721778432,485.051
Europe,2020-04-06,748005174,92394.58327173922,92434.21250919744,92428.25567444977,92413.18227120412,92394.58327173922,92386.17738750744,92381.31744403898,4528052.512607253,92409.23495116843,53765.04
Oceania,2020-04-06,43198762,539.5815944267235,1638.241187992319,1411.3404606945305,959.048203267077,418.4819124087698,1.5151019157191383,-101.3181389398918,20088.48792000837,956.5946628575414,41.006
Americas,2020-04-13,1026788511,95208.80249837931,97590.54339190814,97366.99238598395,95463.89276360004,93054.4764582835,91613.11412000848,91250.64956622325,4542851.264514941,94642.73467739459,34556.053
Asia,2020-04-13,4679006159,-124168.11084980519,-90578.41978861608,-106363.8125543404,-124168.11084980519,-241816.83887788816,-303437.68368401227,-343523.8660293095,-4797351.424648234,-94065.7142087889,11286.086
Africa,2020-04-13,1371693397,10212.071924709335,28001.34733393216,21133.85217228368,10212.071924709335,-54443.14815939407,-100037.89745233065,-106341.32540672383,40865.53165654142,743.0096664825711,831.082
Europe,2020-04-13,748005174,127996.20431163532,128039.60489163351,128032.66898759412,128016.18653083128,127996.20431163532,127987.66498966744,127983.04393033726,6272411.981161572,128008.40777880758,81732.063
Oceania,2020-04-13,43198762,534.3642254902919,1674.026693009669,1489.8792008214234,967.572292546348,403.39959832918123,-52.499206983126406,-159.88533410422622,20677.94117889543,984.6638656616872,66.003
Americas,2020-04-20,1026788511,124649.28061966632,127558.64574664783,127225.94142991789,124954.49597183104,122109.12199987621,120478.6344411405,120150.76606519325,5954103.754099929,124043.82821041517,54304.075
Asia,2020-04-20,4679006159,-135446.79475876788,-99220.02927279347,-119643.24940799821,-135446.79475876788,-271499.9765145081,-333440.56127027236,-387435.1536625729,-4995661.933994321,-97954.15556851609,15086.106
Africa,2020-04-20,1371693397,11139.407756092356,27847.43635743025,17102.79509202428,11139.407756092356,-65450.715791642295,-118559.60149466353,-125531.59931387092,-41444.11915669821,-753.5294392126947,1157.093
Europe,2020-04-20,748005174,153323.86291777075,153370.86988923777,153360.977983248,153343.7722501825,153323.86291777075,153312.03116923667,153306.81492497103,7513061.249715888,153327.7806064467,107008.069
Oceania,2020-04-20,43198762,553.9610510163742,1772.6364267332092,1614.697975712816,1007.7489431308428,409.12803171356387,-78.13266035533013,-193.30946316843125,21775.594437782496,1036.9330684658332,79.002
Americas,2020-04-27,1026788511,151414.83542839138,154885.6817475462,154118.20932577807,151639.74189134935,148310.20821635533,146673.87466240063,146140.52692325195,7234817.843684918,150725.3717434358,74775.08499999999
Asia,2020-04-27,4679006159,-144588.0473219087,-92643.19326662592,-117783.7389717277,-144588.0473219087,-298859.17656148144,-356711.8114936724,-416259.8141576365,-5174640.383340407,-101463.53692824328,17554.124
