iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,ABW,0,0,0,0,0,0,0,0,5.225315,5.225315,25.093540000000001,23.047229999999999
ABW,AFG,0,0,0,0,0,0,0,0,13257.81,13257.81,13168.219999999999,13166.370000000001
ABW,AGO,0,0,0,0,0,0,0,0,9516.913,9516.913,9587.3160000000007,9584.1929999999993
ABW,AIA,0,0,1,0,0,0,0,0,983.2682,983.2682,976.89739999999995,976.89160000000004
ABW,ALB,0,0,0,0,0,0,0,0,9091.742,9091.742,9091.5759999999991,9091.4660000000003
ABW,AND,0,1,0,0,0,0,0,0,7572.788,7572.788,7570.0839999999998,7570.0829999999996
ABW,ANT,0,1,1,0,1,0,0,1,136.3848,136.3848,239.90639999999999,142.85830000000001
ABW,ARE,0,0,0,0,0,0,0,0,12735.01,12735.01,12773.08,12772.950000000001
ABW,ARG,0,1,0,0,0,0,0,0,5396.22,5396.22,5187.7879999999996,5157.1260000000002
ABW,ARM,0,0,0,0,0,0,0,0,11107.78,11107.78,11106.959999999999,11106.76
ABW,ATG,0,0,1,0,0,0,0,0,1024.995,1024.995,1011.003,1010.383
ABW,AUS,0,0,1,0,0,0,0,0,15237.5,15354.32,15670.459999999999,15638.1
ABW,AUT,0,0,0,0,0,0,0,0,8719.13,8719.13,8632.9709999999995,8631.0220000000008
ABW,AZE,0,0,0,0,0,0,0,0,11503,11503,11421.98,11420.91
ABW,BDI,0,0,0,0,0,0,0,0,11120.47,11120.47,11138.74,11138.610000000001
ABW,BEL,0,1,1,0,0,0,0,0,7847.07,7847.07,7843.2550000000001,7843.0060000000003
ABW,BEN,0,0,0,0,0,0,0,0,7979.945,8006.697,7915.6379999999999,7915.2139999999999
ABW,BFA,0,0,0,0,0,0,0,0,7414.016,7414.016,7348.5680000000002,7346.2280000000001
ABW,BGD,0,0,0,0,0,0,0,0,15473.46,15473.46,15486.16,15485.5
ABW,BGR,0,0,0,0,0,0,0,0,9348.039,9348.039,9471.4619999999995,9469.6540000000005
ABW,BHR,0,0,0,0,0,0,0,0,12308.36,12308.36,12296.99,12296.99
ABW,BHS,0,0,1,0,0,0,0,0,1588.515,1588.515,1634.5150000000001,1628.143
ABW,BIH,0,0,0,0,0,0,0,0,8936.664,8936.664,8888.4200000000001,8887.9310000000005
ABW,BLR,0,0,0,0,0,0,0,0,9382.626,9382.626,9417.6830000000009,9415.6599999999999
ABW,BLZ,0,1,1,0,0,0,0,0,2076.216,2076.216,2062.0709999999999,2061.4830000000002
ABW,BMU,0,0,1,0,0,0,0,0,2263.787,2263.787,2275.4319999999998,2275.413
ABW,BOL,0,1,0,0,0,0,0,0,3240.231,3560.684,3366.7579999999998,3353.8670000000002
ABW,BRA,0,0,0,0,0,0,0,0,4759.608,3988.915,4431.5709999999999,4272.2039999999997
ABW,BRB,0,0,1,0,0,0,0,0,1139.24,1139.24,1127.652,1127.615
ABW,BRN,0,0,0,0,0,0,0,0,18008.87,18008.87,18042.75,18042.709999999999
ABW,BTN,0,0,0,0,0,0,0,0,15070.87,15070.87,15106.370000000001,15106.25
ABW,BWA,0,0,1,0,0,0,0,0,11196.28,11196.28,11178.83,11177.610000000001
ABW,CAF,0,0,0,0,0,0,0,0,9771.96,9771.96,9729.2009999999991,9725.6000000000004
ABW,CAN,0,0,1,0,0,0,0,0,3573.887,3696.783,4316.0129999999999,4100.3230000000003
ABW,CCK,0,0,1,0,0,0,0,0,18614.29,18614.29,.,.
ABW,CHE,0,0,0,0,0,0,0,0,8056.332,8056.332,8074.21,8073.5100000000002
ABW,CHL,0,1,0,0,0,0,0,0,5125.68,5125.68,5093.8519999999999,5028.6409999999996
ABW,CHN,0,0,0,0,0,0,0,0,14155.35,14155.35,14590.92,14560.280000000001
