C.,S.,C. & S.,Basic data and indicators,...5,...6,...7,...8,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,...37
178,1.3,178-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,6,3,2,3,4,2,2,2,..,NA
178,1.4,178-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
180,0,180-0,"CONGO, DEMOCRATIC REPUBLIC OF THE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 2002-2004, 2007-2010: arrivals by air only.
2/ 2011-2016: The arrivals data relate only to three border posts (N'Djili airport in Kinshasa, the Luano airport in Lubumbashi, and the land border-crossing of Kasumbalesa in Katanga province)"
180,1.1,180-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,197,..,..,..,..,..,..,..,..,NA
180,1.2,180-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/ 2/,TF,35,37,30,53,80,103,55,28,35,36,61,55,47,50,53,81,186,167,191,334,354,351,..,..,..,NA
180,1.3,180-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,50,..,..,..,20,20,20,20,20,..,..,..,..,..,..,..,11,..,..,..,..,..,..,..,..,NA
180,1.4,180-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
184,0,184-0,COOK ISLANDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Arrivals by air and sea.
184,1.1,184-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
184,1.2,184-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,48,48,50,49,56,73,75,73,78,83,88,92,97,95,101,104,113,122,121,122,125,146,161,169,172,NA
184,1.3,184-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
184,1.4,184-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
188,0,188-0,COSTA RICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,1.1,188-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,924,940,1013,1167,1267,1278,1320,1335,1514,1771,1959,2071,2302,2409,2309,2495,2526,2542,2641,2760,2899,3204,3231,3313,3366,NA
188,1.2,188-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,785,781,811,943,1032,1088,1131,1113,1239,1453,1679,1725,1980,2089,1923,2100,2192,2343,2428,2527,2660,2925,2960,3017,3139,NA
188,1.3,188-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,139,159,201,224,235,190,189,222,275,318,280,346,322,320,386,395,334,199,213,233,239,279,271,296,227,NA
188,1.4,188-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,139,159,201,224,235,190,189,222,275,318,280,346,322,320,386,395,334,199,213,233,239,279,271,296,227,NA
384,0,384-0,COTE D´IVOIRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 1995, 1996, 2007-2014: arrivals to Félix Houphouët Boigny Airport only. 2015: break in the series: figures include arrivals by land (road and railway)."
384,1.1,384-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,188,237,274,301,..,..,..,..,..,..,..,..,182,205,231,252,270,289,380,471,1441,1583,1800,1965,..,NA
384,1.2,384-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
384,1.3,384-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
384,1.4,384-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
191,0,191-0,CROATIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Since 2010, nautical ports have no longer been considered reporting units or types of accommodation facilities in the monthly survey on tourist arrivals and nights because of the implementation of the new legal basis of monitoring the tourists. Due to the mentioned change in the methodology, data from 2005 to 2009 were revised so they can be comparable to 2010 (nautical ports were excluded)."
191,1.1,191-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,16100,19085,23660,25499,29215,37226,40129,41737,42857,44974,45762,47733,52271,51336,47573,49006,49969,47185,48345,51168,55858,57587,59238,57668,60021,NA
191,1.2,191-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TCE,1485,2914,4178,4499,3805,5831,6544,6944,7409,7912,7743,7988,8559,8665,8694,9111,9927,10369,10948,11623,12683,13809,15593,16645,17353,NA
191,1.3,191-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
191,1.4,191-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
192,0,192-0,CUBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Arrivals by air.
192,1.1,192-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,745,1004,1170,1416,1603,1774,1775,1686,1906,2049,2319,2221,2152,2348,2430,2532,2716,2847,2862,3014,3540,4009,4654,4712,..,NA
192,1.2,192-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,742,999,1153,1390,1561,1741,1736,1656,1847,2017,2261,2150,2119,2316,2405,2507,2688,2823,2839,2981,3506,3975,4594,4684,..,NA
192,1.3,192-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,3,5,17,26,42,33,39,30,59,32,58,71,33,32,25,25,28,24,23,33,34,34,..,..,..,NA
192,1.4,192-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,1,2,2,8,4,10,14,6,20,5,17,30,7,5,4,2,1,3,2,8,10,17,..,..,..,NA
535,0,535-0,CURAÇAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Arrivals by air.
535,1.1,535-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,396,387,422,437,433,514,519,545,508,452,510,572,664,773,808,762,837,908,1071,1129,1072,944,1058,1210,1293,NA
535,1.2,535-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,224,214,205,199,198,191,205,218,221,223,222,234,300,409,367,342,390,421,441,452,468,441,399,432,464,NA
535,1.3,535-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,172,173,217,239,235,322,314,327,286,229,288,338,364,364,441,420,447,487,630,677,604,502,659,778,829,NA
535,1.4,535-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,172,173,217,231,221,308,300,319,279,219,276,322,341,353,423,383,401,436,584,629,566,469,634,761,810,NA
196,0,196-0,CYPRUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Source: Passenger Survey, conducted by the Statistical Service of Cyprus.
2/ Same-day visitors at airports and ports."
196,1.1,196-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,2253,2089,2194,2357,2578,2912,2841,2495,2416,2478,2657,2629,2671,2631,2370,2450,2626,2635,2626,2558,2780,3286,3750,4024,..,NA
196,1.2,196-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,2100,1950,2088,2223,2434,2686,2697,2418,2303,2349,2470,2401,2416,2404,2141,2173,2392,2465,2405,2441,2659,3187,3652,3939,..,NA
196,1.3,196-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,2/,NA,153,139,106,134,143,226,144,77,113,129,187,228,255,227,229,277,234,170,221,147,121,100,98,85,..,NA
196,1.4,196-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,39,41,55,75,77,135,106,59,93,119,176,220,246,221,225,271,216,163,207,135,108,85,77,62,..,NA
203,0,203-0,CZECH REPUBLIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/ 2/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ TSA of the Czech Republic.
2/ 2018: preliminary data.
3/ Including transit visitors."
203,1.1,203-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,..,..,..,..,..,..,..,20108,23808,24747,25102,22625,21850,23285,21941,22810,25750,26332,27166,29604,32519,34701,36268,..,NA
203,1.2,203-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,3381,4558,4976,5482,5610,4773,5405,4743,7641,9047,9404,9539,9370,9373,8848,8629,9019,10123,10300,10649,11619,12808,13665,14282.6,..,NA
203,1.3,203-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,3/,NA,..,..,..,..,..,..,..,..,12467,14761,15343,15564,13255,12477,14437,13312,13792,15627,16032,16518,17985,19711,21036,21985.9,..,NA
203,1.4,203-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
208,0,208-0,DENMARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ 2017: change of methodology.
2/ New accommodation coverage from 2000. New methodology from 2004, 2005, 2011, 2014 and 2017. 2017 break in the series: shared economy platforms are included. Including non-commercial tourism."
208,1.1,208-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,..,..,..,..,..,..,..,..,21119,22054,26927,26936,27138,26870,26571,26730,25811,26402,26516,28070,28209,28692,30736,30801,31608,NA
208,1.2,208-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,2/,TCE,..,2125,2158,2073,2023,3535,3684,3436,3474,4421,9178,9256,9284,9016,8547,8744,7864,8443,8557,10267,10424,10781,12426,12749,13285,NA
208,1.3,208-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,1/,NA,..,..,..,..,..,..,..,..,17645,17633,17749,17680,17854,17854,18024,17986,17947,17959,17959,17803,17785,17911,18310,18052,18323,NA
208,1.4,208-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,363,404,193,305,293,409,374,548,548,718,681,607,619,619,470,445,571,647,711,983,NA
262,0,262-0,DJIBOUTI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,1.1,262-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
262,1.2,262-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,THS,21,20,20,21,21,20.100000000000001,21.6,22.5,23.2,26.3,30.2,39.5,40,54,58,51,56,60,63,..,..,..,..,..,..,NA
262,1.3,262-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
262,1.4,262-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
212,0,212-0,DOMINICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,1.1,212-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,203,261,299,312,280,312,276,208,254,466,381,465,437,468,608,595,418,348,311,370,358,356,230,198,..,NA
212,1.2,212-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,60,63,65,66,74,70,66,69,73,80,79,84,81,81,75,77,76,79,78,81.5,75,78,72,63,..,NA
212,1.3,212-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,143,198,234,246,206,242,210,139,181,387,303,381,356,387,533,519,342,269,233,289,283,278,158,136,..,NA
212,1.4,212-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,135,193,231,245,202,240,208,137,177,384,302,380,355,386,532,518,341,266.5,231,287,281,277,157,134,..,NA
214,0,214-0,DOMINICAN REPUBLIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Including nationals residing abroad.
2/ Arrivals by air only.
3/ All arrivals by sea."
214,1.1,214-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,1806,2037,2482,2702,2932,3161,3090,3058,3680,3907,3981,4268,4365,4455,4489,4478,4654,4901,5114,5576,6129,6769,7296,7551,7550,NA
214,1.2,214-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,2/,TF,1776,1926,2211,2309,2649,2978,2882,2811,3282,3450,3691,3965,3980,3980,3992,4125,4306,4563,4690,5141.3999999999996,5600,5959.3,6188,6569,6446,NA
214,1.3,214-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,30,111,271,393,283,183,208,247,398,457,290,303,385,475,497,353,348,338,424,435,529,809,1108,982,1104,NA
214,1.4,214-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,3/,NA,30,111,271,393,283,183,208,247,398,457,290,303,385,475,497,353,348,338,424,435,529,809,1108,982,1104,NA
218,0,218-0,ECUADOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Including nationals residing abroad.
218,1.1,218-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,440,494,529,511,518,627,641,683,761,819,860,841,937,1005,968,1047,1141,1272,1364,1695,1676,1569,1806,2535,..,NA
218,1.2,218-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
218,1.3,218-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
218,1.4,218-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
818,0,818-0,EGYPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,1.1,818-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,3133,3896,3961,3454,4797,5506,4648,5192,6044,8104,8608,9083,11091,12835,12536,14731,9845,11532,9464,9878,9328,5399,8292,11346,..,NA
818,1.2,818-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,2871,3528,3656,3213,4490,5116,4357,4906,5746,7795,8244,8646,10610,12296,11914,14051,9497,11196,9174,9628.2999999999993,9139,5258,8157,11196,..,NA
818,1.3,818-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,262,368,305,241,307,390,291,286,298,309,363,437,481,540,622,680,348,336,290,249.4,189,141,136,150,..,NA
818,1.4,818-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
222,0,222-0,EL SALVADOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,1.1,222-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,..,..,..,..,867,804,885,798,1030,1306,1501,1720,1875,1482,1606,1634,1738,1822,1886,1973,2052,2247,2536,2639,NA
222,1.2,222-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,235,283,387,542,658,795,735,798,720,951,1127,1279,1339,1385,1091,1150,1184,1255,1283,1345,1402,1434,1556,1677.3,1766,NA
222,1.3,222-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,72,69,87,78,79,179,222,381,490,391,456,450,483,539,541,571,618,691,858.4,873,NA
222,1.4,222-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,1,2,2,2,..,2,7,..,..,NA
226,0,226-0,EQUATORIAL GUINEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,1.1,226-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
226,1.2,226-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
226,1.3,226-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
226,1.4,226-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
232,0,232-0,ERITREA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Including nationals residing abroad.
232,1.1,232-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,..,..,..,NA
232,1.2,232-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
232,1.3,232-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
232,1.4,232-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
233,0,233-0,ESTONIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Based on mobile positioning data by the Bank of Estonia and Positium LBS.
233,1.1,233-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,2111,2444,2618,2909,3181,3310,3230,3253,3378,..,..,..,..,3828,3834,4369,4907,5007,5737,5804,5696,5942,6145,6071,..,NA
233,1.2,233-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,530,665,730,825,950,1220,1320,1362,1462,1750,1917,1940,1900,2222,2180,2511,2823,2957,3111,3160,2961,3131,3244,3234,..,NA
233,1.3,233-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,1/,NA,1580,1779,1889,2084,2231,2090,1910,1891,1916,285,307,313,295,1606,1654,1858,2084,2050,2626,2644,2735,2811,2901,2838,..,NA
233,1.4,233-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,37,44,50,92,106,109,132,118,175,285,307,313,295,378,416,392,436,425,509,470,506,510,564,638,..,NA
748,0,748-0,ESWATINI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,1.1,748-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,1337,1635,986,1253,1151,1312,1371,1543,..,1182,1200,1230,1186,1344,1343,1328,1278,1299,1325,1256,1279,1343,1277,1226,NA
748,1.2,748-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,300,315,269,284,289,281,283,256,461,459,837,873,869,756,908,868,879,888,968,939,873,947,921,782,680,NA
